,Unnamed: 0,year,quintil_oecd,regtyp,plh0039,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2008,1st Quintile,Urban regions,Very concerned,0.3761,692,19223,0.35617,0.39805
1,1,2008,1st Quintile,Urban regions,Somewhat concerned,0.45078,847,19223,0.42973,0.47104
2,2,2008,1st Quintile,Urban regions,Not concerned at all,0.17312,342,19223,0.1604,0.18792
3,3,2008,1st Quintile,Rural regions,Very concerned,0.36687,398,19223,0.33935,0.39624
4,4,2008,1st Quintile,Rural regions,Somewhat concerned,0.46802,524,19223,0.43979,0.49844
5,5,2008,1st Quintile,Rural regions,Not concerned at all,0.16511,191,19223,0.14823,0.18131
6,6,2008,2nd Quintile,Urban regions,Very concerned,0.40752,808,19223,0.3852,0.43649
7,7,2008,2nd Quintile,Urban regions,Somewhat concerned,0.44909,888,19223,0.42545,0.47121
8,8,2008,2nd Quintile,Urban regions,Not concerned at all,0.14339,280,19223,0.12994,0.15693
9,9,2008,2nd Quintile,Rural regions,Very concerned,0.35694,492,19223,0.33352,0.38407
10,10,2008,2nd Quintile,Rural regions,Somewhat concerned,0.46986,662,19223,0.44366,0.49675
11,11,2008,2nd Quintile,Rural regions,Not concerned at all,0.1732,211,19223,0.15616,0.19417
12,12,2008,3rd Quintile,Urban regions,Very concerned,0.39281,871,19223,0.37611,0.40974
13,13,2008,3rd Quintile,Urban regions,Somewhat concerned,0.48147,1096,19223,0.4572,0.50269
14,14,2008,3rd Quintile,Urban regions,Not concerned at all,0.12572,303,19223,0.11276,0.13992
15,15,2008,3rd Quintile,Rural regions,Very concerned,0.38193,551,19223,0.35477,0.41226
16,16,2008,3rd Quintile,Rural regions,Somewhat concerned,0.48814,739,19223,0.45745,0.51976
17,17,2008,3rd Quintile,Rural regions,Not concerned at all,0.12994,192,19223,0.11337,0.14893
18,18,2008,4th Quintile,Urban regions,Very concerned,0.35881,912,19223,0.33726,0.37699
19,19,2008,4th Quintile,Urban regions,Somewhat concerned,0.51767,1357,19223,0.495,0.543
20,20,2008,4th Quintile,Urban regions,Not concerned at all,0.12352,332,19223,0.11261,0.13457
21,21,2008,4th Quintile,Rural regions,Very concerned,0.36728,457,19223,0.33475,0.39927
22,22,2008,4th Quintile,Rural regions,Somewhat concerned,0.52473,693,19223,0.49172,0.57153
23,23,2008,4th Quintile,Rural regions,Not concerned at all,0.10799,167,19223,0.09413,0.12349
24,24,2008,5th Quintile,Urban regions,Very concerned,0.30485,1198,19223,0.28739,0.32108
25,25,2008,5th Quintile,Urban regions,Somewhat concerned,0.54303,2127,19223,0.52182,0.56574
26,26,2008,5th Quintile,Urban regions,Not concerned at all,0.15212,553,19223,0.14005,0.16375
27,27,2008,5th Quintile,Rural regions,Very concerned,0.34988,432,19223,0.31972,0.38663
28,28,2008,5th Quintile,Rural regions,Somewhat concerned,0.5103,717,19223,0.47413,0.55384
29,29,2008,5th Quintile,Rural regions,Not concerned at all,0.13982,191,19223,0.11903,0.15887
30,30,2009,1st Quintile,Urban regions,Very concerned,0.39921,701,17917,0.3785,0.42455
31,31,2009,1st Quintile,Urban regions,Somewhat concerned,0.44469,810,17917,0.42029,0.46726
32,32,2009,1st Quintile,Urban regions,Not concerned at all,0.1561,291,17917,0.14168,0.17256
33,33,2009,1st Quintile,Rural regions,Very concerned,0.35879,370,17917,0.32654,0.39562
34,34,2009,1st Quintile,Rural regions,Somewhat concerned,0.47831,522,17917,0.44875,0.51238
35,35,2009,1st Quintile,Rural regions,Not concerned at all,0.1629,162,17917,0.14332,0.18278
36,36,2009,2nd Quintile,Urban regions,Very concerned,0.40236,702,17917,0.37845,0.42672
37,37,2009,2nd Quintile,Urban regions,Somewhat concerned,0.45829,888,17917,0.43077,0.48954
38,38,2009,2nd Quintile,Urban regions,Not concerned at all,0.13935,263,17917,0.12545,0.15566
39,39,2009,2nd Quintile,Rural regions,Very concerned,0.36725,461,17917,0.3422,0.40192
40,40,2009,2nd Quintile,Rural regions,Somewhat concerned,0.46765,627,17917,0.43779,0.49395
41,41,2009,2nd Quintile,Rural regions,Not concerned at all,0.1651,202,17917,0.14882,0.18437
42,42,2009,3rd Quintile,Urban regions,Very concerned,0.36711,717,17917,0.34615,0.39083
43,43,2009,3rd Quintile,Urban regions,Somewhat concerned,0.50862,1031,17917,0.48198,0.53314
44,44,2009,3rd Quintile,Urban regions,Not concerned at all,0.12427,265,17917,0.11042,0.1388
45,45,2009,3rd Quintile,Rural regions,Very concerned,0.32957,474,17917,0.30197,0.35482
46,46,2009,3rd Quintile,Rural regions,Somewhat concerned,0.52059,720,17917,0.48094,0.55609
47,47,2009,3rd Quintile,Rural regions,Not concerned at all,0.14984,212,17917,0.13093,0.17124
48,48,2009,4th Quintile,Urban regions,Very concerned,0.32781,825,17917,0.30848,0.34911
49,49,2009,4th Quintile,Urban regions,Somewhat concerned,0.5453,1283,17917,0.51897,0.56961
50,50,2009,4th Quintile,Urban regions,Not concerned at all,0.12689,333,17917,0.1147,0.14283
51,51,2009,4th Quintile,Rural regions,Very concerned,0.37285,443,17917,0.3378,0.40553
52,52,2009,4th Quintile,Rural regions,Somewhat concerned,0.51862,681,17917,0.47814,0.56095
53,53,2009,4th Quintile,Rural regions,Not concerned at all,0.10853,150,17917,0.08965,0.13148
54,54,2009,5th Quintile,Urban regions,Very concerned,0.29839,999,17917,0.27897,0.31618
55,55,2009,5th Quintile,Urban regions,Somewhat concerned,0.54146,1972,17917,0.51633,0.5667
56,56,2009,5th Quintile,Urban regions,Not concerned at all,0.16015,539,17917,0.14603,0.17457
57,57,2009,5th Quintile,Rural regions,Very concerned,0.29723,379,17917,0.27055,0.33007
58,58,2009,5th Quintile,Rural regions,Somewhat concerned,0.57675,709,17917,0.52813,0.63855
59,59,2009,5th Quintile,Rural regions,Not concerned at all,0.12602,186,17917,0.10702,0.14296
60,60,2010,1st Quintile,Urban regions,Very concerned,0.37657,620,16556,0.34593,0.40547
61,61,2010,1st Quintile,Urban regions,Somewhat concerned,0.44855,791,16556,0.41951,0.47763
62,62,2010,1st Quintile,Urban regions,Not concerned at all,0.17488,282,16556,0.14979,0.19573
