year,pgisced97,quintil_oecd,plh0039,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,No answer / don't know,1st Quintile,Very concerned,0.36795,37,85,0.26481,0.47108
2008,No answer / don't know,1st Quintile,Somewhat concerned,0.37354,48,85,0.27009,0.47699
2008,No answer / don't know,4th Quintile,Somewhat concerned,0.53618,34,34,0.36603,0.70633
2008,Pre-primary Level,2nd Quintile,Somewhat concerned,0.50292,35,35,0.33486,0.67099
2008,Pre-primary Level,3rd Quintile,Somewhat concerned,0.39655,34,34,0.22964,0.56345
2008,Pre-primary Level,4th Quintile,Somewhat concerned,0.57857,39,39,0.42157,0.73557
2008,Pre-primary Level,5th Quintile,Somewhat concerned,0.62883,58,58,0.50341,0.75426
2008,Primary Level,1st Quintile,Very concerned,0.35718,32,78,0.25016,0.46421
2008,Primary Level,1st Quintile,Somewhat concerned,0.47449,46,78,0.36295,0.58603
2008,Lower Secondary Level,1st Quintile,Very concerned,0.39722,246,626,0.35885,0.43558
2008,Lower Secondary Level,1st Quintile,Somewhat concerned,0.43058,264,626,0.39176,0.46940
2008,Lower Secondary Level,1st Quintile,Not concerned at all,0.17220,116,626,0.14260,0.20180
2008,Lower Secondary Level,2nd Quintile,Very concerned,0.39159,199,523,0.34972,0.43346
2008,Lower Secondary Level,2nd Quintile,Somewhat concerned,0.45117,247,523,0.40848,0.49385
2008,Lower Secondary Level,2nd Quintile,Not concerned at all,0.15724,77,523,0.12601,0.18847
2008,Lower Secondary Level,3rd Quintile,Very concerned,0.43058,172,420,0.38317,0.47799
2008,Lower Secondary Level,3rd Quintile,Somewhat concerned,0.42882,188,420,0.38143,0.47621
2008,Lower Secondary Level,3rd Quintile,Not concerned at all,0.14060,60,420,0.10731,0.17388
2008,Lower Secondary Level,4th Quintile,Very concerned,0.43122,112,271,0.37214,0.49029
2008,Lower Secondary Level,4th Quintile,Somewhat concerned,0.47123,127,271,0.41169,0.53077
2008,Lower Secondary Level,4th Quintile,Not concerned at all,0.09755,32,271,0.06216,0.13294
2008,Lower Secondary Level,5th Quintile,Very concerned,0.35212,55,138,0.27214,0.43210
2008,Lower Secondary Level,5th Quintile,Somewhat concerned,0.56051,83,138,0.47740,0.64362
2008,Upper Secondary Level,1st Quintile,Very concerned,0.36933,593,1590,0.34560,0.39306
2008,Upper Secondary Level,1st Quintile,Somewhat concerned,0.47088,745,1590,0.44633,0.49542
