"plh0039","year","migback","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","2008","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","887","0.366688311879211","0.348042682382941","0.385333941375481"
"Grosse Sorgen","2008","kein Migrationshintergrund","2","1322","0.422451995271768","0.40564743349593","0.439256557047606"
"Grosse Sorgen","2008","kein Migrationshintergrund","3","1151","0.349023750035323","0.332580358789692","0.365467141280954"
"Grosse Sorgen","2008","kein Migrationshintergrund","4","1283","0.36376975061327","0.348226400496216","0.379313100730324"
"Grosse Sorgen","2008","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","1165","0.297840225165024","0.283255970224419","0.312424480105629"
"Grosse Sorgen","2008","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","219","0.380137279674598","0.339157303778571","0.421117255570624"
"Grosse Sorgen","2008","direkter Migrationshintergrund","2","219","0.389359751386934","0.347925402753121","0.430794100020747"
"Grosse Sorgen","2008","direkter Migrationshintergrund","3","131","0.357028538895387","0.307604093490743","0.406452984300032"
"Grosse Sorgen","2008","direkter Migrationshintergrund","4","115","0.481152661967723","0.42155524299836","0.540750080937086"
"Grosse Sorgen","2008","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","61","0.357566607996179","0.289236875669965","0.425896340322393"
"Grosse Sorgen","2008","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","75","0.384561155219432","0.317472735009395","0.451649575429469"
"Grosse Sorgen","2008","indirekter Migrationshintergrund","2","67","0.35336152777525","0.283138671254048","0.423584384296451"
"Grosse Sorgen","2008","indirekter Migrationshintergrund","3","54","0.336429181358324","0.258162928413048","0.414695434303599"
"Grosse Sorgen","2008","indirekter Migrationshintergrund","4","34","0.287945528745101","0.211563184123907","0.364327873366296"
"Grosse Sorgen","2008","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","30","0.216388696352139","0.139084606140813","0.293692786563466"
"Grosse Sorgen","2008","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Grosse Sorgen","2008","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Grosse Sorgen","2008","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Grosse Sorgen","2008","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Grosse Sorgen","2008","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Einige Sorgen","2008","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","1211","0.453940809488233","0.434677130196348","0.473204488780118"
"Einige Sorgen","2008","kein Migrationshintergrund","2","1538","0.445643019722205","0.42873344133892","0.46255259810549"
"Einige Sorgen","2008","kein Migrationshintergrund","3","1635","0.512368939015735","0.495125717569694","0.529612160461775"
"Einige Sorgen","2008","kein Migrationshintergrund","4","1911","0.509218496373578","0.493066717502233","0.525370275244923"
"Einige Sorgen","2008","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","2073","0.552027955488837","0.536168780509562","0.567887130468112"
"Einige Sorgen","2008","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","240","0.474131268592525","0.431976988069716","0.516285549115334"
"Einige Sorgen","2008","direkter Migrationshintergrund","2","253","0.47590346140016","0.433465222588739","0.518341700211581"
"Einige Sorgen","2008","direkter Migrationshintergrund","3","188","0.534579416812059","0.483124912412312","0.586033921211805"
"Einige Sorgen","2008","direkter Migrationshintergrund","4","125","0.427975015029063","0.368957228654455","0.486992801403671"
"Einige Sorgen","2008","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","95","0.472919045380132","0.401740476307783","0.544097614452482"
