year,migback,sex,plh0039,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,No migration background,male,Very concerned,0.32776,2578,7926,0.31743,0.33810
2008,No migration background,male,Somewhat concerned,0.50102,4004,7926,0.49001,0.51203
2008,No migration background,male,Not concerned at all,0.17121,1344,7926,0.16292,0.17951
2008,No migration background,female,Very concerned,0.39544,3230,8646,0.38514,0.40575
2008,No migration background,female,Somewhat concerned,0.48608,4365,8646,0.47554,0.49662
2008,No migration background,female,Not concerned at all,0.11848,1051,8646,0.11166,0.12529
2008,Direct migration background,male,Very concerned,0.37370,336,875,0.34163,0.40577
2008,Direct migration background,male,Somewhat concerned,0.47523,413,875,0.44212,0.50834
2008,Direct migration background,male,Not concerned at all,0.15107,126,875,0.12733,0.17481
2008,Direct migration background,female,Very concerned,0.40815,409,1016,0.37792,0.43839
2008,Direct migration background,female,Somewhat concerned,0.48055,488,1016,0.44982,0.51129
2008,Direct migration background,female,Not concerned at all,0.11129,119,1016,0.09195,0.13064
2008,Indirect migration background,male,Very concerned,0.31146,121,364,0.26382,0.35910
2008,Indirect migration background,male,Somewhat concerned,0.48207,179,364,0.43067,0.53348
2008,Indirect migration background,male,Not concerned at all,0.20647,64,364,0.16483,0.24811
2008,Indirect migration background,female,Very concerned,0.36080,139,398,0.31356,0.40804
2008,Indirect migration background,female,Somewhat concerned,0.51015,201,398,0.46098,0.55933
2008,Indirect migration background,female,Not concerned at all,0.12905,58,398,0.09607,0.16203
2009,No migration background,male,Very concerned,0.31746,2319,7468,0.30691,0.32802
2009,No migration background,male,Somewhat concerned,0.50911,3849,7468,0.49777,0.52045
2009,No migration background,male,Not concerned at all,0.17343,1300,7468,0.16484,0.18201
2009,No migration background,female,Very concerned,0.38119,2919,8097,0.37061,0.39177
2009,No migration background,female,Somewhat concerned,0.50826,4223,8097,0.49737,0.51915
2009,No migration background,female,Not concerned at all,0.11055,955,8097,0.10372,0.11738
2009,Direct migration background,male,Very concerned,0.37881,267,757,0.34423,0.41339
2009,Direct migration background,male,Somewhat concerned,0.47014,377,757,0.43457,0.50572
2009,Direct migration background,male,Not concerned at all,0.15104,113,757,0.12552,0.17657
2009,Direct migration background,female,Very concerned,0.40545,345,896,0.37328,0.43762
2009,Direct migration background,female,Somewhat concerned,0.48471,433,896,0.45196,0.51745
2009,Direct migration background,female,Not concerned at all,0.10984,118,896,0.08936,0.13033
2009,Indirect migration background,male,Very concerned,0.25229,97,339,0.20599,0.29859
2009,Indirect migration background,male,Somewhat concerned,0.51334,170,339,0.46005,0.56662
2009,Indirect migration background,male,Not concerned at all,0.23437,72,339,0.18921,0.27953
2009,Indirect migration background,female,Very concerned,0.34795,127,365,0.29902,0.39689
2009,Indirect migration background,female,Somewhat concerned,0.50548,193,365,0.45412,0.55685
2009,Indirect migration background,female,Not concerned at all,0.14656,45,365,0.11023,0.18290
2010,No migration background,male,Very concerned,0.32167,2166,6929,0.31067,0.33267
2010,No migration background,male,Somewhat concerned,0.49035,3499,6929,0.47858,0.50212
2010,No migration background,male,Not concerned at all,0.18798,1264,6929,0.17878,0.19718
2010,No migration background,female,Very concerned,0.39233,2754,7520,0.38129,0.40336
2010,No migration background,female,Somewhat concerned,0.48506,3828,7520,0.47377,0.49636
2010,No migration background,female,Not concerned at all,0.12261,938,7520,0.11520,0.13002
2010,Direct migration background,male,Very concerned,0.34799,237,661,0.31165,0.38433
2010,Direct migration background,male,Somewhat concerned,0.48600,326,661,0.44787,0.52413
2010,Direct migration background,male,Not concerned at all,0.16601,98,661,0.13762,0.19439
2010,Direct migration background,female,Very concerned,0.37579,297,796,0.34212,0.40945
2010,Direct migration background,female,Somewhat concerned,0.51009,402,796,0.47534,0.54484
2010,Direct migration background,female,Not concerned at all,0.11412,97,796,0.09202,0.13622
2010,Indirect migration background,male,Very concerned,0.26209,78,311,0.21314,0.31105
2010,Indirect migration background,male,Somewhat concerned,0.52628,163,311,0.47070,0.58187
2010,Indirect migration background,male,Not concerned at all,0.21162,70,311,0.16615,0.25709
2010,Indirect migration background,female,Very concerned,0.29683,101,341,0.24827,0.34539
2010,Indirect migration background,female,Somewhat concerned,0.57809,203,341,0.52559,0.63058
2010,Indirect migration background,female,Not concerned at all,0.12508,37,341,0.08992,0.16025
2011,No migration background,male,Very concerned,0.31247,2577,8415,0.30256,0.32237
2011,No migration background,male,Somewhat concerned,0.50006,4238,8415,0.48938,0.51075
2011,No migration background,male,Not concerned at all,0.18747,1600,8415,0.17913,0.19581
2011,No migration background,female,Very concerned,0.37690,3361,9282,0.36704,0.38676
2011,No migration background,female,Somewhat concerned,0.49495,4697,9282,0.48477,0.50512
2011,No migration background,female,Not concerned at all,0.12816,1224,9282,0.12135,0.13496
2011,Direct migration background,male,Very concerned,0.35828,321,879,0.32656,0.38999
2011,Direct migration background,male,Somewhat concerned,0.48600,420,879,0.45294,0.51906
2011,Direct migration background,male,Not concerned at all,0.15572,138,879,0.13174,0.17971
2011,Direct migration background,female,Very concerned,0.35427,424,1099,0.32598,0.38256
2011,Direct migration background,female,Somewhat concerned,0.52512,538,1099,0.49558,0.55465
2011,Direct migration background,female,Not concerned at all,0.12061,137,1099,0.10135,0.13988
2011,Indirect migration background,male,Very concerned,0.24865,103,375,0.20485,0.29246
2011,Indirect migration background,male,Somewhat concerned,0.52058,187,375,0.46995,0.57122
2011,Indirect migration background,male,Not concerned at all,0.23076,85,375,0.18806,0.27346
2011,Indirect migration background,female,Very concerned,0.35426,142,415,0.30819,0.40033
2011,Indirect migration background,female,Somewhat concerned,0.52876,224,415,0.48067,0.57684
2011,Indirect migration background,female,Not concerned at all,0.11698,49,415,0.08602,0.14794
2012,No migration background,male,Very concerned,0.26995,2303,8358,0.26043,0.27947
2012,No migration background,male,Somewhat concerned,0.50764,4258,8358,0.49692,0.51836
2012,No migration background,male,Not concerned at all,0.22241,1797,8358,0.21349,0.23133
2012,No migration background,female,Very concerned,0.33815,3095,9247,0.32850,0.34779
2012,No migration background,female,Somewhat concerned,0.51901,4828,9247,0.50883,0.52920
2012,No migration background,female,Not concerned at all,0.14284,1324,9247,0.13571,0.14997
2012,Direct migration background,male,Very concerned,0.34783,307,879,0.31633,0.37934
2012,Direct migration background,male,Somewhat concerned,0.46042,399,879,0.42745,0.49339
2012,Direct migration background,male,Not concerned at all,0.19175,173,879,0.16571,0.21779
2012,Direct migration background,female,Very concerned,0.37361,427,1106,0.34509,0.40213
2012,Direct migration background,female,Somewhat concerned,0.49426,516,1106,0.46478,0.52374
2012,Direct migration background,female,Not concerned at all,0.13213,163,1106,0.11217,0.15210
2012,Indirect migration background,male,Very concerned,0.20141,82,369,0.16044,0.24239
2012,Indirect migration background,male,Somewhat concerned,0.50814,181,369,0.45706,0.55922
2012,Indirect migration background,male,Not concerned at all,0.29045,106,369,0.24406,0.33683
2012,Indirect migration background,female,Very concerned,0.24468,120,405,0.20276,0.28660
2012,Indirect migration background,female,Somewhat concerned,0.60042,224,405,0.55266,0.64819
2012,Indirect migration background,female,Not concerned at all,0.15489,61,405,0.11961,0.19017
2013,No migration background,male,Very concerned,0.28207,2173,7715,0.27203,0.29211
