year,regtyp,plh0039,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,Urban regions,Very concerned,0.36520,4497,12645,0.35681,0.37359
2008,Urban regions,Somewhat concerned,0.49126,6332,12645,0.48255,0.49998
2008,Urban regions,Not concerned at all,0.14354,1816,12645,0.13743,0.14965
2008,Rural regions,Very concerned,0.36453,2316,6580,0.35290,0.37616
2008,Rural regions,Somewhat concerned,0.49207,3318,6580,0.47999,0.50415
2008,Rural regions,Not concerned at all,0.14340,946,6580,0.13493,0.15187
2009,Urban regions,Very concerned,0.35513,3955,11658,0.34644,0.36382
2009,Urban regions,Somewhat concerned,0.50268,6006,11658,0.49360,0.51175
2009,Urban regions,Not concerned at all,0.14219,1697,11658,0.13585,0.14853
2009,Rural regions,Very concerned,0.34776,2119,6264,0.33596,0.35955
2009,Rural regions,Somewhat concerned,0.50969,3239,6264,0.49731,0.52207
2009,Rural regions,Not concerned at all,0.14255,906,6264,0.13389,0.15121
2010,Urban regions,Very concerned,0.35140,3644,10865,0.34242,0.36038
2010,Urban regions,Somewhat concerned,0.48891,5530,10865,0.47951,0.49831
2010,Urban regions,Not concerned at all,0.15969,1691,10865,0.15281,0.16658
2010,Rural regions,Very concerned,0.36202,1989,5693,0.34953,0.37450
2010,Rural regions,Somewhat concerned,0.49730,2891,5693,0.48431,0.51029
2010,Rural regions,Not concerned at all,0.14068,813,5693,0.13165,0.14971
2011,Urban regions,Very concerned,0.34071,4459,13255,0.33265,0.34878
2011,Urban regions,Somewhat concerned,0.49917,6697,13255,0.49066,0.50768
2011,Urban regions,Not concerned at all,0.16011,2099,13255,0.15387,0.16636
2011,Rural regions,Very concerned,0.35304,2469,7210,0.34200,0.36407
2011,Rural regions,Somewhat concerned,0.50085,3607,7210,0.48930,0.51239
2011,Rural regions,Not concerned at all,0.14612,1134,7210,0.13796,0.15427
2012,Urban regions,Very concerned,0.30443,4018,12992,0.29652,0.31234
2012,Urban regions,Somewhat concerned,0.51002,6653,12992,0.50142,0.51861
2012,Urban regions,Not concerned at all,0.18555,2321,12992,0.17887,0.19224
2012,Rural regions,Very concerned,0.31748,2316,7372,0.30685,0.32811
2012,Rural regions,Somewhat concerned,0.51098,3753,7372,0.49957,0.52240
2012,Rural regions,Not concerned at all,0.17154,1303,7372,0.16293,0.18014
2013,Urban regions,Very concerned,0.31228,3745,12015,0.30399,0.32057
2013,Urban regions,Somewhat concerned,0.50321,6053,12015,0.49427,0.51215
2013,Urban regions,Not concerned at all,0.18451,2217,12015,0.17758,0.19145
2013,Rural regions,Very concerned,0.31152,2058,6740,0.30046,0.32258
2013,Rural regions,Somewhat concerned,0.50015,3386,6740,0.48821,0.51209
2013,Rural regions,Not concerned at all,0.18833,1296,6740,0.17900,0.19766
2018,Urban regions,Very concerned,0.39715,6387,16640,0.38972,0.40459
2018,Urban regions,Somewhat concerned,0.46983,7966,16640,0.46224,0.47741
2018,Urban regions,Not concerned at all,0.13302,2287,16640,0.12786,0.13818
2018,Rural regions,Very concerned,0.43995,3740,8905,0.42964,0.45026
2018,Rural regions,Somewhat concerned,0.43824,3984,8905,0.42793,0.44854
2018,Rural regions,Not concerned at all,0.12181,1181,8905,0.11502,0.12860
