year,pgisced97,regtyp,plh0039,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,No answer / don't know,Urban regions,Very concerned,0.36332,69,221,0.29977,0.42688
2008,No answer / don't know,Urban regions,Somewhat concerned,0.39345,104,221,0.32889,0.45800
2008,No answer / don't know,Urban regions,Not concerned at all,0.24323,48,221,0.18654,0.29992
2008,No answer / don't know,Rural regions,Very concerned,0.30738,32,112,0.22154,0.39321
2008,No answer / don't know,Rural regions,Somewhat concerned,0.37272,49,112,0.28276,0.46267
2008,No answer / don't know,Rural regions,Not concerned at all,0.31991,31,112,0.23313,0.40668
2008,Pre-primary Level,Urban regions,Very concerned,0.32145,59,236,0.26173,0.38116
2008,Pre-primary Level,Urban regions,Somewhat concerned,0.51446,134,236,0.45056,0.57836
2008,Pre-primary Level,Urban regions,Not concerned at all,0.16410,43,236,0.11674,0.21145
2008,Pre-primary Level,Rural regions,Very concerned,0.29479,33,92,0.20111,0.38847
2008,Pre-primary Level,Rural regions,Somewhat concerned,0.49923,59,92,0.39650,0.60196
2008,Primary Level,Urban regions,Very concerned,0.41255,50,107,0.31883,0.50627
2008,Primary Level,Urban regions,Somewhat concerned,0.47095,57,107,0.37592,0.56598
2008,Lower Secondary Level,Urban regions,Very concerned,0.41793,534,1319,0.39130,0.44456
2008,Lower Secondary Level,Urban regions,Somewhat concerned,0.43942,587,1319,0.41263,0.46622
2008,Lower Secondary Level,Urban regions,Not concerned at all,0.14265,198,1319,0.12377,0.16153
2008,Lower Secondary Level,Rural regions,Very concerned,0.37377,250,677,0.33730,0.41024
2008,Lower Secondary Level,Rural regions,Somewhat concerned,0.46961,322,677,0.43199,0.50723
2008,Lower Secondary Level,Rural regions,Not concerned at all,0.15662,105,677,0.12922,0.18401
2008,Upper Secondary Level,Urban regions,Very concerned,0.39426,2366,6078,0.38197,0.40655
2008,Upper Secondary Level,Urban regions,Somewhat concerned,0.47928,2936,6078,0.46672,0.49184
2008,Upper Secondary Level,Urban regions,Not concerned at all,0.12646,776,6078,0.11811,0.13482
2008,Upper Secondary Level,Rural regions,Very concerned,0.37513,1314,3606,0.35932,0.39093
2008,Upper Secondary Level,Rural regions,Somewhat concerned,0.49843,1815,3606,0.48211,0.51475
2008,Upper Secondary Level,Rural regions,Not concerned at all,0.12644,477,3606,0.11560,0.13729
2008,Post-secondary Non-tertiary Level,Urban regions,Very concerned,0.30636,255,814,0.27468,0.33805
2008,Post-secondary Non-tertiary Level,Urban regions,Somewhat concerned,0.56012,442,814,0.52600,0.59424
2008,Post-secondary Non-tertiary Level,Urban regions,Not concerned at all,0.13352,117,814,0.11014,0.15690
