year,regtyp,sampreg,plh0039,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,Urban regions,West,Very concerned,0.36807,3975,11035,0.35908,0.37707
2008,Urban regions,West,Somewhat concerned,0.49239,5531,11035,0.48306,0.50172
2008,Urban regions,West,Not concerned at all,0.13953,1529,11035,0.13307,0.14600
2008,Urban regions,East,Very concerned,0.33779,522,1610,0.31468,0.36090
2008,Urban regions,East,Somewhat concerned,0.48051,801,1610,0.45610,0.50492
2008,Urban regions,East,Not concerned at all,0.18170,287,1610,0.16286,0.20054
2008,Rural regions,West,Very concerned,0.37715,1245,3437,0.36094,0.39335
2008,Rural regions,West,Somewhat concerned,0.49801,1765,3437,0.48130,0.51473
2008,Rural regions,West,Not concerned at all,0.12484,427,3437,0.11379,0.13589
2008,Rural regions,East,Very concerned,0.34413,1071,3143,0.32752,0.36074
2008,Rural regions,East,Somewhat concerned,0.48246,1553,3143,0.46499,0.49993
2008,Rural regions,East,Not concerned at all,0.17341,519,3143,0.16017,0.18665
2009,Urban regions,West,Very concerned,0.35475,3431,10130,0.34543,0.36407
2009,Urban regions,West,Somewhat concerned,0.50731,5268,10130,0.49758,0.51705
2009,Urban regions,West,Not concerned at all,0.13794,1431,10130,0.13122,0.14466
2009,Urban regions,East,Very concerned,0.35866,524,1528,0.33460,0.38272
2009,Urban regions,East,Somewhat concerned,0.45975,738,1528,0.43476,0.48475
2009,Urban regions,East,Not concerned at all,0.18159,266,1528,0.16225,0.20092
2009,Rural regions,West,Very concerned,0.35331,1133,3268,0.33692,0.36971
2009,Rural regions,West,Somewhat concerned,0.51258,1696,3268,0.49544,0.52972
2009,Rural regions,West,Not concerned at all,0.13411,439,3268,0.12242,0.14579
2009,Rural regions,East,Very concerned,0.33862,986,2996,0.32167,0.35557
2009,Rural regions,East,Somewhat concerned,0.50494,1543,2996,0.48704,0.52285
2009,Rural regions,East,Not concerned at all,0.15644,467,2996,0.14343,0.16945
2010,Urban regions,West,Very concerned,0.34911,3141,9469,0.33951,0.35871
2010,Urban regions,West,Somewhat concerned,0.49394,4871,9469,0.48387,0.50401
2010,Urban regions,West,Not concerned at all,0.15696,1457,9469,0.14963,0.16428
2010,Urban regions,East,Very concerned,0.37287,503,1396,0.34750,0.39825
2010,Urban regions,East,Somewhat concerned,0.44178,659,1396,0.41572,0.46784
2010,Urban regions,East,Not concerned at all,0.18535,234,1396,0.16495,0.20574
2010,Rural regions,West,Very concerned,0.36204,1038,2982,0.34478,0.37929
2010,Rural regions,West,Somewhat concerned,0.51273,1565,2982,0.49478,0.53067
2010,Rural regions,West,Not concerned at all,0.12524,379,2982,0.11335,0.13712
2010,Rural regions,East,Very concerned,0.36199,951,2711,0.34389,0.38008
2010,Rural regions,East,Somewhat concerned,0.47199,1326,2711,0.45319,0.49079
2010,Rural regions,East,Not concerned at all,0.16602,434,2711,0.15201,0.18003
2011,Urban regions,West,Very concerned,0.34064,3912,11607,0.33202,0.34926
2011,Urban regions,West,Somewhat concerned,0.50262,5883,11607,0.49352,0.51172
2011,Urban regions,West,Not concerned at all,0.15674,1812,11607,0.15013,0.16335
2011,Urban regions,East,Very concerned,0.34144,547,1648,0.31854,0.36434
2011,Urban regions,East,Somewhat concerned,0.46619,814,1648,0.44210,0.49028
2011,Urban regions,East,Not concerned at all,0.19237,287,1648,0.17333,0.21140
2011,Rural regions,West,Very concerned,0.34834,1396,4024,0.33361,0.36306
2011,Rural regions,West,Somewhat concerned,0.52249,2079,4024,0.50706,0.53793
2011,Rural regions,West,Not concerned at all,0.12917,549,4024,0.11881,0.13953
2011,Rural regions,East,Very concerned,0.36102,1073,3186,0.34434,0.37770
2011,Rural regions,East,Somewhat concerned,0.46405,1528,3186,0.44673,0.48137
2011,Rural regions,East,Not concerned at all,0.17493,585,3186,0.16174,0.18813
2012,Urban regions,West,Very concerned,0.30406,3512,11388,0.29561,0.31251
2012,Urban regions,West,Somewhat concerned,0.51487,5868,11388,0.50569,0.52404
2012,Urban regions,West,Not concerned at all,0.18107,2008,11388,0.17400,0.18815
2012,Urban regions,East,Very concerned,0.30806,506,1604,0.28546,0.33066
2012,Urban regions,East,Somewhat concerned,0.46241,785,1604,0.43800,0.48681
2012,Urban regions,East,Not concerned at all,0.22953,313,1604,0.20895,0.25012
2012,Rural regions,West,Very concerned,0.31129,1311,4152,0.29720,0.32537
2012,Rural regions,West,Somewhat concerned,0.52644,2150,4152,0.51125,0.54162
2012,Rural regions,West,Not concerned at all,0.16228,691,4152,0.15106,0.17349
2012,Rural regions,East,Very concerned,0.32840,1005,3220,0.31218,0.34462
2012,Rural regions,East,Somewhat concerned,0.48372,1603,3220,0.46646,0.50099
2012,Rural regions,East,Not concerned at all,0.18788,612,3220,0.17438,0.20137
2013,Urban regions,West,Very concerned,0.31308,3283,10511,0.30421,0.32195
2013,Urban regions,West,Somewhat concerned,0.50286,5291,10511,0.49330,0.51242
2013,Urban regions,West,Not concerned at all,0.18406,1937,10511,0.17665,0.19147
2013,Urban regions,East,Very concerned,0.30492,462,1504,0.28165,0.32819
2013,Urban regions,East,Somewhat concerned,0.50641,762,1504,0.48113,0.53169
