year,pgisced97,quintil_oecd,plh0106,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Lower Secondary Level,1st Quintile,Very important,0.11119,51,411,0.08076,0.14162
1990,Lower Secondary Level,1st Quintile,Important,0.44615,195,411,0.39804,0.49427
1990,Lower Secondary Level,1st Quintile,Less important,0.30976,117,411,0.26500,0.35452
1990,Lower Secondary Level,1st Quintile,Unimportant,0.13289,48,411,0.10004,0.16575
1990,Lower Secondary Level,2nd Quintile,Very important,0.13074,53,385,0.09702,0.16446
1990,Lower Secondary Level,2nd Quintile,Important,0.47626,195,385,0.42630,0.52621
1990,Lower Secondary Level,2nd Quintile,Less important,0.30107,106,385,0.25519,0.34695
1990,Lower Secondary Level,2nd Quintile,Unimportant,0.09194,31,385,0.06304,0.12084
1990,Lower Secondary Level,3rd Quintile,Very important,0.18667,57,299,0.14243,0.23092
1990,Lower Secondary Level,3rd Quintile,Important,0.45889,154,299,0.40232,0.51547
1990,Lower Secondary Level,3rd Quintile,Less important,0.28066,88,299,0.22965,0.33168
1990,Lower Secondary Level,4th Quintile,Very important,0.14665,49,293,0.10607,0.18723
1990,Lower Secondary Level,4th Quintile,Important,0.52682,157,293,0.46956,0.58409
1990,Lower Secondary Level,4th Quintile,Less important,0.28593,87,293,0.23410,0.33775
1990,Lower Secondary Level,5th Quintile,Very important,0.17419,32,171,0.11717,0.23120
1990,Lower Secondary Level,5th Quintile,Important,0.46721,86,171,0.39221,0.54221
1990,Lower Secondary Level,5th Quintile,Less important,0.30818,53,171,0.23877,0.37759
1990,Upper Secondary Level,1st Quintile,Very important,0.15372,86,521,0.12272,0.18472
1990,Upper Secondary Level,1st Quintile,Important,0.49630,264,521,0.45333,0.53928
1990,Upper Secondary Level,1st Quintile,Less important,0.27800,140,521,0.23949,0.31651
1990,Upper Secondary Level,1st Quintile,Unimportant,0.07198,31,521,0.04976,0.09419
1990,Upper Secondary Level,2nd Quintile,Very important,0.15073,115,721,0.12460,0.17687
1990,Upper Secondary Level,2nd Quintile,Important,0.55787,412,721,0.52160,0.59415
1990,Upper Secondary Level,2nd Quintile,Less important,0.25253,194,721,0.22080,0.28427
1990,Upper Secondary Level,3rd Quintile,Very important,0.15983,141,781,0.13411,0.18555
1990,Upper Secondary Level,3rd Quintile,Important,0.52981,435,781,0.49478,0.56484
1990,Upper Secondary Level,3rd Quintile,Less important,0.28058,205,781,0.24905,0.31211
1990,Upper Secondary Level,4th Quintile,Very important,0.18717,184,897,0.16163,0.21271
1990,Upper Secondary Level,4th Quintile,Important,0.56150,521,897,0.52900,0.59399
1990,Upper Secondary Level,4th Quintile,Less important,0.21914,192,897,0.19205,0.24623
1990,Upper Secondary Level,5th Quintile,Very important,0.19645,171,855,0.16980,0.22310
1990,Upper Secondary Level,5th Quintile,Important,0.50803,448,855,0.47449,0.54156
1990,Upper Secondary Level,5th Quintile,Less important,0.25596,204,855,0.22669,0.28523
1990,Upper Secondary Level,5th Quintile,Unimportant,0.03956,32,855,0.02649,0.05264
1990,First Stage of Tertiary Education,2nd Quintile,Important,0.63708,49,49,0.50104,0.77311
1990,First Stage of Tertiary Education,3rd Quintile,Important,0.51106,48,48,0.36814,0.65397
1990,First Stage of Tertiary Education,4th Quintile,Important,0.57785,62,62,0.45390,0.70179
1990,First Stage of Tertiary Education,5th Quintile,Important,0.53564,92,133,0.45056,0.62072
1990,First Stage of Tertiary Education,5th Quintile,Less important,0.23615,41,133,0.16370,0.30861
1990,Second Stage of Tertiary Education,3rd Quintile,Important,0.53022,45,45,0.38275,0.67769
1990,Second Stage of Tertiary Education,4th Quintile,Very important,0.24748,37,113,0.16756,0.32741
1990,Second Stage of Tertiary Education,4th Quintile,Important,0.55502,76,113,0.46298,0.64706
1990,Second Stage of Tertiary Education,5th Quintile,Very important,0.23503,83,331,0.18928,0.28078
1990,Second Stage of Tertiary Education,5th Quintile,Important,0.54967,182,331,0.49599,0.60335
1990,Second Stage of Tertiary Education,5th Quintile,Less important,0.18401,66,331,0.14220,0.22582
1992,Lower Secondary Level,1st Quintile,Very important,0.09597,75,528,0.07082,0.12112
1992,Lower Secondary Level,1st Quintile,Important,0.39099,220,528,0.34933,0.43265
1992,Lower Secondary Level,1st Quintile,Less important,0.33759,161,528,0.29722,0.37796
1992,Lower Secondary Level,1st Quintile,Unimportant,0.17545,72,528,0.14297,0.20792
1992,Lower Secondary Level,2nd Quintile,Very important,0.11352,60,429,0.08346,0.14357
