year,migback,regtyp,plh0106,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Urban regions,Very important,0.18314,951,4988,0.17241,0.19388
1990,No migration background,Urban regions,Important,0.51612,2596,4988,0.50225,0.52999
1990,No migration background,Urban regions,Less important,0.25410,1233,4988,0.24202,0.26618
1990,No migration background,Urban regions,Unimportant,0.04664,208,4988,0.04078,0.05249
1990,No migration background,Rural regions,Very important,0.15750,261,1585,0.13956,0.17544
1990,No migration background,Rural regions,Important,0.53304,871,1585,0.50847,0.55761
1990,No migration background,Rural regions,Less important,0.24697,369,1585,0.22574,0.26821
1990,No migration background,Rural regions,Unimportant,0.06248,84,1585,0.05056,0.07440
1990,Direct migration background,Urban regions,Very important,0.21028,75,351,0.16758,0.25297
1990,Direct migration background,Urban regions,Important,0.50200,189,351,0.44961,0.55438
1990,Direct migration background,Urban regions,Less important,0.25110,87,351,0.20567,0.29653
1990,Direct migration background,Rural regions,Important,0.54140,42,42,0.38888,0.69393
1992,No migration background,No answer / don't know,Very important,0.28651,33,91,0.19310,0.37992
1992,No migration background,No answer / don't know,Important,0.47937,58,91,0.37616,0.58259
1992,No migration background,Urban regions,Very important,0.17928,1213,6103,0.16966,0.18891
1992,No migration background,Urban regions,Important,0.50529,3121,6103,0.49274,0.51783
1992,No migration background,Urban regions,Less important,0.24759,1438,6103,0.23676,0.25842
1992,No migration background,Urban regions,Unimportant,0.06784,331,6103,0.06153,0.07415
1992,No migration background,Rural regions,Very important,0.18928,842,4006,0.17714,0.20141
1992,No migration background,Rural regions,Important,0.49539,2097,4006,0.47990,0.51087
1992,No migration background,Rural regions,Less important,0.25108,892,4006,0.23765,0.26451
1992,No migration background,Rural regions,Unimportant,0.06425,175,4006,0.05666,0.07185
1992,Direct migration background,Urban regions,Very important,0.21598,83,370,0.17399,0.25797
1992,Direct migration background,Urban regions,Important,0.51052,208,370,0.45951,0.56152
1992,Direct migration background,Urban regions,Less important,0.20310,79,370,0.16205,0.24415
1992,Direct migration background,Rural regions,Important,0.37032,79,136,0.28886,0.45178
1992,Direct migration background,Rural regions,Less important,0.39278,57,136,0.31040,0.47516
1992,Indirect migration background,Urban regions,Important,0.60024,32,32,0.42780,0.77268
1995,No migration background,Urban regions,Very important,0.18640,1193,5919,0.17648,0.19632
1995,No migration background,Urban regions,Important,0.51112,3158,5919,0.49838,0.52385
1995,No migration background,Urban regions,Less important,0.24890,1336,5919,0.23788,0.25992
1995,No migration background,Urban regions,Unimportant,0.05358,232,5919,0.04785,0.05932
1995,No migration background,Rural regions,Very important,0.18073,810,3956,0.16874,0.19272
