year,age_gr,plh0106,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Very important,0.23680,599,1843,0.21738,0.25621
1990,17-29 y.,Important,0.37768,985,1843,0.35554,0.39982
1990,17-29 y.,Less important,0.09744,259,1843,0.08390,0.11098
1990,30-45 y.,Very important,0.14892,402,2057,0.13353,0.16431
1990,30-45 y.,Important,0.43785,1220,2057,0.41640,0.45929
1990,30-45 y.,Less important,0.13842,400,2057,0.12349,0.15335
1990,30-45 y.,Unimportant,0.01190,35,2057,0.00721,0.01659
1990,46-65 y.,Very important,0.09408,261,2154,0.08175,0.10641
1990,46-65 y.,Important,0.37773,1106,2154,0.35725,0.39821
1990,46-65 y.,Less important,0.23104,669,2154,0.21324,0.24885
1990,46-65 y.,Unimportant,0.04200,118,2154,0.03353,0.05047
1990,66 and older,Very important,0.04108,57,997,0.02875,0.05341
1990,66 and older,Important,0.34029,417,997,0.31086,0.36971
1990,66 and older,Less important,0.30577,379,997,0.27715,0.33438
1990,66 and older,Unimportant,0.11331,144,997,0.09362,0.13299
1992,17-29 y.,Very important,0.28083,864,2665,0.26376,0.29789
1992,17-29 y.,Important,0.49851,1467,2665,0.47952,0.51749
1992,17-29 y.,Less important,0.11315,334,2665,0.10112,0.12518
1992,30-45 y.,Very important,0.21957,848,3593,0.20603,0.23311
1992,30-45 y.,Important,0.50994,1986,3593,0.49360,0.52629
1992,30-45 y.,Less important,0.18683,708,3593,0.17408,0.19958
1992,30-45 y.,Unimportant,0.01421,51,3593,0.01034,0.01808
1992,46-65 y.,Very important,0.11706,426,3227,0.10597,0.12816
1992,46-65 y.,Important,0.45397,1640,3227,0.43679,0.47115
1992,46-65 y.,Less important,0.28129,962,3227,0.26577,0.29681
1992,46-65 y.,Unimportant,0.06292,199,3227,0.05454,0.07130
1992,66 and older,Very important,0.05332,82,1359,0.04137,0.06527
1992,66 and older,Important,0.35280,507,1359,0.32739,0.37822
1992,66 and older,Less important,0.34810,502,1359,0.32276,0.37344
1992,66 and older,Unimportant,0.19612,268,1359,0.17500,0.21724
1995,17-29 y.,Very important,0.31225,913,2590,0.29440,0.33010
1995,17-29 y.,Important,0.49217,1426,2590,0.47291,0.51142
1995,17-29 y.,Less important,0.09113,251,2590,0.08005,0.10222
1995,30-45 y.,Very important,0.21026,842,3879,0.19744,0.22309
1995,30-45 y.,Important,0.54240,2268,3879,0.52672,0.55808
1995,30-45 y.,Less important,0.18006,711,3879,0.16797,0.19215
1995,30-45 y.,Unimportant,0.01355,58,3879,0.00991,0.01718
1995,46-65 y.,Very important,0.12313,433,3215,0.11177,0.13449
1995,46-65 y.,Important,0.47591,1743,3215,0.45864,0.49317
1995,46-65 y.,Less important,0.27006,886,3215,0.25471,0.28541
1995,46-65 y.,Unimportant,0.05426,153,3215,0.04642,0.06209
1995,66 and older,Very important,0.06293,92,1425,0.05032,0.07554
1995,66 and older,Important,0.38705,588,1425,0.36175,0.41235
1995,66 and older,Less important,0.34576,520,1425,0.32105,0.37046
1995,66 and older,Unimportant,0.16258,225,1425,0.14342,0.18175
2004,17-29 y.,Very important,0.36344,1410,3910,0.34836,0.37852
