,Unnamed: 0,year,bula_h,sex,plh0106,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Schleswig-Holstein,male,Important,1.0,66,6593,0.90956,1.08554
1,1,1990,Schleswig-Holstein,female,Important,0.59221,63,6593,0.53341,0.64881
2,2,1990,Schleswig-Holstein,female,Less important,0.40779,36,6593,0.35394,0.46041
3,3,1990,Hamburg,male,Important,1.0,36,6593,0.87352,1.12521
4,4,1990,Hamburg,female,Important,1.0,37,6593,0.88028,1.10759
5,5,1990,Lower Saxony,male,Very important,0.17351,74,6593,0.15277,0.19377
6,6,1990,Lower Saxony,male,Important,0.60155,235,6593,0.5682,0.6307
7,7,1990,Lower Saxony,male,Less important,0.22493,92,6593,0.21034,0.24342
8,8,1990,Lower Saxony,female,Very important,0.12864,63,6593,0.11689,0.14098
9,9,1990,Lower Saxony,female,Important,0.58507,240,6593,0.55265,0.62124
10,10,1990,Lower Saxony,female,Less important,0.28629,104,6593,0.26421,0.30896
11,11,1990,North Rhine-Westphalia,male,Very important,0.22362,201,6593,0.2095,0.23735
12,12,1990,North Rhine-Westphalia,male,Important,0.54756,482,6593,0.52719,0.56625
13,13,1990,North Rhine-Westphalia,male,Less important,0.22883,197,6593,0.21763,0.23998
14,14,1990,North Rhine-Westphalia,female,Very important,0.16899,171,6593,0.15726,0.1823
15,15,1990,North Rhine-Westphalia,female,Important,0.52723,538,6593,0.51055,0.54976
16,16,1990,North Rhine-Westphalia,female,Less important,0.26354,261,6593,0.24987,0.2759
17,17,1990,North Rhine-Westphalia,female,Unimportant,0.04023,38,6593,0.03542,0.04553
18,18,1990,Hesse,male,Very important,0.2278,70,6593,0.20958,0.24646
19,19,1990,Hesse,male,Important,0.55678,170,6593,0.51961,0.58836
20,20,1990,Hesse,male,Less important,0.21542,65,6593,0.1962,0.23256
21,21,1990,Hesse,female,Very important,0.14318,45,6593,0.12809,0.1646
22,22,1990,Hesse,female,Important,0.53154,178,6593,0.49377,0.57324
23,23,1990,Hesse,female,Less important,0.32528,97,6593,0.29644,0.35505
24,24,1990,"Rhineland-Palatinate, Saarland",male,Very important,0.21776,53,6593,0.19604,0.2387
25,25,1990,"Rhineland-Palatinate, Saarland",male,Important,0.55034,141,6593,0.50818,0.59284
26,26,1990,"Rhineland-Palatinate, Saarland",male,Less important,0.23189,52,6593,0.21797,0.24847
27,27,1990,"Rhineland-Palatinate, Saarland",female,Very important,0.16781,49,6593,0.15003,0.1858
28,28,1990,"Rhineland-Palatinate, Saarland",female,Important,0.56518,154,6593,0.52165,0.60927
29,29,1990,"Rhineland-Palatinate, Saarland",female,Less important,0.26701,72,6593,0.23856,0.29319
30,30,1990,Baden-Wuerttemberg,male,Very important,0.23722,124,6593,0.22024,0.25401
31,31,1990,Baden-Wuerttemberg,male,Important,0.51669,274,6593,0.4912,0.54742
32,32,1990,Baden-Wuerttemberg,male,Less important,0.24608,128,6593,0.23212,0.25912
33,33,1990,Baden-Wuerttemberg,female,Very important,0.15053,99,6593,0.13623,0.16697
34,34,1990,Baden-Wuerttemberg,female,Important,0.52515,318,6593,0.49258,0.55025
35,35,1990,Baden-Wuerttemberg,female,Less important,0.24908,141,6593,0.23027,0.26434
36,36,1990,Baden-Wuerttemberg,female,Unimportant,0.07524,40,6593,0.06428,0.08744
37,37,1990,Bavaria,male,Very important,0.22924,134,6593,0.21549,0.24504
38,38,1990,Bavaria,male,Important,0.51342,315,6593,0.48811,0.53513
39,39,1990,Bavaria,male,Less important,0.25734,143,6593,0.24302,0.27302
