year,sampreg,sex,plh0106,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,male,Very important,0.20857,721,3390,0.19489,0.22225
1990,West,male,Important,0.52357,1791,3390,0.50675,0.54038
1990,West,male,Less important,0.22625,751,3390,0.21216,0.24034
1990,West,male,Unimportant,0.04161,127,3390,0.03489,0.04833
1990,West,female,Very important,0.15325,598,3674,0.14160,0.16490
1990,West,female,Important,0.51647,1937,3674,0.50031,0.53263
1990,West,female,Less important,0.27326,956,3674,0.25885,0.28767
1990,West,female,Unimportant,0.05702,183,3674,0.04953,0.06452
1992,West,male,Very important,0.19442,682,3297,0.18091,0.20793
1992,West,male,Important,0.50362,1674,3297,0.48656,0.52069
1992,West,male,Less important,0.24512,778,3297,0.23044,0.25981
1992,West,male,Unimportant,0.05683,163,3297,0.04893,0.06473
1992,West,female,Very important,0.16443,653,3631,0.15237,0.17649
1992,West,female,Important,0.48466,1802,3631,0.46840,0.50091
1992,West,female,Less important,0.26635,928,3631,0.25197,0.28073
1992,West,female,Unimportant,0.08456,248,3631,0.07551,0.09361
1992,East,male,Very important,0.22301,440,1879,0.20418,0.24184
1992,East,male,Important,0.53782,1027,1879,0.51527,0.56037
1992,East,male,Less important,0.20698,365,1879,0.18866,0.22530
1992,East,male,Unimportant,0.03219,47,1879,0.02420,0.04017
1992,East,female,Very important,0.19541,445,2065,0.17830,0.21252
1992,East,female,Important,0.51106,1097,2065,0.48949,0.53262
1992,East,female,Less important,0.23264,435,2065,0.21441,0.25086
1992,East,female,Unimportant,0.06090,88,2065,0.05058,0.07121
1995,West,male,Very important,0.19130,736,3560,0.17838,0.20423
1995,West,male,Important,0.51669,1891,3560,0.50027,0.53311
1995,West,male,Less important,0.23709,776,3560,0.22312,0.25107
1995,West,male,Unimportant,0.05491,157,3560,0.04743,0.06240
1995,West,female,Very important,0.18088,773,3913,0.16881,0.19294
1995,West,female,Important,0.49413,1990,3913,0.47847,0.50980
1995,West,female,Less important,0.25822,945,3913,0.24450,0.27193
1995,West,female,Unimportant,0.06677,205,3913,0.05895,0.07459
1995,East,male,Very important,0.21459,383,1705,0.19510,0.23408
1995,East,male,Important,0.57709,1038,1705,0.55363,0.60055
1995,East,male,Less important,0.18324,284,1705,0.16487,0.20161
1995,East,female,Very important,0.17992,388,1919,0.16273,0.19711
1995,East,female,Important,0.55803,1106,1919,0.53581,0.58026
1995,East,female,Less important,0.21359,363,1919,0.19525,0.23193
1995,East,female,Unimportant,0.04845,62,1919,0.03885,0.05806
2004,West,male,Very important,0.17714,1407,7803,0.16867,0.18561
2004,West,male,Important,0.52924,4145,7803,0.51816,0.54031
2004,West,male,Less important,0.25094,1957,7803,0.24132,0.26056
2004,West,male,Unimportant,0.04268,294,7803,0.03820,0.04717
2004,West,female,Very important,0.16480,1435,8425,0.15688,0.17273
2004,West,female,Important,0.49081,4224,8425,0.48013,0.50148
2004,West,female,Less important,0.28638,2379,8425,0.27673,0.29603
2004,West,female,Unimportant,0.05801,387,8425,0.05301,0.06300
2004,East,male,Very important,0.18997,468,2479,0.17453,0.20542
2004,East,male,Important,0.55745,1404,2479,0.53790,0.57701
2004,East,male,Less important,0.22817,558,2479,0.21165,0.24469
2004,East,male,Unimportant,0.02440,49,2479,0.01833,0.03048
2004,East,female,Very important,0.16785,485,2699,0.15374,0.18195
2004,East,female,Important,0.55956,1550,2699,0.54083,0.57829
2004,East,female,Less important,0.22934,574,2699,0.21348,0.24521
2004,East,female,Unimportant,0.04325,90,2699,0.03557,0.05093
2008,West,male,Very important,0.15938,1046,6859,0.15071,0.16804
2008,West,male,Important,0.50728,3505,6859,0.49545,0.51912
2008,West,male,Less important,0.27659,1943,6859,0.26601,0.28718
2008,West,male,Unimportant,0.05675,365,6859,0.05127,0.06222
2008,West,female,Very important,0.14904,1151,7577,0.14102,0.15706
2008,West,female,Important,0.48283,3680,7577,0.47158,0.49409
2008,West,female,Less important,0.29553,2289,7577,0.28526,0.30581
2008,West,female,Unimportant,0.07259,457,7577,0.06675,0.07843
2008,East,male,Very important,0.15548,360,2292,0.14064,0.17032
2008,East,male,Important,0.55188,1296,2292,0.53151,0.57224
2008,East,male,Less important,0.25303,563,2292,0.23523,0.27084
2008,East,male,Unimportant,0.03961,73,2292,0.03162,0.04760
2008,East,female,Very important,0.14750,364,2452,0.13346,0.16154
2008,East,female,Important,0.55015,1383,2452,0.53046,0.56985
2008,East,female,Less important,0.24083,594,2452,0.22390,0.25776
2008,East,female,Unimportant,0.06152,111,2452,0.05200,0.07103
2012,West,male,Very important,0.18233,1791,9669,0.17464,0.19003
2012,West,male,Important,0.52930,5172,9669,0.51935,0.53925
2012,West,male,Less important,0.25477,2398,9669,0.24609,0.26346
2012,West,male,Unimportant,0.03359,308,9669,0.03000,0.03719
2012,West,female,Very important,0.17641,2035,11648,0.16948,0.18333
