year,migback,pgisced97,plh0106,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,No answer / don't know,Important,0.51508,37,37,0.35182,0.67834
1990,No migration background,Pre-primary Level,Very important,0.42287,42,90,0.32023,0.52550
1990,No migration background,Pre-primary Level,Important,0.47302,48,90,0.36929,0.57675
1990,No migration background,Primary Level,Important,0.54162,34,34,0.37162,0.71162
1990,No migration background,Lower Secondary Level,Very important,0.13849,220,1478,0.12088,0.15611
1990,No migration background,Lower Secondary Level,Important,0.47056,718,1478,0.44511,0.49602
1990,No migration background,Lower Secondary Level,Less important,0.30266,428,1478,0.27923,0.32608
1990,No migration background,Lower Secondary Level,Unimportant,0.08829,112,1478,0.07382,0.10276
1990,No migration background,Upper Secondary Level,Very important,0.17073,650,3612,0.15845,0.18300
1990,No migration background,Upper Secondary Level,Important,0.53374,1955,3612,0.51747,0.55001
1990,No migration background,Upper Secondary Level,Less important,0.25509,876,3612,0.24087,0.26931
1990,No migration background,Upper Secondary Level,Unimportant,0.04044,131,3612,0.03401,0.04686
1990,No migration background,Post-secondary Non-tertiary Level,Very important,0.29522,50,186,0.22949,0.36095
1990,No migration background,Post-secondary Non-tertiary Level,Important,0.48374,96,186,0.41172,0.55575
1990,No migration background,Post-secondary Non-tertiary Level,Less important,0.19585,40,186,0.13866,0.25303
1990,No migration background,First Stage of Tertiary Education,Very important,0.15234,70,437,0.11861,0.18608
1990,No migration background,First Stage of Tertiary Education,Important,0.56619,259,437,0.51967,0.61271
1990,No migration background,First Stage of Tertiary Education,Less important,0.23809,108,437,0.19811,0.27807
1990,No migration background,Second Stage of Tertiary Education,Very important,0.24547,151,582,0.21048,0.28047
1990,No migration background,Second Stage of Tertiary Education,Important,0.54860,320,582,0.50814,0.58907
1990,No migration background,Second Stage of Tertiary Education,Less important,0.17057,111,582,0.13998,0.20115
1990,Direct migration background,Lower Secondary Level,Important,0.48655,63,63,0.36213,0.61096
1990,Direct migration background,Upper Secondary Level,Very important,0.17559,40,209,0.12388,0.22730
1990,Direct migration background,Upper Secondary Level,Important,0.52777,113,209,0.45993,0.59562
1990,Direct migration background,Upper Secondary Level,Less important,0.26162,56,209,0.20189,0.32136
1992,No migration background,No answer / don't know,Important,0.42560,48,48,0.28425,0.56696
1992,No migration background,Pre-primary Level,Very important,0.32743,44,106,0.23767,0.41719
1992,No migration background,Pre-primary Level,Important,0.52842,62,106,0.43294,0.62391
1992,No migration background,Primary Level,Important,0.57916,47,47,0.43649,0.72183
1992,No migration background,Lower Secondary Level,Very important,0.11962,266,1764,0.10447,0.13477
1992,No migration background,Lower Secondary Level,Important,0.46589,841,1764,0.44260,0.48918
1992,No migration background,Lower Secondary Level,Less important,0.29901,488,1764,0.27764,0.32038
1992,No migration background,Lower Secondary Level,Unimportant,0.11548,169,1764,0.10056,0.13040
1992,No migration background,Upper Secondary Level,Very important,0.17900,1101,5674,0.16902,0.18898
1992,No migration background,Upper Secondary Level,Important,0.51245,2991,5674,0.49944,0.52546
1992,No migration background,Upper Secondary Level,Less important,0.25276,1343,5674,0.24145,0.26407
1992,No migration background,Upper Secondary Level,Unimportant,0.05579,239,5674,0.04982,0.06176
1992,No migration background,Post-secondary Non-tertiary Level,Very important,0.31924,89,264,0.26290,0.37558
1992,No migration background,Post-secondary Non-tertiary Level,Important,0.46693,133,264,0.40663,0.52722
1992,No migration background,Post-secondary Non-tertiary Level,Less important,0.16022,42,264,0.11589,0.20455
1992,No migration background,First Stage of Tertiary Education,Very important,0.18496,150,689,0.15594,0.21397
1992,No migration background,First Stage of Tertiary Education,Important,0.49924,350,689,0.46187,0.53660
1992,No migration background,First Stage of Tertiary Education,Less important,0.23037,148,689,0.19890,0.26183
1992,No migration background,First Stage of Tertiary Education,Unimportant,0.08544,41,689,0.06455,0.10633
1992,No migration background,Second Stage of Tertiary Education,Very important,0.24736,395,1514,0.22562,0.26911
1992,No migration background,Second Stage of Tertiary Education,Important,0.51980,804,1514,0.49463,0.54498
1992,No migration background,Second Stage of Tertiary Education,Less important,0.19597,277,1514,0.17597,0.21597
1992,No migration background,Second Stage of Tertiary Education,Unimportant,0.03687,38,1514,0.02737,0.04636
1992,Direct migration background,Lower Secondary Level,Important,0.42464,55,93,0.32364,0.52565
1992,Direct migration background,Lower Secondary Level,Less important,0.30597,38,93,0.21181,0.40014
1992,Direct migration background,Upper Secondary Level,Very important,0.16467,47,263,0.11976,0.20959
1992,Direct migration background,Upper Secondary Level,Important,0.50764,144,263,0.44710,0.56818
1992,Direct migration background,Upper Secondary Level,Less important,0.27309,72,263,0.21913,0.32704
1992,Direct migration background,Second Stage of Tertiary Education,Important,0.48304,44,44,0.33368,0.63240
1995,No migration background,No answer / don't know,Important,0.60886,59,59,0.48327,0.73445
1995,No migration background,Pre-primary Level,Very important,0.44702,84,175,0.37315,0.52090
1995,No migration background,Pre-primary Level,Important,0.46964,91,175,0.39549,0.54380
1995,No migration background,Primary Level,Important,0.56950,31,31,0.39232,0.74669
1995,No migration background,Lower Secondary Level,Very important,0.14128,260,1519,0.12376,0.15880
1995,No migration background,Lower Secondary Level,Important,0.46884,736,1519,0.44373,0.49394
1995,No migration background,Lower Secondary Level,Less important,0.27893,390,1519,0.25637,0.30149
1995,No migration background,Lower Secondary Level,Unimportant,0.11095,133,1519,0.09515,0.12675
1995,No migration background,Upper Secondary Level,Very important,0.17752,1050,5488,0.16741,0.18763
1995,No migration background,Upper Secondary Level,Important,0.52272,3029,5488,0.50951,0.53594
1995,No migration background,Upper Secondary Level,Less important,0.25378,1234,5488,0.24227,0.26530
1995,No migration background,Upper Secondary Level,Unimportant,0.04597,175,5488,0.04043,0.05151
1995,No migration background,Post-secondary Non-tertiary Level,Very important,0.26191,87,298,0.21190,0.31191
1995,No migration background,Post-secondary Non-tertiary Level,Important,0.55668,166,298,0.50018,0.61318
1995,No migration background,Post-secondary Non-tertiary Level,Less important,0.15106,45,298,0.11033,0.19179
1995,No migration background,First Stage of Tertiary Education,Very important,0.17864,141,661,0.14941,0.20786
1995,No migration background,First Stage of Tertiary Education,Important,0.53902,375,661,0.50099,0.57705
1995,No migration background,First Stage of Tertiary Education,Less important,0.23743,145,661,0.20497,0.26990
1995,No migration background,Second Stage of Tertiary Education,Very important,0.22326,350,1541,0.20246,0.24406
1995,No migration background,Second Stage of Tertiary Education,Important,0.53694,883,1541,0.51204,0.56185
1995,No migration background,Second Stage of Tertiary Education,Less important,0.20133,271,1541,0.18131,0.22136
1995,No migration background,Second Stage of Tertiary Education,Unimportant,0.03846,37,1541,0.02886,0.04806
1995,Direct migration background,Lower Secondary Level,Very important,0.14933,38,218,0.10191,0.19676
1995,Direct migration background,Lower Secondary Level,Important,0.49428,118,218,0.42776,0.56080
1995,Direct migration background,Lower Secondary Level,Less important,0.25360,62,218,0.19571,0.31149
1995,Direct migration background,Upper Secondary Level,Very important,0.20014,98,468,0.16385,0.23643
1995,Direct migration background,Upper Secondary Level,Important,0.51572,270,468,0.47040,0.56105
1995,Direct migration background,Upper Secondary Level,Less important,0.21634,100,468,0.17899,0.25368
1995,Direct migration background,Post-secondary Non-tertiary Level,Important,0.43841,39,39,0.28064,0.59618
1995,Direct migration background,Second Stage of Tertiary Education,Very important,0.16976,34,123,0.10314,0.23638
1995,Direct migration background,Second Stage of Tertiary Education,Important,0.63273,89,123,0.54719,0.71827
2004,No migration background,No answer / don't know,Very important,0.36776,64,165,0.29396,0.44156
2004,No migration background,No answer / don't know,Important,0.52285,101,165,0.44640,0.59929
2004,No migration background,Pre-primary Level,Very important,0.42241,202,461,0.37727,0.46754
2004,No migration background,Pre-primary Level,Important,0.50621,259,461,0.46052,0.55190
2004,No migration background,Primary Level,Important,0.37772,31,31,0.20423,0.55121
2004,No migration background,Lower Secondary Level,Very important,0.13094,278,1746,0.11511,0.14677
2004,No migration background,Lower Secondary Level,Important,0.46453,821,1746,0.44113,0.48793
2004,No migration background,Lower Secondary Level,Less important,0.30862,508,1746,0.28695,0.33030
2004,No migration background,Lower Secondary Level,Unimportant,0.09590,139,1746,0.08209,0.10972
2004,No migration background,Upper Secondary Level,Very important,0.14721,1423,9429,0.14005,0.15436
2004,No migration background,Upper Secondary Level,Important,0.52240,5014,9429,0.51231,0.53248
2004,No migration background,Upper Secondary Level,Less important,0.28321,2627,9429,0.27412,0.29230
2004,No migration background,Upper Secondary Level,Unimportant,0.04719,365,9429,0.04291,0.05147
2004,No migration background,Post-secondary Non-tertiary Level,Very important,0.22430,200,864,0.19647,0.25213
2004,No migration background,Post-secondary Non-tertiary Level,Important,0.54285,483,864,0.50962,0.57609
2004,No migration background,Post-secondary Non-tertiary Level,Less important,0.19871,181,864,0.17209,0.22533
2004,No migration background,First Stage of Tertiary Education,Very important,0.16577,244,1455,0.14665,0.18488
2004,No migration background,First Stage of Tertiary Education,Important,0.52600,770,1455,0.50034,0.55167
2004,No migration background,First Stage of Tertiary Education,Less important,0.27594,399,1455,0.25297,0.29892
2004,No migration background,First Stage of Tertiary Education,Unimportant,0.03229,42,1455,0.02320,0.04138
2004,No migration background,Second Stage of Tertiary Education,Very important,0.18666,708,3855,0.17436,0.19896
2004,No migration background,Second Stage of Tertiary Education,Important,0.55328,2165,3855,0.53759,0.56898
