year,plh0106,quintil_oecd,regtyp,proportion,n,lower_confidence,upper_confidence
1990,Very important,2nd Quintile,Urban regions,0.23965651834504292,18165,0.2334487156275907,0.24586432106249514
1990,Very important,1st Quintile,Urban regions,0.2154566744730679,18165,0.20947769844159575,0.22143565050454006
1990,Very important,3rd Quintile,Urban regions,0.17876658860265418,18165,0.1731945405689734,0.18433863663633496
1990,Very important,4th Quintile,Urban regions,0.11163153786104606,18165,0.10705192896559605,0.11621114675649606
1990,Very important,1st Quintile,Rural regions,0.07650273224043716,18165,0.07263733038599009,0.08036813409488423
1990,Very important,2nd Quintile,Rural regions,0.06869633099141297,18165,0.06501800006647625,0.07237466191634968
1990,Very important,5th Quintile,Urban regions,0.04371584699453552,18165,0.04074246095265316,0.04668923303641788
1990,Very important,3rd Quintile,Rural regions,0.04215456674473068,18165,0.03923237707065118,0.04507675641881018
1990,Very important,4th Quintile,Rural regions,0.01639344262295082,18165,0.01454679445103175,0.018240090794869893
1990,Very important,5th Quintile,Rural regions,0.00702576112412178,18165,0.0058111030233894126,0.008240419224854148
1990,Important,1st Quintile,Urban regions,0.23963133640552994,18165,0.23342375704711812,0.24583891576394176
1990,Important,2nd Quintile,Urban regions,0.23122797506099213,18165,0.22509660761245925,0.237359342509525
1990,Important,3rd Quintile,Urban regions,0.16047709406343183,18165,0.15513930790611954,0.16581488022074412
1990,Important,1st Quintile,Rural regions,0.09487666034155598,18165,0.09061506757394043,0.09913825310917153
1990,Important,4th Quintile,Urban regions,0.08484684196259148,18165,0.08079452784325916,0.08889915608192381
1990,Important,2nd Quintile,Rural regions,0.06993765248034697,18165,0.06622871146157244,0.0736465934991215
1990,Important,3rd Quintile,Rural regions,0.05313092979127135,18165,0.049869131930756275,0.05639272765178642
1990,Important,5th Quintile,Urban regions,0.03795066413662239,18165,0.03517193168817491,0.04072939658506987
1990,Important,4th Quintile,Rural regions,0.021415017619951206,18165,0.019309800652602974,0.02352023458729944
1990,Important,5th Quintile,Rural regions,0.006505828137706696,18165,0.005336672507560917,0.007674983767852475
1990,Less important,1st Quintile,Urban regions,0.26148409893992935,18165,0.25509350920231005,0.26787468867754866
1990,Less important,2nd Quintile,Urban regions,0.24381625441696114,18165,0.23757196007154724,0.25006054876237505
1990,Less important,3rd Quintile,Urban regions,0.15488810365135453,18165,0.14962666502106614,0.1601495422816429
1990,Less important,1st Quintile,Rural regions,0.09481743227326266,18165,0.09055703050647324,0.09907783404005208
1990,Less important,4th Quintile,Urban regions,0.08303886925795052,18165,0.07902600428170423,0.08705173423419682
1990,Less important,2nd Quintile,Rural regions,0.06654888103651355,18165,0.0629243273290768,0.0701734347439503
1990,Less important,3rd Quintile,Rural regions,0.04063604240282685,18165,0.03776469479416075,0.04350739001149295
1990,Less important,5th Quintile,Urban regions,0.02944640753828033,18165,0.026987941064359214,0.03190487401220145
1990,Less important,4th Quintile,Rural regions,0.01707891637220259,18165,0.015194712674989045,0.018963120069416136
