,Unnamed: 0,year,migback,quintil_oecd,plh0106,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,No migration background,1st Quintile,Very important,0.1486,159,6801,0.13571,0.16085
1,1,1990,No migration background,1st Quintile,Important,0.46949,485,6801,0.45205,0.48876
2,2,1990,No migration background,1st Quintile,Less important,0.28093,269,6801,0.26927,0.2936
3,3,1990,No migration background,1st Quintile,Unimportant,0.10098,88,6801,0.09345,0.10851
4,4,1990,No migration background,2nd Quintile,Very important,0.15996,199,6801,0.15077,0.16881
5,5,1990,No migration background,2nd Quintile,Important,0.53338,654,6801,0.51636,0.55165
6,6,1990,No migration background,2nd Quintile,Less important,0.2568,305,6801,0.2429,0.26953
7,7,1990,No migration background,2nd Quintile,Unimportant,0.04987,51,6801,0.04423,0.05453
8,8,1990,No migration background,3rd Quintile,Very important,0.17357,238,6801,0.16221,0.18544
9,9,1990,No migration background,3rd Quintile,Important,0.51833,678,6801,0.50282,0.5345
10,10,1990,No migration background,3rd Quintile,Less important,0.26876,334,6801,0.25788,0.28041
11,11,1990,No migration background,3rd Quintile,Unimportant,0.03935,45,6801,0.03509,0.04334
12,12,1990,No migration background,4th Quintile,Very important,0.18739,296,6801,0.17687,0.19748
13,13,1990,No migration background,4th Quintile,Important,0.55535,825,6801,0.5403,0.57032
14,14,1990,No migration background,4th Quintile,Less important,0.22389,329,6801,0.21413,0.23443
15,15,1990,No migration background,4th Quintile,Unimportant,0.03337,50,6801,0.02947,0.03824
16,16,1990,No migration background,5th Quintile,Very important,0.20411,320,6801,0.19426,0.21396
17,17,1990,No migration background,5th Quintile,Important,0.5148,822,6801,0.49731,0.53237
18,18,1990,No migration background,5th Quintile,Less important,0.24182,365,6801,0.23298,0.25237
19,19,1990,No migration background,5th Quintile,Unimportant,0.03927,58,6801,0.0352,0.04359
20,20,1990,Direct migration background,1st Quintile,Important,1.0,43,6801,0.87534,1.15165
21,21,1990,Direct migration background,2nd Quintile,Important,1.0,55,6801,0.9049,1.07485
22,22,1990,Direct migration background,3rd Quintile,Important,1.0,48,6801,0.86909,1.13943
23,23,1990,Direct migration background,4th Quintile,Important,1.0,40,6801,0.84062,1.18721
24,24,1990,Direct migration background,5th Quintile,Important,1.0,45,6801,0.85325,1.13447
25,25,1992,No migration background,1st Quintile,Very important,0.16805,404,10611,0.15586,0.17943
26,26,1992,No migration background,1st Quintile,Important,0.4669,1084,10611,0.4472,0.48615
27,27,1992,No migration background,1st Quintile,Less important,0.25859,509,10611,0.2461,0.27283
28,28,1992,No migration background,1st Quintile,Unimportant,0.10647,151,10611,0.09679,0.11566
29,29,1992,No migration background,2nd Quintile,Very important,0.17577,424,10611,0.16527,0.18753
30,30,1992,No migration background,2nd Quintile,Important,0.51444,1145,10611,0.49352,0.53351
31,31,1992,No migration background,2nd Quintile,Less important,0.25064,487,10611,0.23692,0.26301
32,32,1992,No migration background,2nd Quintile,Unimportant,0.05914,85,10611,0.05276,0.06546
33,33,1992,No migration background,3rd Quintile,Very important,0.17599,398,10611,0.16453,0.18802
34,34,1992,No migration background,3rd Quintile,Important,0.50381,996,10611,0.48533,0.5244
35,35,1992,No migration background,3rd Quintile,Less important,0.25465,439,10611,0.24018,0.2665
36,36,1992,No migration background,3rd Quintile,Unimportant,0.06555,95,10611,0.05959,0.07239
37,37,1992,No migration background,4th Quintile,Very important,0.19156,415,10611,0.18243,0.20118
38,38,1992,No migration background,4th Quintile,Important,0.51025,1010,10611,0.49287,0.52916
39,39,1992,No migration background,4th Quintile,Less important,0.24556,452,10611,0.23538,0.25664
40,40,1992,No migration background,4th Quintile,Unimportant,0.05263,87,10611,0.04836,0.05842
41,41,1992,No migration background,5th Quintile,Very important,0.20048,447,10611,0.19081,0.21016
42,42,1992,No migration background,5th Quintile,Important,0.51108,1041,10611,0.49461,0.52629
43,43,1992,No migration background,5th Quintile,Less important,0.23593,465,10611,0.22627,0.24707
44,44,1992,No migration background,5th Quintile,Unimportant,0.05251,91,10611,0.04798,0.05826
45,45,1992,Direct migration background,1st Quintile,Important,0.58356,49,10611,0.49698,0.68316
46,46,1992,Direct migration background,1st Quintile,Less important,0.41644,32,10611,0.32257,0.5262
47,47,1992,Direct migration background,2nd Quintile,Important,0.51584,49,10611,0.44402,0.61588
48,48,1992,Direct migration background,2nd Quintile,Less important,0.48416,35,10611,0.40806,0.58366
49,49,1992,Direct migration background,3rd Quintile,Very important,0.37481,32,10611,0.30252,0.44779
50,50,1992,Direct migration background,3rd Quintile,Important,0.62519,59,10611,0.56379,0.69666
51,51,1992,Direct migration background,4th Quintile,Important,1.0,64,10611,0.8824,1.13204
52,52,1992,Direct migration background,5th Quintile,Important,1.0,66,10611,0.87655,1.12299
53,53,1995,No migration background,1st Quintile,Very important,0.1883,325,10865,0.1732,0.20315
54,54,1995,No migration background,1st Quintile,Important,0.52336,851,10865,0.49511,0.54714
55,55,1995,No migration background,1st Quintile,Less important,0.21775,300,10865,0.20214,0.23237
56,56,1995,No migration background,1st Quintile,Unimportant,0.07058,75,10865,0.06254,0.08177
57,57,1995,No migration background,2nd Quintile,Very important,0.15955,366,10865,0.14723,0.17214
58,58,1995,No migration background,2nd Quintile,Important,0.52384,1084,10865,0.50077,0.54594
59,59,1995,No migration background,2nd Quintile,Less important,0.24717,426,10865,0.23328,0.26067
60,60,1995,No migration background,2nd Quintile,Unimportant,0.06944,92,10865,0.06084,0.07815
61,61,1995,No migration background,3rd Quintile,Very important,0.18766,414,10865,0.17649,0.20157
62,62,1995,No migration background,3rd Quintile,Important,0.51832,1156,10865,0.4961,0.53981
63,63,1995,No migration background,3rd Quintile,Less important,0.25526,459,10865,0.2396,0.27025
64,64,1995,No migration background,3rd Quintile,Unimportant,0.03876,50,10865,0.03401,0.04541
65,65,1995,No migration background,4th Quintile,Very important,0.18822,446,10865,0.17839,0.19918
