"plh0106","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"1 Sehr wichtig","1990","17-34","Staedtischer Raum","593","0.305783112456866","0.285437568133129","0.326128656780602"
"1 Sehr wichtig","1990","17-34","Laendlicher Raum","170","","",""
"1 Sehr wichtig","1990","35-65","Staedtischer Raum","394","0.152932458254682","0.139264934549436","0.166599981959928"
"1 Sehr wichtig","1990","35-65","Laendlicher Raum","105","","",""
"1 Sehr wichtig","1990","66 +","Staedtischer Raum","49","0.0592680487893747","0.0423010556014037","0.0762350419773456"
"1 Sehr wichtig","1990","66 +","Laendlicher Raum","8","0.0281673835061601","0.00778021938003219","0.048554547632288"
"2 Wichtig","1990","17-34","Staedtischer Raum","1083","","",""
"2 Wichtig","1990","17-34","Laendlicher Raum","369","0.573633602431829","0.535137900858117","0.612129304005542"
"2 Wichtig","1990","35-65","Staedtischer Raum","1420","","",""
"2 Wichtig","1990","35-65","Laendlicher Raum","439","0.537547100632603","0.502975720573216","0.572118480691989"
"2 Wichtig","1990","66 +","Staedtischer Raum","300","0.416082424382497","0.380664175724818","0.451500673040177"
"2 Wichtig","1990","66 +","Laendlicher Raum","117","","",""
"3 Weniger wichtig","1990","17-34","Staedtischer Raum","280","","",""
"3 Weniger wichtig","1990","17-34","Laendlicher Raum","89","0.13753575645061","0.110726681939287","0.164344830961933"
"3 Weniger wichtig","1990","35-65","Staedtischer Raum","747","0.27976038299471","0.262714771301376","0.296805994688044"
"3 Weniger wichtig","1990","35-65","Laendlicher Raum","212","","",""
"3 Weniger wichtig","1990","66 +","Staedtischer Raum","291","","",""
"3 Weniger wichtig","1990","66 +","Laendlicher Raum","88","0.362691911424102","0.303449670114317","0.421934152733887"
"4 Ganz unwichtig","1990","17-34","Staedtischer Raum","14","","",""
"4 Ganz unwichtig","1990","17-34","Laendlicher Raum","6","0.00854530070844516","0.00138050890728956","0.0157100925096008"
"4 Ganz unwichtig","1990","35-65","Staedtischer Raum","103","","",""
"4 Ganz unwichtig","1990","35-65","Laendlicher Raum","43","0.0585482386852018","0.0422691287949872","0.0748273485754163"
"4 Ganz unwichtig","1990","66 +","Staedtischer Raum","104","","",""
