year,migback,sex,plh0106,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,male,Very important,0.20477,662,3164,0.19071,0.21884
1990,No migration background,male,Important,0.52657,1675,3164,0.50917,0.54397
1990,No migration background,male,Less important,0.22758,710,3164,0.21297,0.24219
1990,No migration background,male,Unimportant,0.04108,117,3164,0.03416,0.04799
1990,No migration background,female,Very important,0.15166,550,3409,0.13962,0.16371
1990,No migration background,female,Important,0.51445,1792,3409,0.49767,0.53123
1990,No migration background,female,Less important,0.27489,892,3409,0.25990,0.28988
1990,No migration background,female,Unimportant,0.05900,175,3409,0.05109,0.06691
1990,Direct migration background,male,Very important,0.26211,54,195,0.20022,0.32399
1990,Direct migration background,male,Important,0.47284,103,195,0.40258,0.54310
1990,Direct migration background,male,Less important,0.21864,38,195,0.16048,0.27680
1990,Direct migration background,female,Very important,0.16106,38,228,0.11324,0.20888
1990,Direct migration background,female,Important,0.54112,128,228,0.47629,0.60594
1990,Direct migration background,female,Less important,0.26586,62,228,0.20839,0.32333
1992,No migration background,male,Very important,0.19837,1056,4882,0.18718,0.20956
1992,No migration background,male,Important,0.51444,2560,4882,0.50042,0.52847
1992,No migration background,male,Less important,0.23603,1074,4882,0.22412,0.24794
1992,No migration background,male,Unimportant,0.05116,192,4882,0.04497,0.05734
1992,No migration background,female,Very important,0.16945,1032,5344,0.15939,0.17951
1992,No migration background,female,Important,0.49031,2716,5344,0.47691,0.50371
1992,No migration background,female,Less important,0.25987,1279,5344,0.24811,0.27163
1992,No migration background,female,Unimportant,0.08037,317,5344,0.07308,0.08766
1992,Direct migration background,male,Very important,0.23340,59,243,0.18011,0.28670
1992,Direct migration background,male,Important,0.45276,123,243,0.39005,0.51548
1992,Direct migration background,male,Less important,0.25454,61,243,0.19966,0.30942
1992,Direct migration background,female,Very important,0.18272,53,293,0.13840,0.22705
1992,Direct migration background,female,Important,0.48925,164,293,0.43191,0.54658
1992,Direct migration background,female,Less important,0.25545,76,293,0.20542,0.30547
1995,No migration background,male,Very important,0.19255,987,4698,0.18127,0.20382
1995,No migration background,male,Important,0.52717,2605,4698,0.51289,0.54145
1995,No migration background,male,Less important,0.23398,959,4698,0.22188,0.24609
1995,No migration background,male,Unimportant,0.04630,147,4698,0.04029,0.05231
1995,No migration background,female,Very important,0.17711,1016,5177,0.16671,0.18751
