year,pgisced97,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No answer / don't know,male,No,0.99613,329,329,0.98941,1.00285
2014,No answer / don't know,female,No,0.98942,278,278,0.97738,1.00147
2014,Primary Level,male,No,0.99546,209,209,0.98633,1.00460
2014,Primary Level,female,No,0.97395,289,289,0.95556,0.99235
2014,Lower Secondary Level,male,No,0.98108,1171,1171,0.97327,0.98889
2014,Lower Secondary Level,female,No,0.99087,1896,1896,0.98658,0.99515
2014,Upper Secondary Level,male,Yes,0.00888,39,5657,0.00644,0.01133
2014,Upper Secondary Level,male,No,0.99112,5618,5657,0.98867,0.99356
2014,Upper Secondary Level,female,Yes,0.01169,95,6879,0.00915,0.01423
2014,Upper Secondary Level,female,No,0.98831,6784,6879,0.98577,0.99085
2014,Post-secondary Non-tertiary Level,male,No,0.97959,730,730,0.96933,0.98985
2014,Post-secondary Non-tertiary Level,female,Yes,0.01892,32,1299,0.01151,0.02633
2014,Post-secondary Non-tertiary Level,female,No,0.98108,1267,1299,0.97367,0.98849
2014,First Stage of Tertiary Education,male,No,0.99732,979,979,0.99409,1.00056
2014,First Stage of Tertiary Education,female,No,0.97581,601,601,0.96352,0.98811
2014,Second Stage of Tertiary Education,male,No,0.99094,3075,3075,0.98759,0.99429
2014,Second Stage of Tertiary Education,female,Yes,0.01396,62,3127,0.00985,0.01807
2014,Second Stage of Tertiary Education,female,No,0.98604,3065,3127,0.98193,0.99015
2015,No answer / don't know,male,No,0.99463,323,323,0.98665,1.00261
2015,No answer / don't know,female,No,0.95071,308,308,0.92649,0.97492
2015,Primary Level,male,No,0.98551,214,214,0.96945,1.00156
2015,Primary Level,female,No,0.99263,311,311,0.98311,1.00215
2015,Lower Secondary Level,male,No,0.98140,1158,1158,0.97362,0.98919
2015,Lower Secondary Level,female,No,0.98983,1773,1773,0.98516,0.99450
2015,Upper Secondary Level,male,Yes,0.01315,50,5467,0.01013,0.01617
2015,Upper Secondary Level,male,No,0.98685,5417,5467,0.98383,0.98987
2015,Upper Secondary Level,female,Yes,0.01014,69,6696,0.00774,0.01254
2015,Upper Secondary Level,female,No,0.98986,6627,6696,0.98746,0.99226
2015,Post-secondary Non-tertiary Level,male,No,0.99170,799,799,0.98541,0.99800
2015,Post-secondary Non-tertiary Level,female,No,0.97700,1320,1320,0.96890,0.98509
2015,First Stage of Tertiary Education,male,No,0.99417,942,942,0.98931,0.99904
2015,First Stage of Tertiary Education,female,No,0.98595,577,577,0.97634,0.99556
2015,Second Stage of Tertiary Education,male,No,0.99217,3181,3181,0.98910,0.99523
2015,Second Stage of Tertiary Education,female,Yes,0.01656,51,3224,0.01216,0.02097
2015,Second Stage of Tertiary Education,female,No,0.98344,3173,3224,0.97903,0.98784
2016,No answer / don't know,male,No,0.99567,413,413,0.98932,1.00201
2016,No answer / don't know,female,No,0.95293,364,364,0.93115,0.97472
2016,Pre-primary Level,female,No,0.99355,201,201,0.98245,1.00464
2016,Primary Level,male,No,0.99742,715,715,0.99370,1.00114
2016,Primary Level,female,No,0.97557,713,713,0.96423,0.98691
2016,Lower Secondary Level,male,No,0.98717,1333,1333,0.98112,0.99321
2016,Lower Secondary Level,female,No,0.99611,1787,1787,0.99323,0.99900
2016,Upper Secondary Level,male,Yes,0.01078,57,5266,0.00799,0.01357
2016,Upper Secondary Level,male,No,0.98922,5209,5266,0.98643,0.99201
2016,Upper Secondary Level,female,Yes,0.00824,61,6264,0.00600,0.01048
2016,Upper Secondary Level,female,No,0.99176,6203,6264,0.98952,0.99400
2016,Post-secondary Non-tertiary Level,male,No,0.98072,783,783,0.97109,0.99036
2016,Post-secondary Non-tertiary Level,female,No,0.97989,1267,1267,0.97215,0.98762
2016,First Stage of Tertiary Education,male,No,0.99435,855,855,0.98932,0.99938
2016,First Stage of Tertiary Education,female,No,0.97209,534,534,0.95811,0.98608
2016,Second Stage of Tertiary Education,male,No,0.99568,3267,3267,0.99343,0.99793
2016,Second Stage of Tertiary Education,female,Yes,0.01933,73,3194,0.01455,0.02410
2016,Second Stage of Tertiary Education,female,No,0.98067,3121,3194,0.97590,0.98545
2017,No answer / don't know,male,No,0.98584,454,454,0.97496,0.99672
2017,No answer / don't know,female,No,0.97916,370,370,0.96458,0.99373
2017,Pre-primary Level,female,No,0.99673,221,221,0.98919,1.00427
2017,Primary Level,male,No,0.98455,913,913,0.97655,0.99255
2017,Primary Level,female,No,0.99510,938,938,0.99063,0.99957
2017,Lower Secondary Level,male,No,0.99206,1510,1510,0.98758,0.99654
2017,Lower Secondary Level,female,No,0.99008,2003,2003,0.98574,0.99442
2017,Upper Secondary Level,male,Yes,0.01006,63,5852,0.00751,0.01262
2017,Upper Secondary Level,male,No,0.98994,5789,5852,0.98738,0.99249
2017,Upper Secondary Level,female,Yes,0.00521,60,6888,0.00351,0.00691
2017,Upper Secondary Level,female,No,0.99479,6828,6888,0.99309,0.99649
2017,Post-secondary Non-tertiary Level,male,No,0.98205,861,861,0.97318,0.99092
2017,Post-secondary Non-tertiary Level,female,Yes,0.01799,33,1438,0.01112,0.02486
2017,Post-secondary Non-tertiary Level,female,No,0.98201,1405,1438,0.97514,0.98888
2017,First Stage of Tertiary Education,male,No,0.99565,936,936,0.99143,0.99987
2017,First Stage of Tertiary Education,female,No,0.99005,584,584,0.98199,0.99811
2017,Second Stage of Tertiary Education,male,Yes,0.01139,42,3729,0.00798,0.01480
2017,Second Stage of Tertiary Education,male,No,0.98861,3687,3729,0.98520,0.99202
2017,Second Stage of Tertiary Education,female,Yes,0.02057,80,3520,0.01588,0.02526
2017,Second Stage of Tertiary Education,female,No,0.97943,3440,3520,0.97474,0.98412
2018,No answer / don't know,male,No,0.99754,491,491,0.99315,1.00193
2018,No answer / don't know,female,No,0.99757,385,385,0.99265,1.00249
2018,Primary Level,male,No,0.98183,854,854,0.97287,0.99079
2018,Primary Level,female,No,0.98548,876,876,0.97755,0.99340
2018,Lower Secondary Level,male,No,0.98842,1487,1487,0.98298,0.99386
2018,Lower Secondary Level,female,No,0.98591,1890,1890,0.98060,0.99123
2018,Upper Secondary Level,male,Yes,0.00774,50,5556,0.00543,0.01004
2018,Upper Secondary Level,male,No,0.99226,5506,5556,0.98996,0.99457
2018,Upper Secondary Level,female,Yes,0.00560,57,6584,0.00380,0.00741
2018,Upper Secondary Level,female,No,0.99440,6527,6584,0.99259,0.99620
2018,Post-secondary Non-tertiary Level,male,No,0.99029,827,827,0.98360,0.99698
2018,Post-secondary Non-tertiary Level,female,No,0.97824,1348,1348,0.97045,0.98603
2018,First Stage of Tertiary Education,male,No,0.99031,866,866,0.98379,0.99684
2018,First Stage of Tertiary Education,female,No,0.98292,565,565,0.97223,0.99361
2018,Second Stage of Tertiary Education,male,Yes,0.00686,37,3553,0.00414,0.00957
2018,Second Stage of Tertiary Education,male,No,0.99314,3516,3553,0.99043,0.99586
2018,Second Stage of Tertiary Education,female,Yes,0.01632,60,3421,0.01207,0.02056
2018,Second Stage of Tertiary Education,female,No,0.98368,3361,3421,0.97944,0.98793
2019,No answer / don't know,male,No,0.99605,431,431,0.99012,1.00198
2019,No answer / don't know,female,No,0.98131,371,371,0.96750,0.99511
2019,Primary Level,male,No,0.99655,850,850,0.99261,1.00049
2019,Primary Level,female,No,0.95677,790,790,0.94258,0.97096
2019,Lower Secondary Level,male,No,0.98352,1392,1392,0.97683,0.99021
2019,Lower Secondary Level,female,No,0.99699,1665,1665,0.99435,0.99962
2019,Upper Secondary Level,male,Yes,0.00637,47,5382,0.00424,0.00849
2019,Upper Secondary Level,male,No,0.99363,5335,5382,0.99151,0.99576
2019,Upper Secondary Level,female,Yes,0.00761,58,6302,0.00547,0.00976
2019,Upper Secondary Level,female,No,0.99239,6244,6302,0.99024,0.99453
2019,Post-secondary Non-tertiary Level,male,No,0.99369,868,868,0.98842,0.99896
2019,Post-secondary Non-tertiary Level,female,No,0.98248,1351,1351,0.97548,0.98948
2019,First Stage of Tertiary Education,male,No,0.99174,1069,1069,0.98631,0.99717
2019,First Stage of Tertiary Education,female,No,0.96125,575,575,0.94546,0.97704
2019,Second Stage of Tertiary Education,male,Yes,0.00642,37,4033,0.00395,0.00888
2019,Second Stage of Tertiary Education,male,No,0.99358,3996,4033,0.99112,0.99605
2019,Second Stage of Tertiary Education,female,Yes,0.01440,53,3548,0.01048,0.01832
