year,migback,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,West,Yes,0.01190,179,14975,0.01017,0.01364
2014,No migration background,West,No,0.98810,14796,14975,0.98636,0.98983
2014,No migration background,East,Yes,0.00604,48,5126,0.00392,0.00817
2014,No migration background,East,No,0.99396,5078,5126,0.99183,0.99608
2014,Direct migration background,West,Yes,0.00915,69,4913,0.00649,0.01182
2014,Direct migration background,West,No,0.99085,4844,4913,0.98818,0.99351
2014,Direct migration background,East,No,0.98005,354,354,0.96546,0.99464
2014,Indirect migration background,West,Yes,0.02978,31,1609,0.02147,0.03808
2014,Indirect migration background,West,No,0.97022,1578,1609,0.96192,0.97853
2015,No migration background,West,Yes,0.01364,143,14262,0.01174,0.01555
2015,No migration background,West,No,0.98636,14119,14262,0.98445,0.98826
2015,No migration background,East,Yes,0.00816,53,4868,0.00563,0.01069
2015,No migration background,East,No,0.99184,4815,4868,0.98931,0.99437
2015,Direct migration background,West,Yes,0.00793,59,5611,0.00561,0.01025
2015,Direct migration background,West,No,0.99207,5552,5611,0.98975,0.99439
2015,Direct migration background,East,No,0.99013,437,437,0.98085,0.99941
2015,Indirect migration background,West,No,0.98021,1483,1483,0.97312,0.98730
2015,Indirect migration background,East,No,0.98120,92,92,0.95329,1.00910
2016,No migration background,West,Yes,0.01041,125,13207,0.00868,0.01214
2016,No migration background,West,No,0.98959,13082,13207,0.98786,0.99132
2016,No migration background,East,Yes,0.00827,44,4556,0.00564,0.01090
2016,No migration background,East,No,0.99173,4512,4556,0.98910,0.99436
2016,Direct migration background,West,Yes,0.01075,114,7130,0.00836,0.01315
2016,Direct migration background,West,No,0.98925,7016,7130,0.98685,0.99164
2016,Direct migration background,East,No,0.97934,862,862,0.96983,0.98884
2016,Indirect migration background,West,No,0.97171,1352,1352,0.96287,0.98055
2016,Indirect migration background,East,No,0.99226,98,98,0.97483,1.00970
2017,No migration background,West,Yes,0.00906,151,15004,0.00754,0.01057
2017,No migration background,West,No,0.99094,14853,15004,0.98943,0.99246
2017,No migration background,East,Yes,0.00831,51,5106,0.00582,0.01080
2017,No migration background,East,No,0.99169,5055,5106,0.98920,0.99418
2017,Direct migration background,West,Yes,0.01405,129,7818,0.01144,0.01666
2017,Direct migration background,West,No,0.98595,7689,7818,0.98334,0.98856
2017,Direct migration background,East,No,0.99125,953,953,0.98533,0.99716
2017,Indirect migration background,West,No,0.97541,1495,1495,0.96756,0.98327
2017,Indirect migration background,East,No,0.99203,98,98,0.97434,1.00972
2018,No migration background,West,Yes,0.00878,131,14408,0.00725,0.01030
2018,No migration background,West,No,0.99122,14277,14408,0.98970,0.99275
2018,No migration background,East,Yes,0.00530,32,5002,0.00328,0.00731
2018,No migration background,East,No,0.99470,4970,5002,0.99269,0.99672
2018,Direct migration background,West,Yes,0.01304,126,7289,0.01043,0.01564
2018,Direct migration background,West,No,0.98696,7163,7289,0.98436,0.98957
2018,Direct migration background,East,Yes,0.03951,39,892,0.02672,0.05230
2018,Direct migration background,East,No,0.96049,853,892,0.94770,0.97328
2018,Indirect migration background,West,No,0.98371,1481,1481,0.97726,0.99016
2018,Indirect migration background,East,No,0.98922,112,112,0.97001,1.00843
2019,No migration background,West,Yes,0.00862,134,14938,0.00714,0.01010
2019,No migration background,West,No,0.99138,14804,14938,0.98990,0.99286
2019,No migration background,East,Yes,0.00728,46,5115,0.00495,0.00961
2019,No migration background,East,No,0.99272,5069,5115,0.99039,0.99505
2019,Direct migration background,West,Yes,0.01099,74,6612,0.00847,0.01350
2019,Direct migration background,West,No,0.98901,6538,6612,0.98650,0.99153
2019,Direct migration background,East,No,0.98252,745,745,0.97310,0.99193
2019,Indirect migration background,West,No,0.97776,1425,1425,0.97010,0.98542
2019,Indirect migration background,East,No,0.99903,116,116,0.99334,1.00472
