year,migback,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,Urban regions,Yes,0.01046,134,12321,0.00866,0.01225
2014,No migration background,Urban regions,No,0.98954,12187,12321,0.98775,0.99134
2014,No migration background,Rural regions,Yes,0.01107,93,7780,0.00875,0.01340
2014,No migration background,Rural regions,No,0.98893,7687,7780,0.98660,0.99125
2014,Direct migration background,Urban regions,Yes,0.01044,60,3951,0.00727,0.01361
2014,Direct migration background,Urban regions,No,0.98956,3891,3951,0.98639,0.99273
2014,Direct migration background,Rural regions,No,0.99311,1307,1307,0.98863,0.99760
2014,Indirect migration background,Urban regions,No,0.97311,1366,1366,0.96452,0.98169
2014,Indirect migration background,Rural regions,No,0.96258,302,302,0.94114,0.98402
2015,No migration background,Urban regions,Yes,0.01357,129,11691,0.01147,0.01566
2015,No migration background,Urban regions,No,0.98643,11562,11691,0.98434,0.98853
2015,No migration background,Rural regions,Yes,0.01052,67,7439,0.00820,0.01284
2015,No migration background,Rural regions,No,0.98948,7372,7439,0.98716,0.99180
2015,Direct migration background,Urban regions,Yes,0.00816,45,4510,0.00554,0.01079
2015,Direct migration background,Urban regions,No,0.99184,4465,4510,0.98921,0.99446
2015,Direct migration background,Rural regions,No,0.99245,1524,1524,0.98811,0.99680
2015,Indirect migration background,Urban regions,No,0.98240,1277,1277,0.97519,0.98962
2015,Indirect migration background,Rural regions,No,0.96972,298,298,0.95024,0.98921
2016,No migration background,Urban regions,Yes,0.01135,112,10868,0.00935,0.01334
2016,No migration background,Urban regions,No,0.98865,10756,10868,0.98666,0.99065
2016,No migration background,Rural regions,Yes,0.00741,57,6895,0.00539,0.00944
2016,No migration background,Rural regions,No,0.99259,6838,6895,0.99056,0.99461
2016,Direct migration background,Urban regions,Yes,0.01175,108,5829,0.00898,0.01452
2016,Direct migration background,Urban regions,No,0.98825,5721,5829,0.98548,0.99102
2016,Direct migration background,Rural regions,No,0.99021,2157,2157,0.98606,0.99437
2016,Indirect migration background,Urban regions,No,0.96880,1156,1156,0.95878,0.97883
2016,Indirect migration background,Rural regions,No,0.99113,294,294,0.98039,1.00187
2017,No migration background,Urban regions,Yes,0.00953,125,12288,0.00781,0.01125
2017,No migration background,Urban regions,No,0.99047,12163,12288,0.98875,0.99219
2017,No migration background,Rural regions,Yes,0.00771,77,7822,0.00577,0.00965
2017,No migration background,Rural regions,No,0.99229,7745,7822,0.99035,0.99423
2017,Direct migration background,Urban regions,Yes,0.01432,115,6307,0.01139,0.01725
2017,Direct migration background,Urban regions,No,0.98568,6192,6307,0.98275,0.98861
2017,Direct migration background,Rural regions,No,0.98833,2450,2450,0.98408,0.99259
2017,Indirect migration background,Urban regions,No,0.97511,1314,1314,0.96668,0.98354
2017,Indirect migration background,Rural regions,No,0.98256,279,279,0.96718,0.99795
2018,No migration background,Urban regions,Yes,0.00997,108,11944,0.00819,0.01175
2018,No migration background,Urban regions,No,0.99003,11836,11944,0.98825,0.99181
2018,No migration background,Rural regions,Yes,0.00445,55,7466,0.00294,0.00596
2018,No migration background,Rural regions,No,0.99555,7411,7466,0.99404,0.99706
2018,Direct migration background,Urban regions,Yes,0.01440,116,5990,0.01138,0.01742
2018,Direct migration background,Urban regions,No,0.98560,5874,5990,0.98258,0.98862
2018,Direct migration background,Rural regions,Yes,0.01488,49,2191,0.00981,0.01995
2018,Direct migration background,Rural regions,No,0.98512,2142,2191,0.98005,0.99019
2018,Indirect migration background,Urban regions,No,0.98405,1298,1298,0.97723,0.99087
2018,Indirect migration background,Rural regions,No,0.98368,295,295,0.96920,0.99817
2019,No migration background,No answer / don't know,No,0.98071,475,475,0.96832,0.99309
2019,No migration background,Urban regions,Yes,0.00908,109,12179,0.00740,0.01077
2019,No migration background,Urban regions,No,0.99092,12070,12179,0.98923,0.99260
2019,No migration background,Rural regions,Yes,0.00633,63,7458,0.00453,0.00813
2019,No migration background,Rural regions,No,0.99367,7395,7458,0.99187,0.99547
2019,Direct migration background,Urban regions,Yes,0.01091,67,5392,0.00813,0.01368
2019,Direct migration background,Urban regions,No,0.98909,5325,5392,0.98632,0.99187
2019,Direct migration background,Rural regions,No,0.98663,1929,1929,0.98150,0.99175
2019,Indirect migration background,No answer / don't know,No,0.96009,37,37,0.89615,1.02404
2019,Indirect migration background,Urban regions,No,0.97575,1223,1223,0.96713,0.98438
2019,Indirect migration background,Rural regions,No,0.99811,287,287,0.99307,1.00314
2020,No migration background,Urban regions,Yes,0.00958,109,11594,0.00781,0.01135
2020,No migration background,Urban regions,No,0.99042,11485,11594,0.98865,0.99219
2020,No migration background,Rural regions,Yes,0.00640,47,6927,0.00452,0.00827
2020,No migration background,Rural regions,No,0.99360,6880,6927,0.99173,0.99548
2020,Direct migration background,Urban regions,Yes,0.01007,96,7117,0.00775,0.01239
2020,Direct migration background,Urban regions,No,0.98993,7021,7117,0.98761,0.99225
2020,Direct migration background,Rural regions,No,0.98618,2204,2204,0.98130,0.99105
2020,Indirect migration background,Urban regions,No,0.98944,1227,1227,0.98372,0.99516
2020,Indirect migration background,Rural regions,No,0.98425,288,288,0.96985,0.99866
2021,No migration background,Urban regions,Yes,0.00897,77,8296,0.00694,0.01099
2021,No migration background,Urban regions,No,0.99103,8219,8296,0.98901,0.99306
2021,No migration background,Rural regions,Yes,0.00373,35,4841,0.00201,0.00545
2021,No migration background,Rural regions,No,0.99627,4806,4841,0.99455,0.99799
2021,Direct migration background,Urban regions,Yes,0.00983,71,4246,0.00686,0.01280
2021,Direct migration background,Urban regions,No,0.99017,4175,4246,0.98720,0.99314
