year,bula_h,migback,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Schleswig-Holstein,No migration background,No,0.84570,679,679,0.81851,0.87289
2014,Schleswig-Holstein,Direct migration background,No,0.97070,184,184,0.94626,0.99513
2014,Schleswig-Holstein,Indirect migration background,No,0.48082,50,50,0.34092,0.62072
2014,Hamburg,No migration background,No,0.90062,293,293,0.86631,0.93494
2014,Hamburg,Direct migration background,No,0.95093,116,116,0.91145,0.99041
2014,Hamburg,Indirect migration background,No,0.47301,35,35,0.30519,0.64084
2014,Lower Saxony,No migration background,No,0.85478,1976,1976,0.83925,0.87032
2014,Lower Saxony,Direct migration background,No,0.96645,486,486,0.95042,0.98248
2014,Lower Saxony,Indirect migration background,No,0.34974,109,109,0.25980,0.43968
2014,Bremen,No migration background,No,0.92152,130,130,0.87512,0.96793
2014,Bremen,Direct migration background,No,0.97579,65,65,0.93814,1.01345
2014,North Rhine-Westphalia,No migration background,Yes,0.00849,41,3746,0.00556,0.01143
2014,North Rhine-Westphalia,No migration background,No,0.84920,3705,3746,0.83774,0.86066
2014,North Rhine-Westphalia,Direct migration background,No,0.94902,1375,1375,0.93739,0.96065
2014,North Rhine-Westphalia,Indirect migration background,No,0.47519,488,488,0.43084,0.51954
2014,Hesse,No migration background,No,0.84245,1234,1234,0.82211,0.86278
2014,Hesse,Direct migration background,No,0.95402,461,461,0.93488,0.97316
2014,Hesse,Indirect migration background,No,0.52101,162,162,0.44385,0.59818
2014,"Rhineland-Palatinate, Saarland",No migration background,No,0.83908,1075,1075,0.81710,0.86105
2014,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.96093,380,380,0.94142,0.98044
2014,"Rhineland-Palatinate, Saarland",Indirect migration background,No,0.56117,114,114,0.46967,0.65267
2014,Baden-Wuerttemberg,No migration background,No,0.84686,2131,2131,0.83157,0.86216
2014,Baden-Wuerttemberg,Direct migration background,No,0.96348,764,764,0.95017,0.97679
2014,Baden-Wuerttemberg,Indirect migration background,No,0.49616,294,294,0.43891,0.55341
2014,Bavaria,No migration background,Yes,0.01101,37,3198,0.00739,0.01463
2014,Bavaria,No migration background,No,0.84848,3161,3198,0.83606,0.86091
2014,Bavaria,Direct migration background,No,0.95173,910,910,0.93780,0.96567
2014,Bavaria,Indirect migration background,No,0.47760,269,269,0.41780,0.53740
2014,Berlin,No migration background,No,0.86842,780,780,0.84468,0.89216
2014,Berlin,Direct migration background,No,0.94328,141,141,0.90497,0.98160
2014,Berlin,Indirect migration background,No,0.41072,54,54,0.27827,0.54317
2014,Brandenburg,No migration background,No,0.86367,900,900,0.84124,0.88610
2014,Brandenburg,Direct migration background,No,0.85168,99,99,0.78131,0.92205
2014,Mecklenburg-Western Pomerania,No migration background,No,0.85477,523,523,0.82455,0.88500
2014,Saxony,No migration background,No,0.85390,1495,1495,0.83599,0.87181
2014,Saxony,Direct migration background,No,0.92520,78,78,0.86645,0.98396
2014,Saxony-Anhalt,No migration background,No,0.86813,866,866,0.84558,0.89068
2014,Saxony-Anhalt,Direct migration background,No,0.96818,70,70,0.92676,1.00959
2014,Thuringa,No migration background,No,0.83642,926,926,0.81258,0.86026
2014,Thuringa,Direct migration background,No,0.92666,48,48,0.85213,1.00119
2015,Schleswig-Holstein,No migration background,No,0.85544,678,678,0.82895,0.88193
2015,Schleswig-Holstein,Direct migration background,No,0.93574,172,172,0.89899,0.97250
2015,Schleswig-Holstein,Indirect migration background,No,0.48119,44,44,0.33185,0.63054
2015,Hamburg,No migration background,No,0.88456,299,299,0.84828,0.92084
2015,Hamburg,Direct migration background,No,0.92394,130,130,0.87819,0.96969
2015,Hamburg,Indirect migration background,No,0.48572,31,31,0.30687,0.66457
2015,Lower Saxony,No migration background,No,0.85556,1871,1871,0.83962,0.87149
2015,Lower Saxony,Direct migration background,No,0.96332,612,612,0.94842,0.97823
2015,Lower Saxony,Indirect migration background,No,0.29434,103,103,0.20589,0.38278
2015,Bremen,No migration background,No,0.84335,105,105,0.77350,0.91321
2015,Bremen,Direct migration background,No,0.97531,65,65,0.93728,1.01333
2015,North Rhine-Westphalia,No migration background,Yes,0.01455,40,3543,0.01061,0.01850
2015,North Rhine-Westphalia,No migration background,No,0.84448,3503,3543,0.83254,0.85641
2015,North Rhine-Westphalia,Direct migration background,No,0.94764,1545,1545,0.93653,0.95875
2015,North Rhine-Westphalia,Indirect migration background,No,0.48638,450,450,0.44014,0.53261
2015,Hesse,No migration background,No,0.84536,1181,1181,0.82473,0.86599
2015,Hesse,Direct migration background,No,0.95562,540,540,0.93824,0.97301
2015,Hesse,Indirect migration background,No,0.44728,144,144,0.36578,0.52877
2015,"Rhineland-Palatinate, Saarland",No migration background,No,0.85253,1039,1039,0.83096,0.87410
