year,quintil_oecd,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,1st Quintile,Urban regions,Yes,0.00635,58,3709,0.00380,0.00891
2014,1st Quintile,Urban regions,No,0.78557,3651,3709,0.77236,0.79878
2014,1st Quintile,Rural regions,Yes,0.01176,35,2116,0.00717,0.01636
2014,1st Quintile,Rural regions,No,0.78874,2081,2116,0.77134,0.80613
2014,2nd Quintile,Urban regions,Yes,0.01271,55,3386,0.00894,0.01648
2014,2nd Quintile,Urban regions,No,0.79596,3331,3386,0.78238,0.80953
2014,2nd Quintile,Rural regions,No,0.83156,2104,2104,0.81557,0.84756
2014,3rd Quintile,Urban regions,No,0.82342,3156,3156,0.81011,0.83672
2014,3rd Quintile,Rural regions,No,0.84637,1954,1954,0.83038,0.86236
2014,4th Quintile,Urban regions,Yes,0.00828,33,3356,0.00522,0.01135
2014,4th Quintile,Urban regions,No,0.84639,3323,3356,0.83419,0.85859
2014,4th Quintile,Rural regions,No,0.86754,1789,1789,0.85182,0.88325
2014,5th Quintile,Urban regions,Yes,0.01186,43,4023,0.00852,0.01521
2014,5th Quintile,Urban regions,No,0.88219,3980,4023,0.87222,0.89215
2014,5th Quintile,Rural regions,No,0.89677,1364,1364,0.88062,0.91292
2015,1st Quintile,Urban regions,Yes,0.01479,62,3234,0.01063,0.01895
2015,1st Quintile,Urban regions,No,0.78018,3172,3234,0.76591,0.79446
2015,1st Quintile,Rural regions,Yes,0.01684,31,1894,0.01104,0.02263
2015,1st Quintile,Rural regions,No,0.79092,1863,1894,0.77260,0.80924
2015,2nd Quintile,Urban regions,Yes,0.00794,35,3159,0.00484,0.01103
2015,2nd Quintile,Urban regions,No,0.82307,3124,3159,0.80976,0.83638
2015,2nd Quintile,Rural regions,No,0.83157,2090,2090,0.81553,0.84762
2015,3rd Quintile,Urban regions,No,0.81965,2973,2973,0.80583,0.83348
2015,3rd Quintile,Rural regions,No,0.84364,1838,1838,0.82703,0.86025
2015,4th Quintile,Urban regions,Yes,0.00835,31,3071,0.00513,0.01156
2015,4th Quintile,Urban regions,No,0.85397,3040,3071,0.84148,0.86647
2015,4th Quintile,Rural regions,No,0.85952,1680,1680,0.84290,0.87614
2015,5th Quintile,Urban regions,Yes,0.00897,38,3801,0.00597,0.01197
2015,5th Quintile,Urban regions,No,0.88442,3763,3801,0.87426,0.89459
2015,5th Quintile,Rural regions,No,0.89583,1302,1302,0.87923,0.91243
2016,1st Quintile,Urban regions,Yes,0.00966,63,3198,0.00627,0.01305
2016,1st Quintile,Urban regions,No,0.77561,3135,3198,0.76115,0.79007
2016,1st Quintile,Rural regions,No,0.78344,1833,1833,0.76458,0.80230
2016,2nd Quintile,Urban regions,No,0.81886,3043,3043,0.80517,0.83254
2016,2nd Quintile,Rural regions,No,0.82828,2002,2002,0.81176,0.84481
2016,3rd Quintile,Urban regions,Yes,0.01550,39,2866,0.01098,0.02003
2016,3rd Quintile,Urban regions,No,0.81637,2827,2866,0.80219,0.83055
2016,3rd Quintile,Rural regions,No,0.83902,1747,1747,0.82178,0.85626
2016,4th Quintile,Urban regions,Yes,0.01012,33,3023,0.00655,0.01369
2016,4th Quintile,Urban regions,No,0.84610,2990,3023,0.83324,0.85897
2016,4th Quintile,Rural regions,No,0.87204,1594,1594,0.85564,0.88845
2016,5th Quintile,Urban regions,Yes,0.01161,35,3616,0.00812,0.01511
2016,5th Quintile,Urban regions,No,0.88391,3581,3616,0.87347,0.89435
2016,5th Quintile,Rural regions,No,0.89419,1245,1245,0.87709,0.91128
2017,1st Quintile,Urban regions,Yes,0.01170,87,4074,0.00840,0.01500
2017,1st Quintile,Urban regions,No,0.76810,3987,4074,0.75514,0.78106
2017,1st Quintile,Rural regions,No,0.79318,2116,2116,0.77592,0.81044
2017,2nd Quintile,Urban regions,No,0.82921,2954,2954,0.81564,0.84278
2017,2nd Quintile,Rural regions,No,0.80731,1911,1911,0.78962,0.82499
2017,3rd Quintile,Urban regions,No,0.81889,2668,2668,0.80428,0.83351
2017,3rd Quintile,Rural regions,No,0.84378,1725,1725,0.82665,0.86092
2017,4th Quintile,Urban regions,Yes,0.00846,32,2836,0.00509,0.01183
2017,4th Quintile,Urban regions,No,0.86369,2804,2836,0.85106,0.87632
2017,4th Quintile,Rural regions,No,0.88722,1510,1510,0.87126,0.90318
2017,5th Quintile,Urban regions,No,0.88445,3397,3397,0.87370,0.89520
2017,5th Quintile,Rural regions,No,0.87804,1109,1109,0.85877,0.89731
2018,1st Quintile,Urban regions,Yes,0.01163,80,4724,0.00857,0.01468
2018,1st Quintile,Urban regions,No,0.77522,4644,4724,0.76331,0.78712
2018,1st Quintile,Rural regions,No,0.79985,2423,2423,0.78391,0.81578
2018,2nd Quintile,Urban regions,Yes,0.00999,37,3269,0.00658,0.01340
2018,2nd Quintile,Urban regions,No,0.81723,3232,3269,0.80398,0.83048
2018,2nd Quintile,Rural regions,No,0.80794,2032,2032,0.79081,0.82508
2018,3rd Quintile,Urban regions,Yes,0.00877,32,2984,0.00543,0.01212
2018,3rd Quintile,Urban regions,No,0.83040,2952,2984,0.81694,0.84387
2018,3rd Quintile,Rural regions,No,0.83916,1826,1826,0.82230,0.85601
2018,4th Quintile,Urban regions,No,0.85300,3048,3048,0.84042,0.86557
2018,4th Quintile,Rural regions,No,0.88514,1650,1650,0.86975,0.90053
2018,5th Quintile,Urban regions,No,0.88748,3692,3692,0.87729,0.89768
2018,5th Quintile,Rural regions,No,0.88846,1335,1335,0.87157,0.90536
2019,1st Quintile,Urban regions,Yes,0.00685,60,4730,0.00450,0.00920
2019,1st Quintile,Urban regions,No,0.77028,4670,4730,0.75829,0.78227
2019,1st Quintile,Rural regions,Yes,0.01120,34,2350,0.00695,0.01546
2019,1st Quintile,Rural regions,No,0.79490,2316,2350,0.77858,0.81123
2019,2nd Quintile,Urban regions,No,0.81858,2955,2955,0.80468,0.83247
2019,2nd Quintile,Rural regions,No,0.80568,1930,1930,0.78802,0.82333
2019,3rd Quintile,Urban regions,Yes,0.01054,34,2769,0.00674,0.01434
2019,3rd Quintile,Urban regions,No,0.82623,2735,2769,0.81211,0.84035
2019,3rd Quintile,Rural regions,No,0.83265,1660,1660,0.81468,0.85061
2019,4th Quintile,Urban regions,Yes,0.00979,33,2772,0.00613,0.01346
2019,4th Quintile,Urban regions,No,0.83536,2739,2772,0.82155,0.84916
2019,4th Quintile,Rural regions,No,0.87589,1496,1496,0.85917,0.89260
2019,5th Quintile,Urban regions,No,0.89331,3488,3488,0.88307,0.90356
2019,5th Quintile,Rural regions,No,0.88449,1295,1295,0.86708,0.90191
2020,1st Quintile,Urban regions,Yes,0.00972,48,4400,0.00682,0.01262
2020,1st Quintile,Urban regions,No,0.78823,4352,4400,0.77615,0.80030
2020,1st Quintile,Rural regions,No,0.78537,2163,2163,0.76806,0.80268
2020,2nd Quintile,Urban regions,No,0.81509,2866,2866,0.80088,0.82931
2020,2nd Quintile,Rural regions,No,0.79006,1929,1929,0.77188,0.80824
2020,3rd Quintile,Urban regions,No,0.83189,2702,2702,0.81779,0.84599
2020,3rd Quintile,Rural regions,No,0.83629,1530,1530,0.81774,0.85483
2020,4th Quintile,Urban regions,No,0.83576,2922,2922,0.82233,0.84920
2020,4th Quintile,Rural regions,No,0.86513,1566,1566,0.84820,0.88205
2020,5th Quintile,Urban regions,Yes,0.00846,37,4370,0.00575,0.01118
2020,5th Quintile,Urban regions,No,0.87035,4333,4370,0.86039,0.88031
2020,5th Quintile,Rural regions,No,0.88607,1580,1580,0.87040,0.90174
2021,1st Quintile,Urban regions,Yes,0.00534,46,3338,0.00287,0.00781
2021,1st Quintile,Urban regions,No,0.78259,3292,3338,0.76859,0.79658
2021,1st Quintile,Rural regions,No,0.79555,1437,1437,0.77469,0.81641
2021,2nd Quintile,Urban regions,No,0.79323,2163,2163,0.77616,0.81030
2021,2nd Quintile,Rural regions,No,0.82123,1344,1344,0.80074,0.84172
2021,3rd Quintile,Urban regions,No,0.82111,1980,1980,0.80423,0.83800
2021,3rd Quintile,Rural regions,No,0.79300,1127,1127,0.76934,0.81667
2021,4th Quintile,Urban regions,No,0.83904,2091,2091,0.82328,0.85479
2021,4th Quintile,Rural regions,No,0.87654,1073,1073,0.85685,0.89623
2021,5th Quintile,Urban regions,Yes,0.00742,32,3170,0.00444,0.01041
2021,5th Quintile,Urban regions,No,0.86848,3138,3170,0.85671,0.88025
2021,5th Quintile,Rural regions,No,0.88888,1102,1102,0.87032,0.90745
2022,1st Quintile,Urban regions,Yes,0.00927,42,2970,0.00582,0.01271
2022,1st Quintile,Urban regions,No,0.78756,2928,2970,0.77285,0.80228
2022,1st Quintile,Rural regions,No,0.78609,1272,1272,0.76355,0.80864
