year,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,male,Yes,0.00817,107,12432,0.00658,0.00975
2014,male,No,0.82859,12325,12432,0.82197,0.83522
2014,female,Yes,0.01103,233,14648,0.00934,0.01272
2014,female,No,0.83772,14415,14648,0.83175,0.84369
2015,male,Yes,0.00932,108,12310,0.00762,0.01101
2015,male,No,0.82936,12202,12310,0.82271,0.83601
2015,female,Yes,0.01124,180,14476,0.00952,0.01296
2015,female,No,0.83865,14296,14476,0.83266,0.84464
2016,male,Yes,0.00769,136,12868,0.00618,0.00920
2016,male,No,0.82618,12732,12868,0.81964,0.83273
2016,female,Yes,0.01096,198,14388,0.00926,0.01266
2016,female,No,0.83818,14190,14388,0.83216,0.84420
2017,male,Yes,0.00862,166,14520,0.00712,0.01012
2017,male,No,0.82345,14354,14520,0.81725,0.82966
2017,female,Yes,0.00896,206,15995,0.00750,0.01042
2017,female,No,0.83814,15789,15995,0.83243,0.84385
2018,male,Yes,0.00680,158,13875,0.00543,0.00816
2018,male,No,0.82953,13717,13875,0.82327,0.83579
2018,female,Yes,0.00928,192,15331,0.00776,0.01080
2018,female,No,0.84128,15139,15331,0.83550,0.84707
2019,male,Yes,0.00603,131,14241,0.00476,0.00730
2019,male,No,0.82507,14110,14241,0.81883,0.83131
2019,female,Yes,0.00996,170,14827,0.00836,0.01156
2019,female,No,0.83521,14657,14827,0.82924,0.84118
2020,male,Yes,0.00786,151,14609,0.00643,0.00929
2020,male,No,0.82167,14458,14609,0.81546,0.82788
2020,female,Yes,0.00719,146,14786,0.00583,0.00855
2020,female,No,0.83467,14640,14786,0.82868,0.84065
2021,male,Yes,0.00580,108,9453,0.00427,0.00733
2021,male,No,0.81848,9345,9453,0.81071,0.82625
2021,female,Yes,0.00715,111,10049,0.00550,0.00880
2021,female,No,0.82806,9938,10049,0.82068,0.83544
2022,male,Yes,0.01153,217,13566,0.00974,0.01333
2022,male,No,0.80569,13349,13566,0.79903,0.81234
2022,female,Yes,0.00836,253,14246,0.00686,0.00985
2022,female,No,0.82085,13993,14246,0.81455,0.82715
