year,bula_h,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Schleswig-Holstein,West,No,0.83729,913,913,0.81333,0.86125
2014,Hamburg,West,No,0.86176,444,444,0.82962,0.89390
2014,Lower Saxony,West,Yes,0.00743,36,2607,0.00414,0.01073
2014,Lower Saxony,West,No,0.83667,2571,2607,0.82247,0.85086
2014,Bremen,West,No,0.85330,209,209,0.80522,0.90138
2014,North Rhine-Westphalia,West,Yes,0.00941,71,5639,0.00689,0.01193
2014,North Rhine-Westphalia,West,No,0.82451,5568,5639,0.81458,0.83444
2014,Hesse,West,No,0.82433,1857,1857,0.80701,0.84164
2014,"Rhineland-Palatinate, Saarland",West,No,0.82674,1569,1569,0.80800,0.84547
2014,Baden-Wuerttemberg,West,Yes,0.00772,32,3221,0.00470,0.01075
2014,Baden-Wuerttemberg,West,No,0.82827,3189,3221,0.81525,0.84130
2014,Bavaria,West,Yes,0.01284,63,4403,0.00952,0.01617
2014,Bavaria,West,No,0.82990,4340,4403,0.81881,0.84100
2014,Berlin,West,No,0.81192,558,558,0.77947,0.84438
2014,Berlin,East,No,0.86071,417,417,0.82744,0.89398
2014,Brandenburg,East,No,0.85508,1011,1011,0.83337,0.87679
2014,Mecklenburg-Western Pomerania,East,No,0.85415,553,553,0.82470,0.88359
2014,Saxony,East,No,0.85018,1597,1597,0.83267,0.86769
2014,Saxony-Anhalt,East,No,0.86425,956,956,0.84252,0.88597
2014,Thuringa,East,No,0.83531,988,988,0.81217,0.85845
2015,Schleswig-Holstein,West,No,0.84261,894,894,0.81872,0.86649
2015,Hamburg,West,No,0.85373,460,460,0.82140,0.88606
2015,Lower Saxony,West,No,0.83585,2586,2586,0.82157,0.85013
2015,Bremen,West,No,0.79916,181,181,0.74063,0.85769
2015,North Rhine-Westphalia,West,Yes,0.01467,79,5577,0.01151,0.01782
2015,North Rhine-Westphalia,West,No,0.82188,5498,5577,0.81184,0.83192
2015,Hesse,West,No,0.81832,1865,1865,0.80082,0.83583
2015,"Rhineland-Palatinate, Saarland",West,No,0.84278,1596,1596,0.82491,0.86064
2015,Baden-Wuerttemberg,West,No,0.84032,3188,3188,0.82761,0.85304
2015,Bavaria,West,Yes,0.00926,42,4382,0.00643,0.01210
2015,Bavaria,West,No,0.83018,4340,4382,0.81906,0.84130
2015,Berlin,West,No,0.82578,546,546,0.79394,0.85763
2015,Berlin,East,No,0.85422,428,428,0.82075,0.88769
2015,Brandenburg,East,No,0.84403,997,997,0.82150,0.86656
2015,Mecklenburg-Western Pomerania,East,No,0.83289,546,546,0.80157,0.86421
2015,Saxony,East,No,0.85171,1520,1520,0.83384,0.86958
2015,Saxony-Anhalt,East,No,0.86682,890,890,0.84449,0.88916
2015,Thuringa,East,No,0.84219,963,963,0.81916,0.86523
2016,Schleswig-Holstein,West,No,0.83413,974,974,0.81076,0.85750
2016,Hamburg,West,No,0.84185,458,458,0.80839,0.87530
2016,Lower Saxony,West,Yes,0.00855,41,2715,0.00509,0.01201
2016,Lower Saxony,West,No,0.84151,2674,2715,0.82777,0.85525
2016,Bremen,West,No,0.76415,223,223,0.70831,0.82000
2016,North Rhine-Westphalia,West,Yes,0.00819,67,5722,0.00586,0.01053
2016,North Rhine-Westphalia,West,No,0.82927,5655,5722,0.81952,0.83902
2016,Hesse,West,No,0.81845,1826,1826,0.80077,0.83614
2016,"Rhineland-Palatinate, Saarland",West,No,0.83441,1730,1730,0.81689,0.85193
2016,Baden-Wuerttemberg,West,Yes,0.01117,47,3191,0.00752,0.01482
2016,Baden-Wuerttemberg,West,No,0.82373,3144,3191,0.81051,0.83696
2016,Bavaria,West,Yes,0.00906,37,4222,0.00620,0.01192
2016,Bavaria,West,No,0.83123,4185,4222,0.81993,0.84253
2016,Berlin,West,No,0.84001,581,581,0.81017,0.86984
2016,Berlin,East,No,0.83886,418,418,0.80357,0.87414
2016,Brandenburg,East,No,0.84128,1037,1037,0.81902,0.86353
2016,Mecklenburg-Western Pomerania,East,No,0.82990,584,584,0.79941,0.86040
2016,Saxony,East,No,0.84900,1557,1557,0.83121,0.86679
