year,age_gr,pgisced97,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Pre-primary Level,No,0.55582,449,449,0.50981,0.60183
2014,17-29 y.,Primary Level,No,0.98809,100,100,0.96672,1.00946
2014,17-29 y.,Lower Secondary Level,No,0.89727,900,900,0.87742,0.91712
2014,17-29 y.,Upper Secondary Level,Yes,0.02054,34,1704,0.01380,0.02727
2014,17-29 y.,Upper Secondary Level,No,0.97700,1670,1704,0.96988,0.98412
2014,17-29 y.,Post-secondary Non-tertiary Level,No,0.97730,236,236,0.95825,0.99634
2014,17-29 y.,First Stage of Tertiary Education,No,0.87906,53,53,0.79044,0.96768
2014,17-29 y.,Second Stage of Tertiary Education,No,0.98025,372,372,0.96609,0.99441
2014,30-45 y.,Primary Level,No,0.98514,202,202,0.96841,1.00187
2014,30-45 y.,Lower Secondary Level,No,0.98279,783,783,0.97368,0.99191
2014,30-45 y.,Upper Secondary Level,Yes,0.02383,60,3742,0.01894,0.02872
2014,30-45 y.,Upper Secondary Level,No,0.97617,3682,3742,0.97128,0.98106
2014,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.02902,31,986,0.01854,0.03951
2014,30-45 y.,Post-secondary Non-tertiary Level,No,0.97098,955,986,0.96049,0.98146
2014,30-45 y.,First Stage of Tertiary Education,No,0.99763,430,430,0.99304,1.00223
2014,30-45 y.,Second Stage of Tertiary Education,Yes,0.02044,48,2260,0.01461,0.02628
2014,30-45 y.,Second Stage of Tertiary Education,No,0.97956,2212,2260,0.97372,0.98539
2014,46-65 y.,Primary Level,No,0.99225,148,148,0.97808,1.00643
2014,46-65 y.,Lower Secondary Level,No,0.99030,694,694,0.98301,0.99760
2014,46-65 y.,Upper Secondary Level,Yes,0.00580,38,4532,0.00359,0.00801
2014,46-65 y.,Upper Secondary Level,No,0.99420,4494,4532,0.99199,0.99641
2014,46-65 y.,Post-secondary Non-tertiary Level,No,0.98782,679,679,0.97956,0.99607
2014,46-65 y.,First Stage of Tertiary Education,No,0.99212,757,757,0.98581,0.99842
2014,46-65 y.,Second Stage of Tertiary Education,No,0.99229,2392,2392,0.98878,0.99580
2014,66 and older,Primary Level,No,0.95380,48,48,0.89378,1.01381
2014,66 and older,Upper Secondary Level,No,0.99890,2556,2556,0.99762,1.00019
2014,66 and older,First Stage of Tertiary Education,No,0.99800,340,340,0.99324,1.00276
2014,66 and older,Second Stage of Tertiary Education,No,0.99973,1164,1164,0.99878,1.00068
2015,17-29 y.,Pre-primary Level,No,0.53319,374,374,0.48256,0.58382
2015,17-29 y.,Primary Level,No,0.98313,113,113,0.95929,1.00698
2015,17-29 y.,Lower Secondary Level,No,0.88459,863,863,0.86326,0.90592
2015,17-29 y.,Upper Secondary Level,Yes,0.02660,41,1766,0.01910,0.03411
2015,17-29 y.,Upper Secondary Level,No,0.97000,1725,1766,0.96204,0.97796
2015,17-29 y.,Post-secondary Non-tertiary Level,No,0.97444,269,269,0.95555,0.99334
2015,17-29 y.,First Stage of Tertiary Education,No,0.91426,59,59,0.84220,0.98631
2015,17-29 y.,Second Stage of Tertiary Education,No,0.99619,500,500,0.99078,1.00160
2015,30-45 y.,Primary Level,No,0.99297,224,224,0.98201,1.00394
2015,30-45 y.,Lower Secondary Level,No,0.97019,756,756,0.95806,0.98232
2015,30-45 y.,Upper Secondary Level,Yes,0.02858,56,3458,0.02302,0.03413
2015,30-45 y.,Upper Secondary Level,No,0.97142,3402,3458,0.96587,0.97698
2015,30-45 y.,Post-secondary Non-tertiary Level,No,0.98231,987,987,0.97408,0.99054
2015,30-45 y.,First Stage of Tertiary Education,No,0.99762,384,384,0.99275,1.00250
2015,30-45 y.,Second Stage of Tertiary Education,Yes,0.02785,47,2352,0.02120,0.03450
2015,30-45 y.,Second Stage of Tertiary Education,No,0.97215,2305,2352,0.96550,0.97880
2015,46-65 y.,Primary Level,No,0.98421,147,147,0.96399,1.00443
2015,46-65 y.,Lower Secondary Level,No,0.99397,661,661,0.98806,0.99987
