year,age_gr,migback,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,No migration background,Yes,0.01707,53,2660,0.01215,0.02200
2014,17-29 y.,No migration background,No,0.91344,2607,2660,0.90275,0.92413
2014,17-29 y.,Direct migration background,No,0.94795,783,783,0.93238,0.96352
2014,17-29 y.,Indirect migration background,No,0.88000,824,824,0.85780,0.90220
2014,30-45 y.,No migration background,Yes,0.02315,96,5423,0.01914,0.02715
2014,30-45 y.,No migration background,No,0.97685,5327,5423,0.97285,0.98086
2014,30-45 y.,Direct migration background,Yes,0.01315,55,2414,0.00861,0.01770
2014,30-45 y.,Direct migration background,No,0.98685,2359,2414,0.98230,0.99139
2014,30-45 y.,Indirect migration background,No,0.96879,670,670,0.95561,0.98196
2014,46-65 y.,No migration background,Yes,0.00750,73,7519,0.00555,0.00945
2014,46-65 y.,No migration background,No,0.99250,7446,7519,0.99055,0.99445
2014,46-65 y.,Direct migration background,No,0.99464,1606,1606,0.99107,0.99821
2014,46-65 y.,Indirect migration background,No,0.99893,170,170,0.99399,1.00386
2014,66 and older,No migration background,No,0.99852,4494,4494,0.99740,0.99965
2015,17-29 y.,No migration background,Yes,0.02271,51,2569,0.01695,0.02847
2015,17-29 y.,No migration background,No,0.90209,2518,2569,0.89060,0.91359
2015,17-29 y.,Direct migration background,No,0.95788,1060,1060,0.94578,0.96998
2015,17-29 y.,Indirect migration background,No,0.91969,798,798,0.90082,0.93856
2015,30-45 y.,No migration background,Yes,0.03017,98,4826,0.02534,0.03499
2015,30-45 y.,No migration background,No,0.96983,4728,4826,0.96501,0.97466
2015,30-45 y.,Direct migration background,Yes,0.01196,36,2847,0.00797,0.01596
2015,30-45 y.,Direct migration background,No,0.98779,2811,2847,0.98376,0.99183
2015,30-45 y.,Indirect migration background,No,0.97093,601,601,0.95749,0.98437
2015,46-65 y.,No migration background,Yes,0.00618,44,7282,0.00438,0.00798
2015,46-65 y.,No migration background,No,0.99382,7238,7282,0.99202,0.99562
2015,46-65 y.,Direct migration background,No,0.99635,1673,1673,0.99346,0.99924
2015,66 and older,No migration background,No,0.99815,4450,4450,0.99689,0.99941
2016,17-29 y.,No migration background,Yes,0.02356,44,2357,0.01744,0.02969
2016,17-29 y.,No migration background,No,0.90029,2313,2357,0.88819,0.91238
