year,pgisced97,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No answer / don't know,No,0.99328,607,607,0.98677,0.99978
2014,Primary Level,No,0.98321,498,498,0.97191,0.99450
2014,Lower Secondary Level,Yes,0.01292,45,3112,0.00895,0.01689
2014,Lower Secondary Level,No,0.98708,3067,3112,0.98311,0.99105
2014,Upper Secondary Level,Yes,0.01035,134,12536,0.00858,0.01212
2014,Upper Secondary Level,No,0.98965,12402,12536,0.98788,0.99142
2014,Post-secondary Non-tertiary Level,Yes,0.01959,49,2046,0.01358,0.02559
2014,Post-secondary Non-tertiary Level,No,0.98041,1997,2046,0.97441,0.98642
2014,First Stage of Tertiary Education,No,0.98974,1580,1580,0.98477,0.99471
2014,Second Stage of Tertiary Education,Yes,0.01138,87,6227,0.00874,0.01401
2014,Second Stage of Tertiary Education,No,0.98862,6140,6227,0.98599,0.99126
2015,No answer / don't know,No,0.97535,631,631,0.96324,0.98746
2015,Primary Level,No,0.98967,525,525,0.98102,0.99833
2015,Lower Secondary Level,Yes,0.01351,33,2964,0.00935,0.01766
2015,Lower Secondary Level,No,0.98649,2931,2964,0.98234,0.99065
2015,Upper Secondary Level,Yes,0.01157,119,12163,0.00967,0.01347
2015,Upper Secondary Level,No,0.98843,12044,12163,0.98653,0.99033
2015,Post-secondary Non-tertiary Level,Yes,0.01653,37,2156,0.01115,0.02192
2015,Post-secondary Non-tertiary Level,No,0.98347,2119,2156,0.97808,0.98885
2015,First Stage of Tertiary Education,No,0.99129,1519,1519,0.98662,0.99596
2015,Second Stage of Tertiary Education,Yes,0.01193,68,6422,0.00928,0.01459
2015,Second Stage of Tertiary Education,No,0.98807,6354,6422,0.98541,0.99072
2016,No answer / don't know,No,0.97621,777,777,0.96549,0.98693
2016,Pre-primary Level,No,0.99643,358,358,0.99024,1.00262
2016,Primary Level,No,0.98526,1428,1428,0.97901,0.99151
2016,Lower Secondary Level,Yes,0.00744,35,3155,0.00444,0.01044
2016,Lower Secondary Level,No,0.99256,3120,3155,0.98956,0.99556
2016,Upper Secondary Level,Yes,0.00946,118,11530,0.00770,0.01123
2016,Upper Secondary Level,No,0.99054,11412,11530,0.98877,0.99230
2016,Post-secondary Non-tertiary Level,Yes,0.01974,43,2093,0.01378,0.02571
2016,Post-secondary Non-tertiary Level,No,0.98026,2050,2093,0.97429,0.98622
2016,First Stage of Tertiary Education,No,0.98629,1389,1389,0.98018,0.99241
2016,Second Stage of Tertiary Education,Yes,0.01144,100,6488,0.00885,0.01402
2016,Second Stage of Tertiary Education,No,0.98856,6388,6488,0.98598,0.99115
2017,No answer / don't know,No,0.98292,824,824,0.97407,0.99177
2017,Pre-primary Level,No,0.99828,425,425,0.99433,1.00222
2017,Primary Level,No,0.99028,1851,1851,0.98580,0.99475
2017,Lower Secondary Level,Yes,0.00915,36,3549,0.00601,0.01228
2017,Lower Secondary Level,No,0.99085,3513,3549,0.98772,0.99399
2017,Upper Secondary Level,Yes,0.00755,123,12740,0.00605,0.00906
2017,Upper Secondary Level,No,0.99245,12617,12740,0.99094,0.99395
2017,Post-secondary Non-tertiary Level,Yes,0.01797,46,2312,0.01256,0.02339
2017,Post-secondary Non-tertiary Level,No,0.98203,2266,2312,0.97661,0.98744
2017,First Stage of Tertiary Education,No,0.99367,1520,1520,0.98969,0.99766
2017,Second Stage of Tertiary Education,Yes,0.01571,122,7249,0.01285,0.01857
2017,Second Stage of Tertiary Education,No,0.98429,7127,7249,0.98143,0.98715
2018,No answer / don't know,No,0.99755,876,876,0.99428,1.00083
2018,Primary Level,Yes,0.01605,39,1769,0.01019,0.02191
2018,Primary Level,No,0.98395,1730,1769,0.97809,0.98981
2018,Lower Secondary Level,Yes,0.01307,49,3426,0.00926,0.01687
2018,Lower Secondary Level,No,0.98693,3377,3426,0.98313,0.99074
2018,Upper Secondary Level,Yes,0.00662,107,12140,0.00518,0.00807
2018,Upper Secondary Level,No,0.99338,12033,12140,0.99193,0.99482
2018,Post-secondary Non-tertiary Level,Yes,0.01643,37,2212,0.01113,0.02173
2018,Post-secondary Non-tertiary Level,No,0.98357,2175,2212,0.97827,0.98887
2018,First Stage of Tertiary Education,No,0.98768,1431,1431,0.98197,0.99340
2018,Second Stage of Tertiary Education,Yes,0.01128,97,6974,0.00880,0.01376
2018,Second Stage of Tertiary Education,No,0.98872,6877,6974,0.98624,0.99120
2019,No answer / don't know,No,0.98920,803,803,0.98205,0.99635
2019,Primary Level,No,0.97405,1640,1640,0.96635,0.98174
2019,Lower Secondary Level,Yes,0.00868,36,3094,0.00541,0.01195
2019,Lower Secondary Level,No,0.99132,3058,3094,0.98805,0.99459
2019,Upper Secondary Level,Yes,0.00702,105,11687,0.00551,0.00853
2019,Upper Secondary Level,No,0.99298,11582,11687,0.99147,0.99449
