year,regtyp,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Urban regions,West,Yes,0.01126,191,15724,0.00961,0.01291
2014,Urban regions,West,No,0.98874,15533,15724,0.98709,0.99039
2014,Urban regions,East,No,0.98677,1911,1911,0.98165,0.99190
2014,Rural regions,West,Yes,0.01604,88,5773,0.01280,0.01928
2014,Rural regions,West,No,0.98396,5685,5773,0.98072,0.98720
2014,Rural regions,East,Yes,0.00287,35,3646,0.00114,0.00461
2014,Rural regions,East,No,0.99713,3611,3646,0.99539,0.99886
2015,Urban regions,West,Yes,0.01337,170,15580,0.01157,0.01518
2015,Urban regions,West,No,0.98663,15410,15580,0.98482,0.98843
2015,Urban regions,East,No,0.99185,1894,1894,0.98780,0.99590
2015,Rural regions,West,Yes,0.01198,56,5800,0.00918,0.01478
2015,Rural regions,West,No,0.98802,5744,5800,0.98522,0.99082
2015,Rural regions,East,Yes,0.00846,37,3487,0.00542,0.01150
2015,Rural regions,East,No,0.99154,3450,3487,0.98850,0.99458
2016,Urban regions,West,Yes,0.01275,206,15912,0.01101,0.01449
2016,Urban regions,West,No,0.98725,15706,15912,0.98551,0.98899
2016,Urban regions,East,Yes,0.01223,39,1966,0.00737,0.01709
2016,Urban regions,East,No,0.98777,1927,1966,0.98291,0.99263
2016,Rural regions,West,Yes,0.00807,62,5806,0.00577,0.01037
2016,Rural regions,West,No,0.99193,5744,5806,0.98963,0.99423
2016,Rural regions,East,No,0.99297,3545,3545,0.99022,0.99572
2017,Urban regions,West,Yes,0.01126,230,17719,0.00971,0.01281
2017,Urban regions,West,No,0.98874,17489,17719,0.98719,0.99029
2017,Urban regions,East,Yes,0.01314,34,2214,0.00840,0.01789
2017,Urban regions,East,No,0.98686,2180,2214,0.98211,0.99160
2017,Rural regions,West,Yes,0.00989,78,6626,0.00751,0.01228
2017,Rural regions,West,No,0.99011,6548,6626,0.98772,0.99249
2017,Rural regions,East,No,0.99446,3926,3926,0.99214,0.99678
2018,Urban regions,West,Yes,0.01147,203,17073,0.00988,0.01307
2018,Urban regions,West,No,0.98853,16870,17073,0.98693,0.99012
2018,Urban regions,East,Yes,0.00856,39,2177,0.00469,0.01243
2018,Urban regions,East,No,0.99144,2138,2177,0.98757,0.99531
2018,Rural regions,West,Yes,0.00563,73,6124,0.00375,0.00750
2018,Rural regions,West,No,0.99437,6051,6124,0.99250,0.99625
2018,Rural regions,East,Yes,0.00630,35,3832,0.00379,0.00881
2018,Rural regions,East,No,0.99370,3797,3832,0.99119,0.99621
2019,No answer / don't know,West,No,0.97768,395,395,0.96310,0.99227
2019,No answer / don't know,East,No,0.98706,73,73,0.96096,1.01317
2019,Urban regions,West,Yes,0.01052,167,16688,0.00897,0.01206
2019,Urban regions,West,No,0.98948,16521,16688,0.98794,0.99103
2019,Urban regions,East,No,0.98946,2097,2097,0.98509,0.99383
2019,Rural regions,West,Yes,0.00748,56,5907,0.00528,0.00968
2019,Rural regions,West,No,0.99252,5851,5907,0.99032,0.99472
2019,Rural regions,East,Yes,0.00597,40,3800,0.00352,0.00841
2019,Rural regions,East,No,0.99403,3760,3800,0.99159,0.99648
2020,Urban regions,West,Yes,0.00955,190,17748,0.00811,0.01098
2020,Urban regions,West,No,0.99045,17558,17748,0.98902,0.99189
2020,Urban regions,East,No,0.98845,2175,2175,0.98396,0.99294
2020,Rural regions,West,Yes,0.00880,59,5828,0.00640,0.01120
2020,Rural regions,West,No,0.99120,5769,5828,0.98880,0.99360
2020,Rural regions,East,No,0.99517,3603,3603,0.99291,0.99743
2021,Urban regions,West,Yes,0.00930,146,11753,0.00757,0.01104
2021,Urban regions,West,No,0.99070,11607,11753,0.98896,0.99243
2021,Urban regions,East,No,0.99032,1509,1509,0.98538,0.99526
2021,Rural regions,West,Yes,0.00463,34,3866,0.00249,0.00678
2021,Rural regions,West,No,0.99537,3832,3866,0.99322,0.99751
2021,Rural regions,East,No,0.99562,2341,2341,0.99295,0.99830
2022,Urban regions,West,Yes,0.01346,323,16758,0.01172,0.01521
2022,Urban regions,West,No,0.98654,16435,16758,0.98479,0.98828
2022,Urban regions,East,Yes,0.00928,39,2301,0.00536,0.01320
2022,Urban regions,East,No,0.99072,2262,2301,0.98680,0.99464
2022,Rural regions,West,Yes,0.00956,60,5232,0.00692,0.01220
2022,Rural regions,West,No,0.99044,5172,5232,0.98780,0.99308
2022,Rural regions,East,Yes,0.01043,48,3541,0.00708,0.01377
2022,Rural regions,East,No,0.98957,3493,3541,0.98623,0.99292
