year,regtyp,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Urban regions,male,Yes,0.00815,67,8068,0.00618,0.01011
2014,Urban regions,male,No,0.82407,8001,8068,0.81576,0.83238
2014,Urban regions,female,Yes,0.01097,150,9593,0.00889,0.01306
2014,Urban regions,female,No,0.83317,9443,9593,0.82571,0.84063
2014,Rural regions,male,Yes,0.00821,40,4364,0.00553,0.01088
2014,Rural regions,male,No,0.83791,4324,4364,0.82698,0.84885
2014,Rural regions,female,Yes,0.01116,83,5055,0.00826,0.01405
2014,Rural regions,female,No,0.84757,4972,5055,0.83766,0.85748
2015,Urban regions,male,Yes,0.00938,79,8004,0.00727,0.01150
2015,Urban regions,male,No,0.82841,7925,8004,0.82015,0.83667
2015,Urban regions,female,Yes,0.01226,116,9495,0.01005,0.01447
2015,Urban regions,female,No,0.83480,9379,9495,0.82733,0.84227
2015,Rural regions,male,No,0.83135,4277,4277,0.82013,0.84257
2015,Rural regions,female,Yes,0.00905,64,4981,0.00642,0.01168
2015,Rural regions,female,No,0.84695,4917,4981,0.83695,0.85695
2016,Urban regions,male,Yes,0.00881,101,8408,0.00681,0.01081
2016,Urban regions,male,No,0.82368,8307,8408,0.81553,0.83182
2016,Urban regions,female,Yes,0.01248,144,9470,0.01024,0.01472
2016,Urban regions,female,No,0.83461,9326,9470,0.82712,0.84209
2016,Rural regions,male,Yes,0.00530,35,4460,0.00317,0.00743
2016,Rural regions,male,No,0.83150,4425,4460,0.82051,0.84248
2016,Rural regions,female,Yes,0.00770,54,4918,0.00526,0.01014
2016,Rural regions,female,No,0.84584,4864,4918,0.83575,0.85594
2017,Urban regions,male,Yes,0.00904,111,9437,0.00713,0.01095
2017,Urban regions,male,No,0.82136,9326,9437,0.81363,0.82909
2017,Urban regions,female,Yes,0.01010,153,10496,0.00819,0.01201
2017,Urban regions,female,No,0.83471,10343,10496,0.82761,0.84182
2017,Rural regions,male,Yes,0.00772,55,5083,0.00531,0.01012
2017,Rural regions,male,No,0.82799,5028,5083,0.81761,0.83836
2017,Rural regions,female,Yes,0.00641,53,5499,0.00430,0.00852
2017,Rural regions,female,No,0.84583,5446,5499,0.83628,0.85537
2018,Urban regions,male,Yes,0.00790,111,9141,0.00608,0.00971
2018,Urban regions,male,No,0.82905,9030,9141,0.82133,0.83677
2018,Urban regions,female,Yes,0.01095,131,10109,0.00892,0.01298
2018,Urban regions,female,No,0.83757,9978,10109,0.83037,0.84476
2018,Rural regions,male,Yes,0.00437,47,4734,0.00249,0.00625
2018,Rural regions,male,No,0.83058,4687,4734,0.81989,0.84126
2018,Rural regions,female,Yes,0.00553,61,5222,0.00352,0.00755
2018,Rural regions,female,No,0.84960,5161,5222,0.83990,0.85929
2019,Urban regions,male,Yes,0.00592,84,9197,0.00435,0.00749
2019,Urban regions,male,No,0.82357,9113,9197,0.81578,0.83136
2019,Urban regions,female,Yes,0.01158,112,9617,0.00945,0.01372
2019,Urban regions,female,No,0.83261,9505,9617,0.82515,0.84008
2019,Rural regions,male,Yes,0.00566,42,4747,0.00353,0.00780
2019,Rural regions,male,No,0.82748,4705,4747,0.81673,0.83823
2019,Rural regions,female,Yes,0.00601,54,4960,0.00386,0.00816
2019,Rural regions,female,No,0.84199,4906,4960,0.83183,0.85214
2020,Urban regions,male,Yes,0.00783,107,9957,0.00610,0.00956
2020,Urban regions,male,No,0.82062,9850,9957,0.81309,0.82816
2020,Urban regions,female,Yes,0.00844,110,9986,0.00664,0.01023
2020,Urban regions,female,No,0.83583,9876,9986,0.82856,0.84309
2020,Rural regions,male,Yes,0.00791,44,4652,0.00536,0.01045
2020,Rural regions,male,No,0.82388,4608,4652,0.81293,0.83483
2020,Rural regions,female,Yes,0.00442,36,4800,0.00255,0.00630
2020,Rural regions,female,No,0.83210,4764,4800,0.82152,0.84267
2021,Urban regions,male,Yes,0.00715,80,6456,0.00509,0.00920
2021,Urban regions,male,No,0.81174,6376,6456,0.80221,0.82128
2021,Urban regions,female,Yes,0.00830,83,6816,0.00614,0.01045
2021,Urban regions,female,No,0.82798,6733,6816,0.81902,0.83694
2021,Rural regions,male,No,0.83262,2969,2969,0.81919,0.84605
2021,Rural regions,female,No,0.82799,3204,3204,0.81492,0.84106
2022,Urban regions,male,Yes,0.01266,165,9379,0.01040,0.01493
2022,Urban regions,male,No,0.80274,9214,9379,0.79468,0.81079
2022,Urban regions,female,Yes,0.00883,197,9662,0.00696,0.01069
2022,Urban regions,female,No,0.81692,9465,9662,0.80921,0.82464
2022,Rural regions,male,Yes,0.00902,52,4187,0.00615,0.01188
2022,Rural regions,male,No,0.81226,4135,4187,0.80043,0.82409
2022,Rural regions,female,Yes,0.00734,56,4584,0.00487,0.00981
2022,Rural regions,female,No,0.82937,4528,4584,0.81848,0.84026
