year,pgisced97,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No answer / don't know,Urban regions,No,0.99137,391,391,0.98219,1.00055
2014,No answer / don't know,Rural regions,No,0.99642,216,216,0.98844,1.00440
2014,Primary Level,Urban regions,No,0.98252,352,352,0.96881,0.99623
2014,Primary Level,Rural regions,No,0.98501,146,146,0.96523,1.00479
2014,Lower Secondary Level,Urban regions,No,0.98590,2043,2043,0.98079,0.99102
2014,Lower Secondary Level,Rural regions,No,0.98940,1024,1024,0.98312,0.99568
2014,Upper Secondary Level,Urban regions,Yes,0.00940,71,7589,0.00723,0.01157
2014,Upper Secondary Level,Urban regions,No,0.99060,7518,7589,0.98843,0.99277
2014,Upper Secondary Level,Rural regions,Yes,0.01205,63,4947,0.00901,0.01509
2014,Upper Secondary Level,Rural regions,No,0.98795,4884,4947,0.98491,0.99099
2014,Post-secondary Non-tertiary Level,Urban regions,Yes,0.01604,32,1481,0.00964,0.02244
2014,Post-secondary Non-tertiary Level,Urban regions,No,0.98396,1449,1481,0.97756,0.99036
2014,Post-secondary Non-tertiary Level,Rural regions,No,0.96939,548,548,0.95496,0.98383
2014,First Stage of Tertiary Education,Urban regions,No,0.98747,944,944,0.98037,0.99457
2014,First Stage of Tertiary Education,Rural regions,No,0.99370,636,636,0.98755,0.99986
2014,Second Stage of Tertiary Education,Urban regions,Yes,0.01274,69,4519,0.00947,0.01601
2014,Second Stage of Tertiary Education,Urban regions,No,0.98726,4450,4519,0.98399,0.99053
2014,Second Stage of Tertiary Education,Rural regions,No,0.99273,1690,1690,0.98868,0.99678
2015,No answer / don't know,Urban regions,No,0.96566,408,408,0.94797,0.98335
2015,No answer / don't know,Rural regions,No,0.99699,223,223,0.98978,1.00420
2015,Primary Level,Urban regions,No,0.98865,374,374,0.97790,0.99940
2015,Primary Level,Rural regions,No,0.99255,151,151,0.97879,1.00631
2015,Lower Secondary Level,Urban regions,No,0.98383,1939,1939,0.97822,0.98945
2015,Lower Secondary Level,Rural regions,No,0.99180,992,992,0.98618,0.99741
2015,Upper Secondary Level,Urban regions,Yes,0.01059,73,7337,0.00825,0.01293
2015,Upper Secondary Level,Urban regions,No,0.98941,7264,7337,0.98707,0.99175
2015,Upper Secondary Level,Rural regions,Yes,0.01329,46,4826,0.01006,0.01652
2015,Upper Secondary Level,Rural regions,No,0.98671,4780,4826,0.98348,0.98994
2015,Post-secondary Non-tertiary Level,Urban regions,No,0.98113,1541,1541,0.97433,0.98792
2015,Post-secondary Non-tertiary Level,Rural regions,No,0.99129,578,578,0.98371,0.99887
2015,First Stage of Tertiary Education,Urban regions,No,0.98706,909,909,0.97971,0.99441
2015,First Stage of Tertiary Education,Rural regions,No,0.99890,610,610,0.99627,1.00153
2015,Second Stage of Tertiary Education,Urban regions,Yes,0.01226,47,4663,0.00910,0.01542
2015,Second Stage of Tertiary Education,Urban regions,No,0.98774,4616,4663,0.98458,0.99090
2015,Second Stage of Tertiary Education,Rural regions,No,0.98909,1738,1738,0.98420,0.99397
2016,No answer / don't know,Urban regions,No,0.96831,529,529,0.95337,0.98325
2016,No answer / don't know,Rural regions,No,0.99496,248,248,0.98613,1.00379
2016,Pre-primary Level,Urban regions,No,0.99495,263,263,0.98637,1.00353
2016,Primary Level,Urban regions,No,0.98061,970,970,0.97192,0.98929
2016,Primary Level,Rural regions,No,0.99730,458,458,0.99254,1.00206
2016,Lower Secondary Level,Urban regions,No,0.99083,2062,2062,0.98671,0.99494
2016,Lower Secondary Level,Rural regions,No,0.99608,1058,1058,0.99231,0.99985
2016,Upper Secondary Level,Urban regions,Yes,0.01047,82,6986,0.00808,0.01286
2016,Upper Secondary Level,Urban regions,No,0.98953,6904,6986,0.98714,0.99192
2016,Upper Secondary Level,Rural regions,Yes,0.00771,36,4544,0.00516,0.01025
2016,Upper Secondary Level,Rural regions,No,0.99229,4508,4544,0.98975,0.99484
2016,Post-secondary Non-tertiary Level,Urban regions,Yes,0.02320,33,1524,0.01564,0.03076
2016,Post-secondary Non-tertiary Level,Urban regions,No,0.97680,1491,1524,0.96924,0.98436
2016,Post-secondary Non-tertiary Level,Rural regions,No,0.99198,559,559,0.98457,0.99938
2016,First Stage of Tertiary Education,Urban regions,No,0.98205,824,824,0.97298,0.99112
2016,First Stage of Tertiary Education,Rural regions,No,0.99397,565,565,0.98759,1.00036
2016,Second Stage of Tertiary Education,Urban regions,Yes,0.01129,75,4665,0.00826,0.01433
2016,Second Stage of Tertiary Education,Urban regions,No,0.98871,4590,4665,0.98567,0.99174
2016,Second Stage of Tertiary Education,Rural regions,No,0.98815,1798,1798,0.98314,0.99315
2017,No answer / don't know,Urban regions,No,0.98116,562,562,0.96990,0.99241
2017,No answer / don't know,Rural regions,No,0.98770,262,262,0.97434,1.00107
2017,Pre-primary Level,Rural regions,No,0.99242,121,121,0.97691,1.00794
2017,Primary Level,Urban regions,No,0.98807,1253,1253,0.98205,0.99408
2017,Primary Level,Rural regions,No,0.99697,598,598,0.99255,1.00138
2017,Lower Secondary Level,Urban regions,No,0.98729,2265,2265,0.98267,0.99190
2017,Lower Secondary Level,Rural regions,No,0.99804,1248,1248,0.99559,1.00050
2017,Upper Secondary Level,Urban regions,Yes,0.00782,75,7701,0.00585,0.00979
2017,Upper Secondary Level,Urban regions,No,0.99218,7626,7701,0.99021,0.99415
2017,Upper Secondary Level,Rural regions,Yes,0.00707,48,5039,0.00475,0.00938
2017,Upper Secondary Level,Rural regions,No,0.99293,4991,5039,0.99062,0.99525
2017,Post-secondary Non-tertiary Level,Urban regions,Yes,0.01998,35,1660,0.01324,0.02671
2017,Post-secondary Non-tertiary Level,Urban regions,No,0.98002,1625,1660,0.97329,0.98676
2017,Post-secondary Non-tertiary Level,Rural regions,No,0.98872,641,641,0.98054,0.99690
2017,First Stage of Tertiary Education,Urban regions,No,0.99488,892,892,0.99019,0.99956
2017,First Stage of Tertiary Education,Rural regions,No,0.99163,628,628,0.98450,0.99876
2017,Second Stage of Tertiary Education,Urban regions,Yes,0.01563,92,5234,0.01227,0.01899
2017,Second Stage of Tertiary Education,Urban regions,No,0.98437,5142,5234,0.98101,0.98773
2017,Second Stage of Tertiary Education,Rural regions,No,0.98404,1985,1985,0.97853,0.98956
2018,No answer / don't know,Urban regions,No,0.99825,625,625,0.99497,1.00153
2018,No answer / don't know,Rural regions,No,0.99531,251,251,0.98684,1.00378
2018,Primary Level,Urban regions,No,0.97993,1233,1233,0.97210,0.98776
2018,Primary Level,Rural regions,No,0.99631,497,497,0.99097,1.00165
2018,Lower Secondary Level,Urban regions,Yes,0.01561,37,2229,0.01046,0.02076
2018,Lower Secondary Level,Urban regions,No,0.98439,2192,2229,0.97924,0.98954
2018,Lower Secondary Level,Rural regions,No,0.99212,1185,1185,0.98708,0.99715
2018,Upper Secondary Level,Urban regions,Yes,0.00735,69,7373,0.00540,0.00930
2018,Upper Secondary Level,Urban regions,No,0.99265,7304,7373,0.99070,0.99460
2018,Upper Secondary Level,Rural regions,Yes,0.00532,38,4767,0.00325,0.00738
2018,Upper Secondary Level,Rural regions,No,0.99468,4729,4767,0.99262,0.99675
2018,Post-secondary Non-tertiary Level,Urban regions,No,0.98077,1550,1550,0.97393,0.98761
2018,Post-secondary Non-tertiary Level,Rural regions,No,0.99226,625,625,0.98538,0.99914
2018,First Stage of Tertiary Education,Urban regions,No,0.98412,831,831,0.97562,0.99263
2018,First Stage of Tertiary Education,Rural regions,No,0.99367,600,600,0.98732,1.00002
2018,Second Stage of Tertiary Education,Urban regions,Yes,0.01293,70,5078,0.00982,0.01604
