year,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Yes,0.00962,340,27080,0.00846,0.01078
2014,No,0.83321,26740,27080,0.82877,0.83765
2015,Yes,0.01029,288,26786,0.00908,0.01150
2015,No,0.83406,26498,26786,0.82960,0.83851
2016,Yes,0.00934,334,27256,0.00820,0.01048
2016,No,0.83208,26922,27256,0.82765,0.83652
2017,Yes,0.00879,372,30515,0.00775,0.00984
2017,No,0.83083,30143,30515,0.82663,0.83504
2018,Yes,0.00805,350,29206,0.00702,0.00907
2018,No,0.83537,28856,29206,0.83111,0.83962
2019,Yes,0.00801,301,29074,0.00699,0.00904
2019,No,0.83002,28773,29074,0.82570,0.83434
2020,Yes,0.00751,297,29402,0.00653,0.00850
2020,No,0.82795,29105,29402,0.82364,0.83226
2021,Yes,0.00648,219,19509,0.00535,0.00760
2021,No,0.82333,19290,19509,0.81798,0.82868
2022,Yes,0.00992,470,27832,0.00876,0.01108
2022,No,0.81308,27362,27832,0.80850,0.81766
