year,migback,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,Yes,0.01067,227,20101,0.00925,0.01210
2014,No migration background,No,0.98933,19874,20101,0.98790,0.99075
2014,Direct migration background,Yes,0.00967,82,5280,0.00703,0.01231
2014,Direct migration background,No,0.99033,5198,5280,0.98769,0.99297
2014,Indirect migration background,Yes,0.02870,31,1699,0.02076,0.03664
2014,Indirect migration background,No,0.97130,1668,1699,0.96336,0.97924
2015,No migration background,Yes,0.01250,196,19130,0.01092,0.01407
2015,No migration background,No,0.98750,18934,19130,0.98593,0.98908
2015,Direct migration background,Yes,0.00803,66,6055,0.00578,0.01028
2015,Direct migration background,No,0.99197,5989,6055,0.98972,0.99422
2015,Indirect migration background,No,0.98025,1575,1575,0.97337,0.98712
2016,No migration background,Yes,0.00997,169,17763,0.00850,0.01143
2016,No migration background,No,0.99003,17594,17763,0.98857,0.99150
2016,Direct migration background,Yes,0.01133,135,8013,0.00901,0.01365
2016,Direct migration background,No,0.98867,7878,8013,0.98635,0.99099
2016,Indirect migration background,No,0.97267,1450,1450,0.96427,0.98106
2017,No migration background,Yes,0.00890,202,20110,0.00761,0.01020
2017,No migration background,No,0.99110,19908,20110,0.98980,0.99239
2017,Direct migration background,Yes,0.01375,141,8783,0.01131,0.01618
2017,Direct migration background,No,0.98625,8642,8783,0.98382,0.98869
2017,Indirect migration background,No,0.97618,1593,1593,0.96869,0.98367
2018,No migration background,Yes,0.00807,163,19410,0.00681,0.00933
2018,No migration background,No,0.99193,19247,19410,0.99067,0.99319
2018,Direct migration background,Yes,0.01450,165,8181,0.01191,0.01709
2018,Direct migration background,No,0.98550,8016,8181,0.98291,0.98809
2018,Indirect migration background,No,0.98399,1593,1593,0.97783,0.99016
2019,No migration background,Yes,0.00833,180,20120,0.00707,0.00959
2019,No migration background,No,0.99167,19940,20120,0.99041,0.99293
2019,Direct migration background,Yes,0.01133,96,7382,0.00892,0.01375
2019,Direct migration background,No,0.98867,7286,7382,0.98625,0.99108
2019,Indirect migration background,No,0.97880,1547,1547,0.97162,0.98598
2020,No migration background,Yes,0.00848,156,18521,0.00716,0.00980
2020,No migration background,No,0.99152,18365,18521,0.99020,0.99284
2020,Direct migration background,Yes,0.01087,125,9350,0.00877,0.01298
2020,Direct migration background,No,0.98913,9225,9350,0.98702,0.99123
2020,Indirect migration background,No,0.98860,1515,1515,0.98326,0.99395
2021,No migration background,Yes,0.00713,112,13138,0.00569,0.00857
2021,No migration background,No,0.99287,13026,13138,0.99143,0.99431
2021,Direct migration background,Yes,0.00943,87,5442,0.00686,0.01200
2021,Direct migration background,No,0.99057,5355,5442,0.98800,0.99314
2021,Indirect migration background,No,0.98698,909,909,0.97960,0.99435
2022,No migration background,Yes,0.01111,232,18253,0.00959,0.01263
2022,No migration background,No,0.98889,18021,18253,0.98737,0.99041
2022,Direct migration background,Yes,0.01597,216,8120,0.01324,0.01870
2022,Direct migration background,No,0.98403,7904,8120,0.98130,0.98676
2022,Indirect migration background,No,0.98730,1429,1429,0.98150,0.99311
