year,migback,quintil_oecd,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,1st Quintile,Yes,0.00814,51,3347,0.00510,0.01119
2014,No migration background,1st Quintile,No,0.82195,3296,3347,0.80899,0.83492
2014,No migration background,2nd Quintile,Yes,0.01187,53,3799,0.00843,0.01531
2014,No migration background,2nd Quintile,No,0.82407,3746,3799,0.81196,0.83618
2014,No migration background,3rd Quintile,Yes,0.00861,39,3991,0.00574,0.01147
2014,No migration background,3rd Quintile,No,0.84473,3952,3991,0.83349,0.85596
2014,No migration background,4th Quintile,Yes,0.00775,39,4288,0.00513,0.01038
2014,No migration background,4th Quintile,No,0.85977,4249,4288,0.84938,0.87017
2014,No migration background,5th Quintile,Yes,0.00967,45,4672,0.00686,0.01247
2014,No migration background,5th Quintile,No,0.89663,4627,4672,0.88790,0.90536
2014,Direct migration background,1st Quintile,Yes,0.01021,35,1952,0.00575,0.01468
2014,Direct migration background,1st Quintile,No,0.93069,1917,1952,0.91942,0.94196
2014,Direct migration background,2nd Quintile,No,0.96846,1312,1312,0.95900,0.97792
2014,Direct migration background,3rd Quintile,No,0.96229,880,880,0.94969,0.97488
2014,Direct migration background,4th Quintile,No,0.97610,593,593,0.96379,0.98840
2014,Direct migration background,5th Quintile,No,0.95890,494,494,0.94137,0.97642
2014,Indirect migration background,1st Quintile,No,0.41615,519,519,0.37370,0.45860
2014,Indirect migration background,2nd Quintile,No,0.43306,377,377,0.38298,0.48315
2014,Indirect migration background,3rd Quintile,No,0.47895,278,278,0.42012,0.53778
2014,Indirect migration background,4th Quintile,No,0.58515,270,270,0.52627,0.64402
2014,Indirect migration background,5th Quintile,No,0.61145,223,223,0.54733,0.67557
2015,No migration background,1st Quintile,Yes,0.01834,60,3036,0.01357,0.02312
2015,No migration background,1st Quintile,No,0.81291,2976,3036,0.79904,0.82679
2015,No migration background,2nd Quintile,Yes,0.00770,34,3783,0.00491,0.01049
2015,No migration background,2nd Quintile,No,0.83862,3749,3783,0.82689,0.85034
2015,No migration background,3rd Quintile,No,0.83861,3729,3729,0.82680,0.85042
2015,No migration background,4th Quintile,Yes,0.00927,38,3993,0.00630,0.01225
2015,No migration background,4th Quintile,No,0.85910,3955,3993,0.84830,0.86989
2015,No migration background,5th Quintile,Yes,0.00759,34,4464,0.00505,0.01014
2015,No migration background,5th Quintile,No,0.89435,4430,4464,0.88533,0.90336
2015,Direct migration background,1st Quintile,No,0.96456,1587,1587,0.95546,0.97366
2015,Direct migration background,2nd Quintile,No,0.97646,1124,1124,0.96759,0.98533
2015,Direct migration background,3rd Quintile,No,0.96898,807,807,0.95701,0.98095
2015,Direct migration background,4th Quintile,No,0.97550,507,507,0.96203,0.98897
2015,Direct migration background,5th Quintile,No,0.97797,445,445,0.96431,0.99162
2015,Indirect migration background,1st Quintile,No,0.41275,472,472,0.36829,0.45722
2015,Indirect migration background,2nd Quintile,No,0.48235,341,341,0.42924,0.53547
2015,Indirect migration background,3rd Quintile,No,0.50875,275,275,0.44956,0.56795
2015,Indirect migration background,4th Quintile,No,0.64141,258,258,0.58278,0.70005
2015,Indirect migration background,5th Quintile,No,0.63261,190,190,0.56388,0.70134
2016,No migration background,1st Quintile,Yes,0.00854,36,2782,0.00512,0.01195
2016,No migration background,1st Quintile,No,0.81086,2746,2782,0.79630,0.82541
2016,No migration background,2nd Quintile,No,0.83930,3430,3430,0.82701,0.85159
2016,No migration background,3rd Quintile,Yes,0.01252,36,3553,0.00886,0.01617
2016,No migration background,3rd Quintile,No,0.83107,3517,3553,0.81875,0.84339
2016,No migration background,4th Quintile,Yes,0.00723,35,3785,0.00453,0.00993
2016,No migration background,4th Quintile,No,0.86403,3750,3785,0.85311,0.87495
2016,No migration background,5th Quintile,Yes,0.00804,32,4180,0.00533,0.01075
