year,age_gr,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,West,Yes,0.02156,70,3586,0.01680,0.02631
2014,17-29 y.,West,No,0.97844,3516,3586,0.97369,0.98320
2014,17-29 y.,East,No,0.98164,698,698,0.97168,0.99161
2014,30-45 y.,West,Yes,0.02340,128,6894,0.01983,0.02697
2014,30-45 y.,West,No,0.97660,6766,6894,0.97303,0.98017
2014,30-45 y.,East,Yes,0.01222,36,1626,0.00688,0.01756
2014,30-45 y.,East,No,0.98778,1590,1626,0.98244,0.99312
2014,46-65 y.,West,Yes,0.00807,76,7286,0.00602,0.01013
2014,46-65 y.,West,No,0.99193,7210,7286,0.98987,0.99398
2014,46-65 y.,East,No,0.99685,2012,2012,0.99440,0.99930
2014,66 and older,West,No,0.99835,3726,3726,0.99705,0.99965
2015,17-29 y.,West,Yes,0.02393,74,3755,0.01904,0.02882
2015,17-29 y.,West,No,0.97607,3681,3755,0.97118,0.98096
2015,17-29 y.,East,No,0.98738,695,695,0.97908,0.99569
2015,30-45 y.,West,Yes,0.02769,107,6751,0.02378,0.03161
2015,30-45 y.,West,No,0.97231,6644,6751,0.96839,0.97622
2015,30-45 y.,East,Yes,0.01783,39,1535,0.01121,0.02445
2015,30-45 y.,East,No,0.98217,1496,1535,0.97555,0.98879
2015,46-65 y.,West,Yes,0.00552,42,7192,0.00381,0.00723
2015,46-65 y.,West,No,0.99448,7150,7192,0.99277,0.99619
2015,46-65 y.,East,No,0.99338,1933,1933,0.98977,0.99700
2015,66 and older,West,No,0.99794,3679,3679,0.99647,0.99941
2016,17-29 y.,West,Yes,0.02512,76,4067,0.02031,0.02993
2016,17-29 y.,West,No,0.97488,3991,4067,0.97007,0.97969
2016,17-29 y.,East,No,0.98034,783,783,0.97061,0.99007
2016,30-45 y.,West,Yes,0.02177,126,6995,0.01835,0.02519
2016,30-45 y.,West,No,0.97823,6869,6995,0.97481,0.98165
2016,30-45 y.,East,Yes,0.01937,40,1627,0.01267,0.02607
2016,30-45 y.,East,No,0.98063,1587,1627,0.97393,0.98733
2016,46-65 y.,West,Yes,0.00541,63,7087,0.00370,0.00712
2016,46-65 y.,West,No,0.99459,7024,7087,0.99288,0.99630
2016,46-65 y.,East,No,0.99658,1933,1933,0.99398,0.99919
2016,66 and older,West,No,0.99887,3566,3566,0.99776,0.99997
2016,66 and older,East,No,0.99904,1169,1169,0.99727,1.00082
2017,17-29 y.,West,Yes,0.02107,87,4861,0.01703,0.02511
2017,17-29 y.,West,No,0.97893,4774,4861,0.97489,0.98297
2017,17-29 y.,East,No,0.98510,938,938,0.97735,0.99286
2017,30-45 y.,West,Yes,0.02181,143,7382,0.01848,0.02514
2017,30-45 y.,West,No,0.97819,7239,7382,0.97486,0.98152
2017,30-45 y.,East,Yes,0.01260,31,1747,0.00737,0.01783
2017,30-45 y.,East,No,0.98740,1716,1747,0.98217,0.99263
2017,46-65 y.,West,Yes,0.00637,77,8326,0.00466,0.00808
2017,46-65 y.,West,No,0.99363,8249,8326,0.99192,0.99534
2017,46-65 y.,East,No,0.99221,2234,2234,0.98856,0.99585
2017,66 and older,West,No,0.99993,3775,3775,0.99965,1.00020
2017,66 and older,East,No,0.99919,1218,1218,0.99759,1.00079
2018,17-29 y.,West,Yes,0.01593,66,4583,0.01230,0.01955
2018,17-29 y.,West,No,0.98407,4517,4583,0.98045,0.98770
2018,17-29 y.,East,No,0.98384,885,885,0.97552,0.99215
2018,30-45 y.,West,Yes,0.02348,139,6769,0.01987,0.02709
2018,30-45 y.,West,No,0.97652,6630,6769,0.97291,0.98013
2018,30-45 y.,East,Yes,0.01610,37,1673,0.01007,0.02213
2018,30-45 y.,East,No,0.98390,1636,1673,0.97787,0.98993
2018,46-65 y.,West,Yes,0.00474,66,8065,0.00324,0.00624
2018,46-65 y.,West,No,0.99526,7999,8065,0.99376,0.99676
2018,46-65 y.,East,No,0.99747,2174,2174,0.99536,0.99958
2018,66 and older,West,No,0.99917,3775,3775,0.99824,1.00009
2019,17-29 y.,West,Yes,0.01880,67,4056,0.01462,0.02298
2019,17-29 y.,West,No,0.98120,3989,4056,0.97702,0.98538
2019,17-29 y.,East,No,0.98661,762,762,0.97845,0.99478
2019,30-45 y.,West,Yes,0.01744,97,6362,0.01422,0.02065
2019,30-45 y.,West,No,0.98256,6265,6362,0.97935,0.98578
2019,30-45 y.,East,No,0.98457,1547,1547,0.97842,0.99071
2019,46-65 y.,West,Yes,0.00669,60,8680,0.00498,0.00841
