year,bula_h,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Schleswig-Holstein,male,No,0.82062,406,406,0.78325,0.85799
2014,Schleswig-Holstein,female,No,0.85155,507,507,0.82057,0.88253
2014,Hamburg,male,No,0.86914,204,204,0.82274,0.91553
2014,Hamburg,female,No,0.85534,240,240,0.81075,0.89994
2014,Lower Saxony,male,No,0.82112,1209,1209,0.79951,0.84273
2014,Lower Saxony,female,No,0.85207,1362,1362,0.83321,0.87093
2014,Bremen,male,No,0.86373,93,93,0.79363,0.93384
2014,Bremen,female,No,0.84329,116,116,0.77684,0.90973
2014,North Rhine-Westphalia,male,No,0.82313,2553,2553,0.80832,0.83793
2014,North Rhine-Westphalia,female,Yes,0.00865,44,3059,0.00537,0.01194
2014,North Rhine-Westphalia,female,No,0.82591,3015,3059,0.81247,0.83935
2014,Hesse,male,No,0.83861,871,871,0.81416,0.86305
2014,Hesse,female,No,0.81000,986,986,0.78550,0.83450
2014,"Rhineland-Palatinate, Saarland",male,No,0.82952,719,719,0.80201,0.85702
2014,"Rhineland-Palatinate, Saarland",female,No,0.82431,850,850,0.79871,0.84991
2014,Baden-Wuerttemberg,male,No,0.81408,1481,1481,0.79426,0.83390
2014,Baden-Wuerttemberg,female,No,0.84213,1708,1708,0.82483,0.85942
2014,Bavaria,male,No,0.82362,1997,1997,0.80689,0.84034
2014,Bavaria,female,Yes,0.01576,43,2386,0.01076,0.02076
2014,Bavaria,female,No,0.83616,2343,2386,0.82130,0.85101
2014,Berlin,male,No,0.81273,443,443,0.77636,0.84910
2014,Berlin,female,No,0.85040,532,532,0.82006,0.88074
2014,Brandenburg,male,No,0.83550,464,464,0.80173,0.86927
2014,Brandenburg,female,No,0.87527,547,547,0.84755,0.90298
2014,Mecklenburg-Western Pomerania,male,No,0.85364,248,248,0.80955,0.89772
2014,Mecklenburg-Western Pomerania,female,No,0.85461,305,305,0.81499,0.89424
2014,Saxony,male,No,0.86210,760,760,0.83757,0.88663
2014,Saxony,female,No,0.83777,837,837,0.81277,0.86276
2014,Saxony-Anhalt,male,No,0.86302,434,434,0.83063,0.89541
2014,Saxony-Anhalt,female,No,0.86545,522,522,0.83614,0.89475
2014,Thuringa,male,No,0.83154,443,443,0.79665,0.86644
2014,Thuringa,female,No,0.83860,545,545,0.80768,0.86951
2015,Schleswig-Holstein,male,No,0.83900,405,405,0.80316,0.87484
2015,Schleswig-Holstein,female,No,0.84568,489,489,0.81363,0.87773
2015,Hamburg,male,No,0.87011,210,210,0.82453,0.91569
2015,Hamburg,female,No,0.83940,250,250,0.79379,0.88500
2015,Lower Saxony,male,No,0.81516,1198,1198,0.79317,0.83715
2015,Lower Saxony,female,No,0.85628,1388,1388,0.83782,0.87474
2015,Bremen,male,No,0.84622,82,82,0.76766,0.92478
2015,Bremen,female,No,0.75596,99,99,0.67092,0.84100
2015,North Rhine-Westphalia,male,Yes,0.01354,34,2553,0.00906,0.01803
2015,North Rhine-Westphalia,male,No,0.82299,2519,2553,0.80819,0.83780
2015,North Rhine-Westphalia,female,Yes,0.01578,45,3024,0.01134,0.02023
2015,North Rhine-Westphalia,female,No,0.82085,2979,3024,0.80718,0.83452
2015,Hesse,male,No,0.81416,862,862,0.78818,0.84014
2015,Hesse,female,No,0.82249,1003,1003,0.79883,0.84615
2015,"Rhineland-Palatinate, Saarland",male,No,0.84252,734,734,0.81615,0.86889
2015,"Rhineland-Palatinate, Saarland",female,No,0.84300,862,862,0.81870,0.86730
2015,Baden-Wuerttemberg,male,No,0.82852,1483,1483,0.80933,0.84771
2015,Baden-Wuerttemberg,female,No,0.85198,1705,1705,0.83512,0.86885
