year,age_gr,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Yes,0.01963,82,4296,0.01548,0.02377
2014,17-29 y.,No,0.91191,4214,4296,0.90344,0.92039
2014,30-45 y.,Yes,0.02153,164,8520,0.01844,0.02461
2014,30-45 y.,No,0.97847,8356,8520,0.97539,0.98156
2014,46-65 y.,Yes,0.00712,89,9311,0.00541,0.00882
2014,46-65 y.,No,0.99288,9222,9311,0.99118,0.99459
2014,66 and older,No,0.99865,4948,4948,0.99763,0.99967
2015,17-29 y.,Yes,0.02075,86,4462,0.01656,0.02493
2015,17-29 y.,No,0.91261,4376,4462,0.90432,0.92090
2015,30-45 y.,Yes,0.02600,146,8286,0.02258,0.02943
2015,30-45 y.,No,0.97394,8140,8286,0.97051,0.97737
2015,46-65 y.,Yes,0.00573,53,9136,0.00418,0.00728
2015,46-65 y.,No,0.99427,9083,9136,0.99272,0.99582
2015,66 and older,No,0.99831,4899,4899,0.99716,0.99946
2016,17-29 y.,Yes,0.02256,90,4864,0.01838,0.02673
2016,17-29 y.,No,0.90646,4774,4864,0.89827,0.91464
2016,30-45 y.,Yes,0.02135,166,8622,0.01830,0.02440
2016,30-45 y.,No,0.97857,8456,8622,0.97551,0.98163
2016,46-65 y.,Yes,0.00503,74,9031,0.00357,0.00649
2016,46-65 y.,No,0.99496,8957,9031,0.99350,0.99642
2016,66 and older,No,0.99890,4735,4735,0.99795,0.99984
2017,17-29 y.,Yes,0.01874,102,5814,0.01525,0.02223
2017,17-29 y.,No,0.91270,5712,5814,0.90544,0.91995
2017,30-45 y.,Yes,0.02018,174,9129,0.01729,0.02306
2017,30-45 y.,No,0.97981,8955,9129,0.97692,0.98269
2017,46-65 y.,Yes,0.00663,94,10577,0.00508,0.00818
2017,46-65 y.,No,0.99336,10483,10577,0.99181,0.99491
2017,66 and older,No,0.99980,4993,4993,0.99941,1.00019
2018,17-29 y.,Yes,0.01497,85,5487,0.01176,0.01819
2018,17-29 y.,No,0.92307,5402,5487,0.91602,0.93012
2018,30-45 y.,Yes,0.02216,176,8442,0.01902,0.02530
2018,30-45 y.,No,0.97762,8266,8442,0.97447,0.98078
2018,46-65 y.,Yes,0.00435,84,10257,0.00307,0.00562
2018,46-65 y.,No,0.99565,10173,10257,0.99438,0.99693
2018,66 and older,No,0.99931,5015,5015,0.99858,1.00004
2019,17-29 y.,Yes,0.01664,82,4844,0.01303,0.02024
2019,17-29 y.,No,0.90830,4762,4844,0.90017,0.91643
2019,30-45 y.,Yes,0.01705,126,7965,0.01421,0.01990
2019,30-45 y.,No,0.98295,7839,7965,0.98010,0.98579
2019,46-65 y.,Yes,0.00649,83,11057,0.00500,0.00799
2019,46-65 y.,No,0.99350,10974,11057,0.99200,0.99500
2019,66 and older,No,0.99871,5198,5198,0.99773,0.99968
2020,17-29 y.,Yes,0.01985,84,5463,0.01615,0.02354
2020,17-29 y.,No,0.90626,5379,5463,0.89853,0.91399
2020,30-45 y.,Yes,0.01379,133,8493,0.01131,0.01628
2020,30-45 y.,No,0.98604,8360,8493,0.98354,0.98853
2020,46-65 y.,Yes,0.00573,75,10521,0.00429,0.00717
2020,46-65 y.,No,0.99427,10446,10521,0.99283,0.99571
2020,66 and older,No,0.99837,4920,4920,0.99724,0.99950
2021,17-29 y.,Yes,0.01093,52,3279,0.00737,0.01449
2021,17-29 y.,No,0.92399,3227,3279,0.91491,0.93306
2021,30-45 y.,Yes,0.01831,108,5343,0.01471,0.02190
2021,30-45 y.,No,0.98074,5235,5343,0.97705,0.98442
2021,46-65 y.,Yes,0.00393,58,7318,0.00250,0.00537
2021,46-65 y.,No,0.99431,7260,7318,0.99258,0.99603
2021,66 and older,No,0.98966,3568,3568,0.98634,0.99298
2022,17-29 y.,Yes,0.01758,123,5641,0.01415,0.02101
2022,17-29 y.,No,0.93021,5518,5641,0.92356,0.93686
2022,30-45 y.,Yes,0.02493,253,8940,0.02170,0.02817
2022,30-45 y.,No,0.97185,8687,8940,0.96842,0.97528
2022,46-65 y.,Yes,0.00821,91,9159,0.00636,0.01006
2022,46-65 y.,No,0.98563,9068,9159,0.98319,0.98806
2022,66 and older,No,0.98037,4089,4089,0.97611,0.98462
