year,pgisced97,quintil_oecd,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No answer / don't know,1st Quintile,No,0.99137,265,265,0.98022,1.00253
2014,No answer / don't know,2nd Quintile,No,0.99684,113,113,0.98644,1.00724
2014,No answer / don't know,4th Quintile,No,0.97758,63,63,0.94073,1.01443
2014,Primary Level,1st Quintile,No,0.98712,333,333,0.97500,0.99925
2014,Lower Secondary Level,1st Quintile,No,0.98688,1249,1249,0.98057,0.99319
2014,Lower Secondary Level,2nd Quintile,No,0.98736,818,818,0.97970,0.99502
2014,Lower Secondary Level,3rd Quintile,No,0.98807,545,545,0.97895,0.99719
2014,Lower Secondary Level,4th Quintile,No,0.98205,331,331,0.96773,0.99638
2014,Lower Secondary Level,5th Quintile,No,0.99507,124,124,0.98269,1.00745
2014,Upper Secondary Level,1st Quintile,Yes,0.00942,41,2766,0.00582,0.01302
2014,Upper Secondary Level,1st Quintile,No,0.99058,2725,2766,0.98698,0.99418
2014,Upper Secondary Level,2nd Quintile,Yes,0.01154,33,3023,0.00774,0.01535
2014,Upper Secondary Level,2nd Quintile,No,0.98846,2990,3023,0.98465,0.99226
2014,Upper Secondary Level,3rd Quintile,No,0.98898,2620,2620,0.98499,0.99298
2014,Upper Secondary Level,4th Quintile,No,0.99178,2409,2409,0.98817,0.99539
2014,Upper Secondary Level,5th Quintile,No,0.98816,1653,1653,0.98295,0.99338
2014,Post-secondary Non-tertiary Level,1st Quintile,No,0.99094,360,360,0.98113,1.00074
2014,Post-secondary Non-tertiary Level,2nd Quintile,No,0.97891,401,401,0.96483,0.99299
2014,Post-secondary Non-tertiary Level,3rd Quintile,No,0.96897,413,413,0.95222,0.98571
2014,Post-secondary Non-tertiary Level,4th Quintile,No,0.98616,448,448,0.97532,0.99699
2014,Post-secondary Non-tertiary Level,5th Quintile,No,0.98007,375,375,0.96590,0.99423
2014,First Stage of Tertiary Education,2nd Quintile,No,0.95694,273,273,0.93282,0.98106
2014,First Stage of Tertiary Education,3rd Quintile,No,0.99627,343,343,0.98980,1.00273
2014,First Stage of Tertiary Education,4th Quintile,No,0.99852,428,428,0.99488,1.00217
2014,First Stage of Tertiary Education,5th Quintile,No,0.99140,408,408,0.98243,1.00037
2014,Second Stage of Tertiary Education,1st Quintile,No,0.98701,524,524,0.97730,0.99671
2014,Second Stage of Tertiary Education,2nd Quintile,No,0.98619,645,645,0.97718,0.99520
2014,Second Stage of Tertiary Education,3rd Quintile,No,0.99441,984,984,0.98974,0.99907
