year,pgisced97,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Pre-primary Level,West,No,0.56101,395,395,0.51201,0.61001
2014,Pre-primary Level,East,No,0.50434,54,54,0.36974,0.63895
2014,Primary Level,West,No,0.98271,443,443,0.97056,0.99486
2014,Primary Level,East,No,0.97533,55,55,0.93396,1.01670
2014,Lower Secondary Level,West,Yes,0.01404,43,2732,0.00963,0.01845
2014,Lower Secondary Level,West,No,0.96771,2689,2732,0.96108,0.97434
2014,Lower Secondary Level,East,No,0.97645,378,378,0.96114,0.99176
2014,Upper Secondary Level,West,Yes,0.01115,100,9683,0.00906,0.01324
2014,Upper Secondary Level,West,No,0.98845,9583,9683,0.98632,0.99058
2014,Upper Secondary Level,East,Yes,0.00701,34,2853,0.00395,0.01008
2014,Upper Secondary Level,East,No,0.99283,2819,2853,0.98973,0.99592
2014,Post-secondary Non-tertiary Level,West,Yes,0.02007,42,1750,0.01350,0.02664
2014,Post-secondary Non-tertiary Level,West,No,0.97993,1708,1750,0.97336,0.98650
2014,Post-secondary Non-tertiary Level,East,No,0.98385,289,289,0.96929,0.99841
2014,First Stage of Tertiary Education,West,No,0.98665,1174,1174,0.98008,0.99322
2014,First Stage of Tertiary Education,East,No,0.99970,406,406,0.99802,1.00138
2014,Second Stage of Tertiary Education,West,Yes,0.01250,71,4786,0.00935,0.01565
2014,Second Stage of Tertiary Education,West,No,0.98750,4715,4786,0.98435,0.99065
2014,Second Stage of Tertiary Education,East,No,0.99331,1425,1425,0.98907,0.99754
2015,Pre-primary Level,West,No,0.53956,319,319,0.48478,0.59434
2015,Pre-primary Level,East,No,0.49284,56,56,0.36071,0.62497
2015,Primary Level,West,No,0.99134,475,475,0.98299,0.99968
2015,Primary Level,East,No,0.97394,50,50,0.92933,1.01855
2015,Lower Secondary Level,West,No,0.96415,2574,2574,0.95696,0.97133
2015,Lower Secondary Level,East,No,0.96542,357,357,0.94644,0.98440
2015,Upper Secondary Level,West,Yes,0.01223,90,9419,0.01001,0.01445
2015,Upper Secondary Level,West,No,0.98723,9329,9419,0.98496,0.98950
2015,Upper Secondary Level,East,No,0.99094,2715,2715,0.98738,0.99451
2015,Post-secondary Non-tertiary Level,West,No,0.98275,1840,1840,0.97680,0.98870
2015,Post-secondary Non-tertiary Level,East,No,0.98904,279,279,0.97680,1.00128
2015,First Stage of Tertiary Education,West,No,0.98893,1124,1124,0.98282,0.99505
2015,First Stage of Tertiary Education,East,No,0.99888,395,395,0.99558,1.00218
2015,Second Stage of Tertiary Education,West,Yes,0.01220,54,5004,0.00915,0.01524
2015,Second Stage of Tertiary Education,West,No,0.98780,4950,5004,0.98476,0.99085
2015,Second Stage of Tertiary Education,East,No,0.98921,1404,1404,0.98380,0.99461
2016,Pre-primary Level,West,No,0.51076,312,312,0.45520,0.56631
2016,Pre-primary Level,East,No,0.38749,46,46,0.24515,0.52984
2016,Primary Level,West,No,0.98460,1202,1202,0.97763,0.99156
2016,Primary Level,East,No,0.99085,226,226,0.97841,1.00329
2016,Lower Secondary Level,West,No,0.96971,2719,2719,0.96326,0.97615
2016,Lower Secondary Level,East,No,0.95314,401,401,0.93243,0.97385
2016,Upper Secondary Level,West,Yes,0.00964,97,8888,0.00761,0.01167
2016,Upper Secondary Level,West,No,0.99007,8791,8888,0.98801,0.99213
2016,Upper Secondary Level,East,No,0.99073,2621,2621,0.98706,0.99440
2016,Post-secondary Non-tertiary Level,West,Yes,0.02027,34,1806,0.01377,0.02677
2016,Post-secondary Non-tertiary Level,West,No,0.97973,1772,1806,0.97323,0.98623
2016,Post-secondary Non-tertiary Level,East,No,0.98426,278,278,0.96961,0.99892
2016,First Stage of Tertiary Education,West,No,0.98513,1028,1028,0.97773,0.99253
2016,First Stage of Tertiary Education,East,No,0.99008,361,361,0.97984,1.00032
2016,Second Stage of Tertiary Education,West,Yes,0.01183,84,5048,0.00885,0.01481
2016,Second Stage of Tertiary Education,West,No,0.98817,4964,5048,0.98519,0.99115
2016,Second Stage of Tertiary Education,East,No,0.99024,1424,1424,0.98513,0.99535
2017,Pre-primary Level,West,No,0.53814,356,356,0.48628,0.59000
2017,Pre-primary Level,East,No,0.59794,69,69,0.48140,0.71448
2017,Primary Level,West,No,0.98785,1580,1580,0.98245,0.99325
2017,Primary Level,East,No,0.98532,271,271,0.97097,0.99966
2017,Lower Secondary Level,West,Yes,0.00963,31,3062,0.00617,0.01309
2017,Lower Secondary Level,West,No,0.96800,3031,3062,0.96176,0.97423
2017,Lower Secondary Level,East,No,0.98987,482,482,0.98092,0.99882
2017,Upper Secondary Level,West,Yes,0.00756,95,9787,0.00585,0.00928
2017,Upper Secondary Level,West,No,0.99208,9692,9787,0.99033,0.99384
2017,Upper Secondary Level,East,No,0.99210,2925,2925,0.98889,0.99531
2017,Post-secondary Non-tertiary Level,West,Yes,0.01797,38,1973,0.01210,0.02383
2017,Post-secondary Non-tertiary Level,West,No,0.98203,1935,1973,0.97617,0.98790
2017,Post-secondary Non-tertiary Level,East,No,0.98199,331,331,0.96764,0.99634
2017,First Stage of Tertiary Education,West,No,0.99599,1126,1126,0.99229,0.99968
2017,First Stage of Tertiary Education,East,No,0.98588,394,394,0.97421,0.99754
2017,Second Stage of Tertiary Education,West,Yes,0.01773,106,5718,0.01431,0.02115
2017,Second Stage of Tertiary Education,West,No,0.98226,5612,5718,0.97884,0.98568
