year,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,West,Yes,0.01248,279,21497,0.01100,0.01396
2014,West,No,0.98752,21218,21497,0.98604,0.98900
2014,East,Yes,0.00652,61,5583,0.00441,0.00863
2014,East,No,0.99348,5522,5583,0.99137,0.99559
2015,West,Yes,0.01302,226,21380,0.01150,0.01454
2015,West,No,0.98698,21154,21380,0.98546,0.98850
2015,East,Yes,0.00835,62,5406,0.00592,0.01077
2015,East,No,0.99165,5344,5406,0.98923,0.99408
2016,West,Yes,0.01157,268,21718,0.01015,0.01299
2016,West,No,0.98843,21450,21718,0.98701,0.98985
2016,East,Yes,0.00889,66,5538,0.00642,0.01137
2016,East,No,0.99111,5472,5538,0.98863,0.99358
2017,West,Yes,0.01092,308,24345,0.00962,0.01223
2017,West,No,0.98908,24037,24345,0.98777,0.99038
2017,East,Yes,0.00832,64,6170,0.00606,0.01059
2017,East,No,0.99168,6106,6170,0.98941,0.99394
2018,West,Yes,0.01004,276,23197,0.00876,0.01132
2018,West,No,0.98996,22921,23197,0.98868,0.99124
2018,East,Yes,0.00714,74,6009,0.00501,0.00927
2018,East,No,0.99286,5935,6009,0.99073,0.99499
2019,West,Yes,0.00997,231,22998,0.00868,0.01125
2019,West,No,0.99003,22767,22998,0.98875,0.99132
2019,East,Yes,0.00768,70,6000,0.00547,0.00989
2019,East,No,0.99232,5930,6000,0.99011,0.99453
2020,West,Yes,0.00936,249,23576,0.00813,0.01059
2020,West,No,0.99064,23327,23576,0.98941,0.99187
2020,East,Yes,0.00726,48,5826,0.00508,0.00943
2020,East,No,0.99274,5778,5826,0.99057,0.99492
2021,West,Yes,0.00812,180,15620,0.00672,0.00953
2021,West,No,0.99188,15440,15620,0.99047,0.99328
2021,East,Yes,0.00625,39,3889,0.00378,0.00873
2021,East,No,0.99375,3850,3889,0.99127,0.99622
2022,West,Yes,0.01247,383,21990,0.01100,0.01393
2022,West,No,0.98753,21607,21990,0.98607,0.98900
2022,East,Yes,0.00998,87,5842,0.00743,0.01253
2022,East,No,0.99002,5755,5842,0.98747,0.99257
