year,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Urban regions,Yes,0.00959,217,17661,0.00816,0.01103
2014,Urban regions,No,0.82872,17444,17661,0.82316,0.83427
2014,Rural regions,Yes,0.00968,123,9419,0.00770,0.01166
2014,Rural regions,No,0.84269,9296,9419,0.83533,0.85004
2015,Urban regions,Yes,0.01085,195,17499,0.00931,0.01238
2015,Urban regions,No,0.83164,17304,17499,0.82609,0.83718
2015,Rural regions,Yes,0.00911,93,9287,0.00718,0.01104
2015,Rural regions,No,0.83920,9194,9287,0.83173,0.84667
2016,Urban regions,Yes,0.01067,245,17878,0.00916,0.01217
2016,Urban regions,No,0.82899,17633,17878,0.82347,0.83451
2016,Rural regions,Yes,0.00651,89,9378,0.00488,0.00814
2016,Rural regions,No,0.83868,9289,9378,0.83124,0.84613
2017,Urban regions,Yes,0.00958,264,19933,0.00822,0.01093
2017,Urban regions,No,0.82809,19669,19933,0.82285,0.83333
2017,Rural regions,Yes,0.00707,108,10582,0.00547,0.00866
2017,Rural regions,No,0.83687,10474,10582,0.82983,0.84392
2018,Urban regions,Yes,0.00944,242,19250,0.00808,0.01081
2018,Urban regions,No,0.83322,19008,19250,0.82795,0.83849
2018,Rural regions,Yes,0.00495,108,9956,0.00357,0.00633
2018,Rural regions,No,0.84013,9848,9956,0.83293,0.84733
2019,Urban regions,Yes,0.00880,196,18814,0.00747,0.01014
2019,Urban regions,No,0.82801,18618,18814,0.82262,0.83341
2019,Rural regions,Yes,0.00584,96,9707,0.00432,0.00735
2019,Rural regions,No,0.83441,9611,9707,0.82701,0.84180
2020,Urban regions,Yes,0.00814,217,19950,0.00689,0.00938
2020,Urban regions,No,0.82819,19733,19950,0.82295,0.83342
2020,Rural regions,Yes,0.00617,80,9452,0.00459,0.00775
2020,Rural regions,No,0.82744,9372,9452,0.81982,0.83506
2021,Urban regions,Yes,0.00773,163,13279,0.00624,0.00922
2021,Urban regions,No,0.82004,13116,13279,0.81351,0.82658
2021,Rural regions,Yes,0.00379,56,6229,0.00227,0.00532
2021,Rural regions,No,0.83027,6173,6229,0.82094,0.83959
2022,Urban regions,Yes,0.01072,362,19059,0.00926,0.01218
2022,Urban regions,No,0.80966,18697,19059,0.80408,0.81523
2022,Rural regions,Yes,0.00816,108,8773,0.00627,0.01004
2022,Rural regions,No,0.82062,8665,8773,0.81259,0.82865
