year,migback,pgisced97,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,Pre-primary Level,No,0.53946,283,283,0.48129,0.59764
2014,No migration background,Primary Level,No,0.97446,173,173,0.95089,0.99804
2014,No migration background,Lower Secondary Level,No,0.96928,1687,1687,0.96104,0.97751
2014,No migration background,Upper Secondary Level,Yes,0.00967,100,10010,0.00776,0.01159
2014,No migration background,Upper Secondary Level,No,0.98993,9910,10010,0.98798,0.99189
2014,No migration background,Post-secondary Non-tertiary Level,No,0.98039,1274,1274,0.97277,0.98801
2014,No migration background,First Stage of Tertiary Education,No,0.99030,1410,1410,0.98518,0.99542
2014,No migration background,Second Stage of Tertiary Education,Yes,0.01074,60,4829,0.00783,0.01365
2014,No migration background,Second Stage of Tertiary Education,No,0.98926,4769,4829,0.98635,0.99217
2014,Direct migration background,Pre-primary Level,No,0.62350,60,60,0.49986,0.74713
2014,Direct migration background,Primary Level,No,0.98516,281,281,0.97099,0.99932
2014,Direct migration background,Lower Secondary Level,No,0.99476,1038,1038,0.99036,0.99915
2014,Direct migration background,Upper Secondary Level,No,0.99184,1823,1823,0.98772,0.99597
2014,Direct migration background,Post-secondary Non-tertiary Level,No,0.98164,611,611,0.97098,0.99229
2014,Direct migration background,Second Stage of Tertiary Education,No,0.98569,1130,1130,0.97876,0.99262
2014,Indirect migration background,Pre-primary Level,No,0.58257,106,106,0.48825,0.67690
2014,Indirect migration background,Lower Secondary Level,No,0.88605,342,342,0.85232,0.91977
2014,Indirect migration background,Upper Secondary Level,No,0.97046,669,669,0.95762,0.98330
2014,Indirect migration background,Post-secondary Non-tertiary Level,No,0.97450,112,112,0.94518,1.00383
2014,Indirect migration background,First Stage of Tertiary Education,No,0.91189,54,54,0.83557,0.98820
2014,Indirect migration background,Second Stage of Tertiary Education,No,0.98562,241,241,0.97056,1.00068
2015,No migration background,Pre-primary Level,No,0.47916,216,216,0.41238,0.54593
2015,No migration background,Primary Level,No,0.98791,158,158,0.97081,1.00500
2015,No migration background,Lower Secondary Level,No,0.95984,1577,1577,0.95015,0.96953
2015,No migration background,Upper Secondary Level,Yes,0.01089,83,9489,0.00880,0.01297
2015,No migration background,Upper Secondary Level,No,0.98886,9406,9489,0.98675,0.99098
2015,No migration background,Post-secondary Non-tertiary Level,No,0.98327,1208,1208,0.97604,0.99051
2015,No migration background,First Stage of Tertiary Education,No,0.99043,1355,1355,0.98525,0.99562
2015,No migration background,Second Stage of Tertiary Education,Yes,0.01303,48,4674,0.00978,0.01628
2015,No migration background,Second Stage of Tertiary Education,No,0.98697,4626,4674,0.98372,0.99022
