year,migback,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,male,Yes,0.00804,70,9246,0.00622,0.00986
2014,No migration background,male,No,0.84816,9176,9246,0.84084,0.85548
2014,No migration background,female,Yes,0.01029,157,10855,0.00839,0.01219
2014,No migration background,female,No,0.85543,10698,10855,0.84881,0.86205
2014,Direct migration background,male,No,0.95893,2359,2359,0.95092,0.96694
2014,Direct migration background,female,Yes,0.01226,58,2897,0.00825,0.01627
2014,Direct migration background,female,No,0.94992,2839,2897,0.94198,0.95786
2014,Indirect migration background,male,No,0.48468,790,790,0.44981,0.51955
2014,Indirect migration background,female,No,0.47069,878,878,0.43765,0.50372
2015,No migration background,male,Yes,0.01017,69,8804,0.00807,0.01226
2015,No migration background,male,No,0.84667,8735,8804,0.83914,0.85419
2015,No migration background,female,Yes,0.01137,127,10326,0.00932,0.01341
2015,No migration background,female,No,0.85636,10199,10326,0.84959,0.86312
2015,Direct migration background,male,No,0.95750,2738,2738,0.94994,0.96506
2015,Direct migration background,female,Yes,0.00879,40,3291,0.00560,0.01198
2015,Direct migration background,female,No,0.95006,3251,3291,0.94262,0.95750
2015,Indirect migration background,male,No,0.49275,729,729,0.45643,0.52906
2015,Indirect migration background,female,No,0.47475,846,846,0.44108,0.50842
2016,No migration background,male,Yes,0.00573,54,8163,0.00409,0.00737
2016,No migration background,male,No,0.84625,8109,8163,0.83842,0.85407
2016,No migration background,female,Yes,0.01131,115,9600,0.00920,0.01343
2016,No migration background,female,No,0.85567,9485,9600,0.84864,0.86270
2016,Direct migration background,male,Yes,0.01267,66,4016,0.00921,0.01612
2016,Direct migration background,male,No,0.94006,3950,4016,0.93271,0.94740
2016,Direct migration background,female,Yes,0.00898,69,3997,0.00605,0.01190
2016,Direct migration background,female,No,0.94337,3928,3997,0.93621,0.95054
2016,Indirect migration background,male,No,0.49238,673,673,0.45458,0.53018
2016,Indirect migration background,female,No,0.50000,777,777,0.46482,0.53518
2017,No migration background,male,Yes,0.00699,77,9364,0.00530,0.00867
2017,No migration background,male,No,0.84752,9287,9364,0.84024,0.85481
2017,No migration background,female,Yes,0.00832,125,10746,0.00660,0.01004
2017,No migration background,female,No,0.85773,10621,10746,0.85113,0.86434
2017,Direct migration background,male,Yes,0.01343,69,4392,0.01003,0.01684
2017,Direct migration background,male,No,0.92738,4323,4392,0.91970,0.93505
2017,Direct migration background,female,Yes,0.01258,72,4391,0.00928,0.01587
2017,Direct migration background,female,No,0.93551,4319,4391,0.92825,0.94278
2017,Indirect migration background,male,No,0.49030,744,744,0.45436,0.52625
2017,Indirect migration background,female,No,0.49665,849,849,0.46299,0.53030
2018,No migration background,male,Yes,0.00534,59,9009,0.00384,0.00685
2018,No migration background,male,No,0.85396,8950,9009,0.84667,0.86125
2018,No migration background,female,Yes,0.00857,104,10401,0.00679,0.01034
2018,No migration background,female,No,0.86077,10297,10401,0.85412,0.86742
2018,Direct migration background,male,Yes,0.01205,85,4119,0.00872,0.01538
2018,Direct migration background,male,No,0.93157,4034,4119,0.92385,0.93928
2018,Direct migration background,female,Yes,0.01525,80,4062,0.01148,0.01902
2018,Direct migration background,female,No,0.93200,3982,4062,0.92425,0.93974
2018,Indirect migration background,male,No,0.49798,733,733,0.46176,0.53420
2018,Indirect migration background,female,No,0.52153,860,860,0.48813,0.55494
2019,No migration background,male,Yes,0.00500,73,9728,0.00360,0.00640
2019,No migration background,male,No,0.84904,9655,9728,0.84192,0.85615
2019,No migration background,female,Yes,0.00926,107,10386,0.00741,0.01110
2019,No migration background,female,No,0.85444,10279,10386,0.84766,0.86122
2019,Direct migration background,male,Yes,0.00801,47,3769,0.00516,0.01085
2019,Direct migration background,male,No,0.93837,3722,3769,0.93070,0.94605
2019,Direct migration background,female,Yes,0.01336,49,3613,0.00961,0.01710
2019,Direct migration background,female,No,0.93919,3564,3613,0.93139,0.94698
2019,Indirect migration background,male,No,0.48991,733,733,0.45370,0.52613
2019,Indirect migration background,female,No,0.51068,814,814,0.47631,0.54504
2020,No migration background,male,Yes,0.00725,74,8787,0.00548,0.00902
2020,No migration background,male,No,0.84462,8713,8787,0.83704,0.85219
2020,No migration background,female,Yes,0.00727,82,9727,0.00558,0.00896
2020,No migration background,female,No,0.85243,9645,9727,0.84539,0.85948
2020,Direct migration background,male,Yes,0.01276,68,5094,0.00968,0.01584
2020,Direct migration background,male,No,0.93709,5026,5094,0.93042,0.94376
2020,Direct migration background,female,Yes,0.00796,57,4256,0.00529,0.01063
2020,Direct migration background,female,No,0.93977,4199,4256,0.93262,0.94692
2020,Indirect migration background,male,No,0.49295,719,719,0.45638,0.52952
2020,Indirect migration background,female,No,0.50105,796,796,0.46629,0.53580
2021,No migration background,male,Yes,0.00498,50,6204,0.00323,0.00673
2021,No migration background,male,No,0.85022,6154,6204,0.84134,0.85910
2021,No migration background,female,Yes,0.00719,62,6927,0.00520,0.00917
