year,age_gr,quintil_oecd,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,1st Quintile,No,0.98976,1435,1435,0.98455,0.99497
2014,17-29 y.,2nd Quintile,No,0.98038,860,860,0.97110,0.98965
2014,17-29 y.,3rd Quintile,No,0.97760,741,741,0.96694,0.98826
2014,17-29 y.,4th Quintile,No,0.97920,710,710,0.96869,0.98970
2014,17-29 y.,5th Quintile,No,0.95566,466,466,0.93695,0.97437
2014,30-45 y.,1st Quintile,Yes,0.02408,51,1906,0.01720,0.03097
2014,30-45 y.,1st Quintile,No,0.97592,1855,1906,0.96903,0.98280
2014,30-45 y.,2nd Quintile,Yes,0.02790,44,1903,0.02049,0.03530
2014,30-45 y.,2nd Quintile,No,0.97210,1859,1903,0.96470,0.97951
2014,30-45 y.,3rd Quintile,No,0.97762,1687,1687,0.97056,0.98468
2014,30-45 y.,4th Quintile,No,0.98148,1539,1539,0.97474,0.98822
2014,30-45 y.,5th Quintile,No,0.98375,1416,1416,0.97717,0.99034
2014,46-65 y.,1st Quintile,No,0.99433,1626,1626,0.99067,0.99798
2014,46-65 y.,2nd Quintile,No,0.98632,1478,1478,0.98039,0.99224
2014,46-65 y.,3rd Quintile,No,0.99321,1597,1597,0.98919,0.99724
2014,46-65 y.,4th Quintile,No,0.99531,1974,1974,0.99229,0.99832
2014,46-65 y.,5th Quintile,No,0.99361,2542,2542,0.99052,0.99671
2014,66 and older,1st Quintile,No,0.99719,816,816,0.99356,1.00082
2014,66 and older,5th Quintile,No,0.99436,920,920,0.98952,0.99920
2015,17-29 y.,1st Quintile,No,0.97786,1238,1238,0.96966,0.98606
2015,17-29 y.,2nd Quintile,No,0.98005,852,852,0.97066,0.98945
2015,17-29 y.,3rd Quintile,No,0.97333,745,745,0.96176,0.98491
2015,17-29 y.,4th Quintile,No,0.98489,610,610,0.97520,0.99458
2015,17-29 y.,5th Quintile,No,0.96448,433,433,0.94703,0.98194
2015,30-45 y.,1st Quintile,Yes,0.04763,47,1618,0.03725,0.05801
2015,30-45 y.,1st Quintile,No,0.95237,1571,1618,0.94199,0.96275
2015,30-45 y.,2nd Quintile,No,0.98069,1603,1603,0.97395,0.98743
2015,30-45 y.,3rd Quintile,No,0.96255,1487,1487,0.95289,0.97220
2015,30-45 y.,4th Quintile,No,0.98046,1359,1359,0.97310,0.98782
2015,30-45 y.,5th Quintile,No,0.98454,1221,1221,0.97762,0.99147
2015,46-65 y.,1st Quintile,No,0.98941,1475,1475,0.98419,0.99464
2015,46-65 y.,2nd Quintile,No,0.99476,1505,1505,0.99111,0.99841
2015,46-65 y.,3rd Quintile,No,0.99609,1515,1515,0.99294,0.99923
2015,46-65 y.,4th Quintile,No,0.99525,1873,1873,0.99213,0.99836
2015,46-65 y.,5th Quintile,No,0.99450,2472,2472,0.99159,0.99742
2015,66 and older,3rd Quintile,No,0.99791,1064,1064,0.99517,1.00066
2015,66 and older,4th Quintile,No,0.99352,878,878,0.98821,0.99883
2016,17-29 y.,1st Quintile,No,0.98927,1263,1263,0.98358,0.99495
2016,17-29 y.,2nd Quintile,No,0.98082,832,832,0.97149,0.99014
2016,17-29 y.,3rd Quintile,No,0.96917,697,697,0.95632,0.98201
2016,17-29 y.,4th Quintile,No,0.97015,557,557,0.95601,0.98430
2016,17-29 y.,5th Quintile,No,0.95494,431,431,0.93533,0.97454
2016,30-45 y.,1st Quintile,Yes,0.02805,51,1657,0.02010,0.03601
2016,30-45 y.,1st Quintile,No,0.97195,1606,1657,0.96399,0.97990
2016,30-45 y.,2nd Quintile,No,0.98696,1551,1551,0.98131,0.99261
2016,30-45 y.,3rd Quintile,No,0.97439,1357,1357,0.96598,0.98280
2016,30-45 y.,4th Quintile,No,0.97687,1367,1367,0.96889,0.98484
2016,30-45 y.,5th Quintile,No,0.98382,1078,1078,0.97629,0.99136
2016,46-65 y.,1st Quintile,No,0.99446,1399,1399,0.99057,0.99835
2016,46-65 y.,2nd Quintile,No,0.99525,1472,1472,0.99174,0.99877
2016,46-65 y.,3rd Quintile,No,0.99126,1505,1505,0.98656,0.99597
2016,46-65 y.,4th Quintile,No,0.99760,1807,1807,0.99534,0.99986
2016,46-65 y.,5th Quintile,No,0.99542,2362,2362,0.99269,0.99814
2016,66 and older,2nd Quintile,No,0.99936,1190,1190,0.99791,1.00080
2016,66 and older,4th Quintile,No,0.99847,853,853,0.99584,1.00109
2016,66 and older,5th Quintile,No,0.99609,955,955,0.99212,1.00005
2017,17-29 y.,1st Quintile,Yes,0.01770,37,1685,0.01140,0.02400
2017,17-29 y.,1st Quintile,No,0.98230,1648,1685,0.97600,0.98860
2017,17-29 y.,2nd Quintile,No,0.99387,804,804,0.98847,0.99927
2017,17-29 y.,3rd Quintile,No,0.97769,654,654,0.96637,0.98902
