year,age_gr,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Urban regions,Yes,0.02130,51,2928,0.01607,0.02654
2014,17-29 y.,Urban regions,No,0.91024,2877,2928,0.89989,0.92060
2014,17-29 y.,Rural regions,Yes,0.01563,31,1368,0.00905,0.02220
2014,17-29 y.,Rural regions,No,0.91589,1337,1368,0.90118,0.93061
2014,30-45 y.,Urban regions,Yes,0.02022,110,5668,0.01655,0.02388
2014,30-45 y.,Urban regions,No,0.97978,5558,5668,0.97612,0.98345
2014,30-45 y.,Rural regions,Yes,0.02472,54,2852,0.01902,0.03041
2014,30-45 y.,Rural regions,No,0.97528,2798,2852,0.96959,0.98098
2014,46-65 y.,Urban regions,Yes,0.00658,52,5904,0.00452,0.00864
2014,46-65 y.,Urban regions,No,0.99342,5852,5904,0.99136,0.99548
2014,46-65 y.,Rural regions,Yes,0.00806,37,3407,0.00506,0.01107
2014,46-65 y.,Rural regions,No,0.99194,3370,3407,0.98893,0.99494
2014,66 and older,Urban regions,No,0.99879,3157,3157,0.99757,1.00000
2014,66 and older,Rural regions,No,0.99837,1791,1791,0.99650,1.00024
2015,17-29 y.,Urban regions,Yes,0.02009,55,3052,0.01511,0.02507
2015,17-29 y.,Urban regions,No,0.91537,2997,3052,0.90550,0.92525
2015,17-29 y.,Rural regions,Yes,0.02233,31,1410,0.01462,0.03005
2015,17-29 y.,Rural regions,No,0.90592,1379,1410,0.89068,0.92116
2015,30-45 y.,Urban regions,Yes,0.02820,99,5527,0.02384,0.03257
2015,30-45 y.,Urban regions,No,0.97180,5428,5527,0.96743,0.97616
2015,30-45 y.,Rural regions,Yes,0.02072,47,2759,0.01540,0.02604
2015,30-45 y.,Rural regions,No,0.97909,2712,2759,0.97375,0.98443
2015,46-65 y.,Urban regions,Yes,0.00550,39,5820,0.00360,0.00740
2015,46-65 y.,Urban regions,No,0.99450,5781,5820,0.99260,0.99640
2015,46-65 y.,Rural regions,No,0.99384,3302,3302,0.99116,0.99651
2015,66 and older,Urban regions,No,0.99823,3098,3098,0.99675,0.99971
2015,66 and older,Rural regions,No,0.99848,1801,1801,0.99668,1.00028
2016,17-29 y.,Urban regions,Yes,0.02414,63,3334,0.01893,0.02936
2016,17-29 y.,Urban regions,No,0.90668,3271,3334,0.89680,0.91655
2016,17-29 y.,Rural regions,No,0.90590,1503,1503,0.89114,0.92067
2016,30-45 y.,Urban regions,Yes,0.02511,124,5798,0.02109,0.02914
2016,30-45 y.,Urban regions,No,0.97482,5674,5798,0.97079,0.97886
2016,30-45 y.,Rural regions,Yes,0.01240,42,2824,0.00832,0.01649
2016,30-45 y.,Rural regions,No,0.98747,2782,2824,0.98337,0.99157
2016,46-65 y.,Urban regions,Yes,0.00485,54,5760,0.00306,0.00665
2016,46-65 y.,Urban regions,No,0.99513,5706,5760,0.99333,0.99693
2016,46-65 y.,Rural regions,No,0.99464,3251,3251,0.99213,0.99715
2016,66 and older,Urban regions,No,0.99836,2982,2982,0.99691,0.99982
2017,17-29 y.,Urban regions,Yes,0.01839,69,3942,0.01420,0.02259
2017,17-29 y.,Urban regions,No,0.90988,3873,3942,0.90094,0.91882
2017,17-29 y.,Rural regions,Yes,0.01963,33,1872,0.01335,0.02592
2017,17-29 y.,Rural regions,No,0.91989,1839,1872,0.90759,0.93219
2017,30-45 y.,Urban regions,Yes,0.02305,131,6144,0.01929,0.02680
2017,30-45 y.,Urban regions,No,0.97694,6013,6144,0.97318,0.98069
2017,30-45 y.,Rural regions,Yes,0.01299,43,2985,0.00893,0.01705
2017,30-45 y.,Rural regions,No,0.98700,2942,2985,0.98293,0.99106
2017,46-65 y.,Urban regions,Yes,0.00670,62,6711,0.00475,0.00865
2017,46-65 y.,Urban regions,No,0.99330,6649,6711,0.99135,0.99525
2017,46-65 y.,Rural regions,Yes,0.00650,32,3866,0.00396,0.00903
2017,46-65 y.,Rural regions,No,0.99348,3834,3866,0.99095,0.99602
2017,66 and older,Urban regions,No,0.99971,3134,3134,0.99911,1.00031
2018,17-29 y.,Urban regions,Yes,0.01557,61,3781,0.01163,0.01952
