"year","hhtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","(Ehe-)Paar ohne Kind(er)","43.89","0","2702","29.91","57.87"
"1984","1-Pers.- Haushalt","116.35","0","1288","55.22","177.48"
"1984","Alleinerziehende","874.99","0","828","702.94","1047.04"
"1984","Paar mit Kind(ern)","31.09","0","10356","24.38","37.8"
"1984","Sonstige","368.66","0","1002","287.54","449.78"
"1985","(Ehe-)Paar ohne Kind(er)","21.74","0","2450","9.08","34.4"
"1985","1-Pers.- Haushalt","217.06","0","1140","91.01","343.11"
"1985","Alleinerziehende","542.38","0","748","411.53","673.23"
"1985","Paar mit Kind(ern)","38.15","0","9339","29.93","46.37"
"1985","Sonstige","328.54","0","921","248.62","408.46"
"1986","(Ehe-)Paar ohne Kind(er)","51.33","0","2410","30.81","71.85"
"1986","1-Pers.- Haushalt","139.33","0","1079","71.04","207.62"
"1986","Alleinerziehende","801.7","0","712","639.98","963.42"
"1986","Paar mit Kind(ern)","33.23","0","8799","25.12","41.34"
"1986","Sonstige","218.04","0","894","138.87","297.21"
"1987","(Ehe-)Paar ohne Kind(er)","33.41","0","2384","15.48","51.34"
"1987","1-Pers.- Haushalt","123.4","0","1078","79.05","167.75"
"1987","Alleinerziehende","784.81","0","705","596.9","972.72"
"1987","Paar mit Kind(ern)","53.03","0","8532","41.92","64.14"
"1987","Sonstige","230.58","0","943","166.65","294.51"
"1988","(Ehe-)Paar ohne Kind(er)","56.11","0","2336","34.46","77.76"
"1988","1-Pers.- Haushalt","166.46","0","1037","101.54","231.38"
"1988","Alleinerziehende","855.48","0","704","667.48","1043.48"
"1988","Paar mit Kind(ern)","27.64","0","8110","19.83","35.45"
"1988","Sonstige","202.14","0","826","136.81","267.47"
"1989","(Ehe-)Paar ohne Kind(er)","69.93","0","2316","46.28","93.58"
"1989","1-Pers.- Haushalt","125.87","0","1040","77.03","174.71"
"1989","Alleinerziehende","644.68","0","660","471.91","817.45"
"1989","Paar mit Kind(ern)","50.19","0","7743","40.65","59.73"
"1989","Sonstige","467.89","0","835","336.62","599.16"
"1990","(Ehe-)Paar ohne Kind(er)","49.06","0","2368","26.09","72.03"
"1990","1-Pers.- Haushalt","125.16","0","1001","53.18","197.14"
"1990","Alleinerziehende","1024.98","0","640","776.72","1273.24"
"1990","Paar mit Kind(ern)","66.02","0","7526","53.6","78.44"
"1990","Sonstige","332.39","0","898","267.17","397.61"
"1991","(Ehe-)Paar ohne Kind(er)","53.33","0","2396","28.55","78.11"
"1991","1-Pers.- Haushalt","108.67","0","1003","54.41","162.93"
"1991","Alleinerziehende","1204.99","0","659","906.56","1503.42"
"1991","Paar mit Kind(ern)","89.76","0","7467","76.88","102.64"
