"year","quintil","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1995","1 Einkommensschwächstes Quintil","Ostdeutschland","100.43","0","2335","62.52","138.34"
"1995","1 Einkommensschwächstes Quintil","Westdeutschland","334.35","0","4770","297.41","371.29"
"1995","2","Ostdeutschland","59.92","0","1530","40.54","79.3"
"1995","2","Westdeutschland","149","0","3420","113.56","184.44"
"1995","3","Ostdeutschland","74.9","0","695","42.36","107.44"
"1995","3","Westdeutschland","143.94","0","2322","96.29","191.59"
"1995","4","Ostdeutschland","11.37","0","250","-9.1","31.84"
"1995","4","Westdeutschland","140.99","0","1545","69.86","212.12"
"1995","5 Einkommensstärkstes Quintil","Ostdeutschland","366.66","0","51","120.64","612.68"
"1995","5 Einkommensstärkstes Quintil","Westdeutschland","102.38","0","794","47.67","157.09"
"1996","1 Einkommensschwächstes Quintil","Ostdeutschland","104.73","0","2040","81.33","128.13"
"1996","1 Einkommensschwächstes Quintil","Westdeutschland","334.97","0","4334","281.05","388.89"
"1996","2","Ostdeutschland","36.24","0","1598","22.54","49.94"
"1996","2","Westdeutschland","148.82","0","3338","117.92","179.72"
"1996","3","Ostdeutschland","124.87","0","793","67.92","181.82"
"1996","3","Westdeutschland","136.57","0","2363","89.67","183.47"
"1996","4","Ostdeutschland","40.32","0","289","16.18","64.46"
"1996","4","Westdeutschland","84.22","0","1612","53.87","114.57"
"1996","5 Einkommensstärkstes Quintil","Ostdeutschland","696.38","0","77","-193.08","1585.84"
"1996","5 Einkommensstärkstes Quintil","Westdeutschland","85.68","0","895","28.7","142.66"
"1997","1 Einkommensschwächstes Quintil","Ostdeutschland","144.87","0","1956","111.6","178.14"
"1997","1 Einkommensschwächstes Quintil","Westdeutschland","363.75","0","4031","321.6","405.9"
"1997","2","Ostdeutschland","61.83","0","1518","37.89","85.77"
"1997","2","Westdeutschland","165.46","0","3309","131.08","199.84"
"1997","3","Ostdeutschland","60.86","0","823","37.28","84.44"
"1997","3","Westdeutschland","138.33","0","2468","94.28","182.38"
"1997","4","Ostdeutschland","61.72","0","307","5.56","117.88"
"1997","4","Westdeutschland","89.81","0","1628","48.4","131.22"
"1997","5 Einkommensstärkstes Quintil","Ostdeutschland","36.18","0","79","-82.78","155.14"
"1997","5 Einkommensstärkstes Quintil","Westdeutschland","130.15","0","888","61.07","199.23"
"1998","1 Einkommensschwächstes Quintil","Ostdeutschland","89.72","0","2103","66.74","112.7"
"1998","1 Einkommensschwächstes Quintil","Westdeutschland","251.99","0","4336","214.36","289.62"
"1998","2","Ostdeutschland","79.05","0","1418","48.85","109.25"
"1998","2","Westdeutschland","141.13","0","3756","104.69","177.57"
"1998","3","Ostdeutschland","49.43","0","903","32.36","66.5"
"1998","3","Westdeutschland","151.44","0","2694","108.99","193.89"
