year,pgisced97,sex,plj0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Pre-primary Level,male,Yes,0.18828,42,17614,0.18726,0.18930
2009,Pre-primary Level,male,No,0.81172,125,17614,0.81070,0.81274
2009,Pre-primary Level,female,Yes,0.36455,60,17614,0.36322,0.36589
2009,Pre-primary Level,female,No,0.63545,84,17614,0.63411,0.63678
2009,Primary Level,male,No,1.00000,53,17614,1.00000,1.00000
2009,Primary Level,female,No,1.00000,75,17614,1.00000,1.00000
2009,Lower Secondary Level,male,Yes,0.19267,101,17614,0.19218,0.19316
2009,Lower Secondary Level,male,No,0.80733,453,17614,0.80684,0.80782
2009,Lower Secondary Level,female,Yes,0.10083,121,17614,0.10057,0.10108
2009,Lower Secondary Level,female,No,0.89917,1105,17614,0.89892,0.89943
2009,Upper Secondary Level,male,Yes,0.14919,532,17614,0.14902,0.14936
2009,Upper Secondary Level,male,No,0.85081,3735,17614,0.85064,0.85098
2009,Upper Secondary Level,female,Yes,0.09874,426,17614,0.09860,0.09887
2009,Upper Secondary Level,female,No,0.90126,4345,17614,0.90113,0.90140
2009,Post-secondary Non-tertiary Level,male,Yes,0.16493,62,17614,0.16437,0.16550
2009,Post-secondary Non-tertiary Level,male,No,0.83507,327,17614,0.83450,0.83563
2009,Post-secondary Non-tertiary Level,female,Yes,0.15951,83,17614,0.15904,0.15998
2009,Post-secondary Non-tertiary Level,female,No,0.84049,524,17614,0.84002,0.84096
2009,First Stage of Tertiary Education,male,Yes,0.11172,79,17614,0.11137,0.11208
2009,First Stage of Tertiary Education,male,No,0.88828,703,17614,0.88792,0.88863
2009,First Stage of Tertiary Education,female,Yes,0.09822,41,17614,0.09782,0.09863
2009,First Stage of Tertiary Education,female,No,0.90178,505,17614,0.90137,0.90218
2009,Second Stage of Tertiary Education,male,Yes,0.17517,334,17614,0.17489,0.17545
2009,Second Stage of Tertiary Education,male,No,0.82483,1851,17614,0.82455,0.82511
2009,Second Stage of Tertiary Education,female,Yes,0.16860,253,17614,0.16829,0.16891
2009,Second Stage of Tertiary Education,female,No,0.83140,1595,17614,0.83109,0.83171
2014,Pre-primary Level,male,Yes,0.35470,66,26357,0.35321,0.35620
2014,Pre-primary Level,male,No,0.64530,148,26357,0.64380,0.64679
2014,Pre-primary Level,female,Yes,0.49203,105,26357,0.49047,0.49358
2014,Pre-primary Level,female,No,0.50797,130,26357,0.50642,0.50953
2014,Primary Level,male,Yes,0.20123,37,26357,0.20008,0.20239
2014,Primary Level,male,No,0.79877,171,26357,0.79761,0.79992
2014,Primary Level,female,Yes,0.11698,36,26357,0.11617,0.11778
2014,Primary Level,female,No,0.88302,254,26357,0.88222,0.88383
2014,Lower Secondary Level,male,Yes,0.17049,181,26357,0.17006,0.17091
2014,Lower Secondary Level,male,No,0.82951,1002,26357,0.82909,0.82994
2014,Lower Secondary Level,female,Yes,0.08836,186,26357,0.08811,0.08862
2014,Lower Secondary Level,female,No,0.91164,1720,26357,0.91138,0.91189
2014,Upper Secondary Level,male,Yes,0.11736,657,26357,0.11720,0.11752
2014,Upper Secondary Level,male,No,0.88264,4974,26357,0.88248,0.88280
2014,Upper Secondary Level,female,Yes,0.09461,678,26357,0.09447,0.09475
2014,Upper Secondary Level,female,No,0.90539,6176,26357,0.90525,0.90553
2014,Post-secondary Non-tertiary Level,male,Yes,0.17071,110,26357,0.17020,0.17122
2014,Post-secondary Non-tertiary Level,male,No,0.82929,636,26357,0.82878,0.82980
2014,Post-secondary Non-tertiary Level,female,Yes,0.11287,141,26357,0.11248,0.11325
2014,Post-secondary Non-tertiary Level,female,No,0.88713,1154,26357,0.88675,0.88752
2014,First Stage of Tertiary Education,male,Yes,0.09641,88,26357,0.09607,0.09676
2014,First Stage of Tertiary Education,male,No,0.90359,892,26357,0.90324,0.90393
2014,First Stage of Tertiary Education,female,Yes,0.07128,41,26357,0.07087,0.07169
2014,First Stage of Tertiary Education,female,No,0.92872,569,26357,0.92831,0.92913
2014,Second Stage of Tertiary Education,male,Yes,0.15304,428,26357,0.15278,0.15330
2014,Second Stage of Tertiary Education,male,No,0.84696,2660,26357,0.84670,0.84722
2014,Second Stage of Tertiary Education,female,Yes,0.15116,439,26357,0.15089,0.15143
2014,Second Stage of Tertiary Education,female,No,0.84884,2678,26357,0.84857,0.84911
2019,Pre-primary Level,male,Yes,0.23301,56,25064,0.23155,0.23448
2019,Pre-primary Level,male,No,0.76699,111,25064,0.76552,0.76845
2019,Pre-primary Level,female,Yes,0.57571,74,25064,0.57401,0.57742
2019,Pre-primary Level,female,No,0.42429,88,25064,0.42258,0.42599
2019,Primary Level,male,Yes,0.25831,35,25064,0.25709,0.25952
2019,Primary Level,male,No,0.74169,135,25064,0.74048,0.74291
2019,Primary Level,female,Yes,0.11528,31,25064,0.11455,0.11601
2019,Primary Level,female,No,0.88472,188,25064,0.88399,0.88545
2019,Lower Secondary Level,male,Yes,0.16191,169,25064,0.16149,0.16233
2019,Lower Secondary Level,male,No,0.83809,818,25064,0.83767,0.83851
2019,Lower Secondary Level,female,Yes,0.08937,163,25064,0.08909,0.08965
2019,Lower Secondary Level,female,No,0.91063,1257,25064,0.91035,0.91091
2019,Upper Secondary Level,male,Yes,0.12779,682,25064,0.12762,0.12796
2019,Upper Secondary Level,male,No,0.87221,4369,25064,0.87204,0.87238
2019,Upper Secondary Level,female,Yes,0.09070,619,25064,0.09056,0.09084
2019,Upper Secondary Level,female,No,0.90930,5430,25064,0.90916,0.90944
2019,Post-secondary Non-tertiary Level,male,Yes,0.16408,135,25064,0.16361,0.16456
2019,Post-secondary Non-tertiary Level,male,No,0.83592,694,25064,0.83544,0.83639
2019,Post-secondary Non-tertiary Level,female,Yes,0.15634,199,25064,0.15595,0.15674
2019,Post-secondary Non-tertiary Level,female,No,0.84366,1145,25064,0.84326,0.84405
2019,First Stage of Tertiary Education,male,Yes,0.09481,100,25064,0.09447,0.09515
2019,First Stage of Tertiary Education,male,No,0.90519,981,25064,0.90485,0.90553
2019,First Stage of Tertiary Education,female,Yes,0.05003,38,25064,0.04969,0.05038
2019,First Stage of Tertiary Education,female,No,0.94997,546,25064,0.94962,0.95031
2019,Second Stage of Tertiary Education,male,Yes,0.14737,555,25064,0.14713,0.14760
2019,Second Stage of Tertiary Education,male,No,0.85263,3105,25064,0.85240,0.85287
2019,Second Stage of Tertiary Education,female,Yes,0.15982,494,25064,0.15956,0.16009
2019,Second Stage of Tertiary Education,female,No,0.84018,2847,25064,0.83991,0.84044
