year,pgisced97,quintil_oecd,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,1st Quintile,No,0.74016,82,82,0.64465,0.83566
2009,No answer / don't know,2nd Quintile,No,0.76191,46,46,0.63746,0.88635
2009,No answer / don't know,3rd Quintile,No,0.67716,36,36,0.52226,0.83206
2009,No answer / don't know,4th Quintile,No,0.85833,46,46,0.75644,0.96022
2009,No answer / don't know,5th Quintile,No,0.70773,36,36,0.55705,0.85841
2009,Pre-primary Level,1st Quintile,No,0.74619,43,43,0.61457,0.87780
2009,Pre-primary Level,2nd Quintile,No,0.78099,31,31,0.63300,0.92899
2009,Pre-primary Level,3rd Quintile,No,0.71654,44,44,0.58183,0.85125
2009,Pre-primary Level,4th Quintile,No,0.73337,48,48,0.60695,0.85979
2009,Pre-primary Level,5th Quintile,Yes,0.35621,34,77,0.24855,0.46388
2009,Pre-primary Level,5th Quintile,No,0.64379,43,77,0.53612,0.75145
2009,Primary Level,1st Quintile,No,0.70804,70,70,0.60075,0.81532
2009,Primary Level,2nd Quintile,No,0.95752,38,38,0.89254,1.02251
2009,Lower Secondary Level,1st Quintile,Yes,0.14410,75,591,0.11577,0.17244
2009,Lower Secondary Level,1st Quintile,No,0.85590,516,591,0.82756,0.88423
2009,Lower Secondary Level,2nd Quintile,Yes,0.11719,50,459,0.08773,0.14665
2009,Lower Secondary Level,2nd Quintile,No,0.88281,409,459,0.85335,0.91227
2009,Lower Secondary Level,3rd Quintile,Yes,0.11722,49,360,0.08395,0.15050
2009,Lower Secondary Level,3rd Quintile,No,0.88278,311,360,0.84950,0.91605
2009,Lower Secondary Level,4th Quintile,Yes,0.12218,31,246,0.08117,0.16319
2009,Lower Secondary Level,4th Quintile,No,0.87782,215,246,0.83681,0.91883
2009,Lower Secondary Level,5th Quintile,No,0.84483,106,106,0.77557,0.91408
2009,Upper Secondary Level,1st Quintile,Yes,0.15684,197,1556,0.13877,0.17492
2009,Upper Secondary Level,1st Quintile,No,0.84316,1359,1556,0.82508,0.86123
2009,Upper Secondary Level,2nd Quintile,Yes,0.11425,185,1875,0.09985,0.12866
2009,Upper Secondary Level,2nd Quintile,No,0.88575,1690,1875,0.87134,0.90015
2009,Upper Secondary Level,3rd Quintile,Yes,0.11047,170,1897,0.09636,0.12458
2009,Upper Secondary Level,3rd Quintile,No,0.88953,1727,1897,0.87542,0.90364
2009,Upper Secondary Level,4th Quintile,Yes,0.11395,203,1982,0.09996,0.12794
2009,Upper Secondary Level,4th Quintile,No,0.88605,1779,1982,0.87206,0.90004
2009,Upper Secondary Level,5th Quintile,Yes,0.12564,203,1729,0.11002,0.14127
2009,Upper Secondary Level,5th Quintile,No,0.87436,1526,1729,0.85873,0.88998
2009,Post-secondary Non-tertiary Level,1st Quintile,No,0.80074,93,93,0.71912,0.88237
2009,Post-secondary Non-tertiary Level,2nd Quintile,No,0.83734,128,128,0.77316,0.90153
2009,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.20868,31,194,0.15135,0.26602
2009,Post-secondary Non-tertiary Level,3rd Quintile,No,0.79132,163,194,0.73398,0.84865
2009,Post-secondary Non-tertiary Level,4th Quintile,No,0.87183,199,199,0.82526,0.91839
2009,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.13620,43,309,0.09789,0.17451
2009,Post-secondary Non-tertiary Level,5th Quintile,No,0.86380,266,309,0.82549,0.90211
2009,First Stage of Tertiary Education,1st Quintile,No,0.90531,110,110,0.85034,0.96028
2009,First Stage of Tertiary Education,2nd Quintile,No,0.91692,193,193,0.87787,0.95596
2009,First Stage of Tertiary Education,3rd Quintile,No,0.90631,262,262,0.87095,0.94166
2009,First Stage of Tertiary Education,4th Quintile,Yes,0.10415,32,345,0.07187,0.13643
2009,First Stage of Tertiary Education,4th Quintile,No,0.89585,313,345,0.86357,0.92813
2009,First Stage of Tertiary Education,5th Quintile,Yes,0.13890,40,369,0.10357,0.17424
2009,First Stage of Tertiary Education,5th Quintile,No,0.86110,329,369,0.82576,0.89643
2009,Second Stage of Tertiary Education,1st Quintile,Yes,0.23571,53,217,0.17910,0.29231
2009,Second Stage of Tertiary Education,1st Quintile,No,0.76429,164,217,0.70769,0.82090
2009,Second Stage of Tertiary Education,2nd Quintile,Yes,0.17906,48,318,0.13686,0.22127
2009,Second Stage of Tertiary Education,2nd Quintile,No,0.82094,270,318,0.77873,0.86314
2009,Second Stage of Tertiary Education,3rd Quintile,Yes,0.14398,55,546,0.11450,0.17345
2009,Second Stage of Tertiary Education,3rd Quintile,No,0.85602,491,546,0.82655,0.88550
2009,Second Stage of Tertiary Education,4th Quintile,Yes,0.16617,102,816,0.14061,0.19172
2009,Second Stage of Tertiary Education,4th Quintile,No,0.83383,714,816,0.80828,0.85939
2009,Second Stage of Tertiary Education,5th Quintile,Yes,0.17224,329,2136,0.15622,0.18825
2009,Second Stage of Tertiary Education,5th Quintile,No,0.82776,1807,2136,0.81175,0.84378
2014,No answer / don't know,1st Quintile,Yes,0.19272,47,267,0.14532,0.24012
2014,No answer / don't know,1st Quintile,No,0.80728,220,267,0.75988,0.85468
2014,No answer / don't know,2nd Quintile,No,0.80071,82,82,0.71371,0.88770
2014,No answer / don't know,3rd Quintile,No,0.72607,70,70,0.62084,0.83130
2014,No answer / don't know,4th Quintile,No,0.79252,52,52,0.68123,0.90381
2014,No answer / don't know,5th Quintile,No,0.82992,47,47,0.72135,0.93850
2014,Pre-primary Level,1st Quintile,Yes,0.37879,52,148,0.30037,0.45720
2014,Pre-primary Level,1st Quintile,No,0.62121,96,148,0.54280,0.69963
2014,Pre-primary Level,2nd Quintile,No,0.55555,69,69,0.43745,0.67366
2014,Pre-primary Level,3rd Quintile,No,0.61627,40,40,0.46365,0.76890
2014,Pre-primary Level,4th Quintile,Yes,0.52813,33,65,0.40583,0.65044
2014,Pre-primary Level,4th Quintile,No,0.47187,32,65,0.34956,0.59417
2014,Pre-primary Level,5th Quintile,Yes,0.41353,31,72,0.29898,0.52809
2014,Pre-primary Level,5th Quintile,No,0.58647,41,72,0.47191,0.70102
2014,Primary Level,1st Quintile,Yes,0.16419,49,335,0.12446,0.20392
2014,Primary Level,1st Quintile,No,0.83581,286,335,0.79608,0.87554
2014,Primary Level,2nd Quintile,No,0.81583,80,80,0.73036,0.90131
2014,Primary Level,3rd Quintile,No,0.93612,37,37,0.85623,1.01600
2014,Lower Secondary Level,1st Quintile,Yes,0.14598,152,1261,0.12648,0.16547
2014,Lower Secondary Level,1st Quintile,No,0.85402,1109,1261,0.83453,0.87352
2014,Lower Secondary Level,2nd Quintile,Yes,0.06377,73,825,0.04709,0.08046
2014,Lower Secondary Level,2nd Quintile,No,0.93623,752,825,0.91954,0.95291
2014,Lower Secondary Level,3rd Quintile,Yes,0.13534,74,548,0.10667,0.16401
2014,Lower Secondary Level,3rd Quintile,No,0.86466,474,548,0.83599,0.89333
2014,Lower Secondary Level,4th Quintile,Yes,0.14966,50,334,0.11134,0.18798
2014,Lower Secondary Level,4th Quintile,No,0.85034,284,334,0.81202,0.88866
2014,Lower Secondary Level,5th Quintile,No,0.86264,106,106,0.79680,0.92848
2014,Upper Secondary Level,1st Quintile,Yes,0.12903,334,2757,0.11651,0.14154
2014,Upper Secondary Level,1st Quintile,No,0.87097,2423,2757,0.85846,0.88349
2014,Upper Secondary Level,2nd Quintile,Yes,0.07881,286,3013,0.06919,0.08843
2014,Upper Secondary Level,2nd Quintile,No,0.92119,2727,3013,0.91157,0.93081
2014,Upper Secondary Level,3rd Quintile,Yes,0.09847,267,2639,0.08710,0.10984
2014,Upper Secondary Level,3rd Quintile,No,0.90153,2372,2639,0.89016,0.91290
2014,Upper Secondary Level,4th Quintile,Yes,0.10557,241,2415,0.09331,0.11783
2014,Upper Secondary Level,4th Quintile,No,0.89443,2174,2415,0.88217,0.90669
2014,Upper Secondary Level,5th Quintile,Yes,0.12314,205,1659,0.10733,0.13896
2014,Upper Secondary Level,5th Quintile,No,0.87686,1454,1659,0.86104,0.89267
2014,Post-secondary Non-tertiary Level,1st Quintile,Yes,0.21685,65,362,0.17434,0.25937
2014,Post-secondary Non-tertiary Level,1st Quintile,No,0.78315,297,362,0.74063,0.82566
2014,Post-secondary Non-tertiary Level,2nd Quintile,Yes,0.15939,55,412,0.12400,0.19478
2014,Post-secondary Non-tertiary Level,2nd Quintile,No,0.84061,357,412,0.80522,0.87600
2014,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.12186,48,423,0.09065,0.15308
2014,Post-secondary Non-tertiary Level,3rd Quintile,No,0.87814,375,423,0.84692,0.90935
2014,Post-secondary Non-tertiary Level,4th Quintile,Yes,0.11805,45,458,0.08846,0.14763
2014,Post-secondary Non-tertiary Level,4th Quintile,No,0.88195,413,458,0.85237,0.91154
2014,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.12324,38,383,0.09028,0.15621
2014,Post-secondary Non-tertiary Level,5th Quintile,No,0.87676,345,383,0.84379,0.90972
2014,First Stage of Tertiary Education,1st Quintile,No,0.92164,114,114,0.87209,0.97119
2014,First Stage of Tertiary Education,2nd Quintile,No,0.93356,259,259,0.90317,0.96395
