,Unnamed: 0,year,regtyp,sex,plj0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Urban regions,male,Yes,0.17143,870,17975,0.1582,0.18274
1,1,2009,Urban regions,male,No,0.82857,4657,17975,0.80869,0.84989
2,2,2009,Urban regions,female,Yes,0.14082,796,17975,0.13244,0.14939
3,3,2009,Urban regions,female,No,0.85918,5335,17975,0.84069,0.87908
4,4,2009,Rural regions,male,Yes,0.12869,332,17975,0.11606,0.14095
5,5,2009,Rural regions,male,No,0.87131,2725,17975,0.83713,0.90579
6,6,2009,Rural regions,female,Yes,0.08595,250,17975,0.0747,0.09496
7,7,2009,Rural regions,female,No,0.91405,3010,17975,0.88807,0.94762
8,8,2014,Urban regions,male,Yes,0.15407,1161,26966,0.14313,0.1645
9,9,2014,Urban regions,male,No,0.84593,6862,26966,0.82438,0.86594
10,10,2014,Urban regions,female,Yes,0.12286,1228,26966,0.11301,0.13273
11,11,2014,Urban regions,female,No,0.87714,8311,26966,0.85541,0.90244
12,12,2014,Rural regions,male,Yes,0.10449,476,26966,0.09415,0.11728
13,13,2014,Rural regions,male,No,0.89551,3878,26966,0.86131,0.92601
14,14,2014,Rural regions,female,Yes,0.09035,465,26966,0.08175,0.09946
15,15,2014,Rural regions,female,No,0.90965,4585,26966,0.87853,0.94171
16,16,2019,Urban regions,male,Yes,0.15122,1244,25082,0.14164,0.16265
17,17,2019,Urban regions,male,No,0.84878,6483,25082,0.82241,0.87194
18,18,2019,Urban regions,female,Yes,0.13187,1208,25082,0.12173,0.14237
19,19,2019,Urban regions,female,No,0.86813,7371,25082,0.84632,0.89501
20,20,2019,Rural regions,male,Yes,0.10685,465,25082,0.09281,0.12086
21,21,2019,Rural regions,male,No,0.89315,3743,25082,0.85679,0.92987
22,22,2019,Rural regions,female,Yes,0.0777,409,25082,0.06948,0.08603
23,23,2019,Rural regions,female,No,0.9223,4159,25082,0.88851,0.94739
