year,quintil_oecd,regtyp,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Urban regions,Yes,0.16021,323,1796,0.14324,0.17718
2009,1st Quintile,Urban regions,No,0.64066,1473,1796,0.61846,0.66285
2009,1st Quintile,Rural regions,Yes,0.08849,97,1061,0.07139,0.10559
2009,1st Quintile,Rural regions,No,0.72125,964,1061,0.69426,0.74824
2009,2nd Quintile,Urban regions,Yes,0.12249,265,1892,0.10772,0.13727
2009,2nd Quintile,Urban regions,No,0.68352,1627,1892,0.66256,0.70448
2009,2nd Quintile,Rural regions,Yes,0.05684,84,1262,0.04406,0.06962
2009,2nd Quintile,Rural regions,No,0.76096,1178,1262,0.73742,0.78450
2009,3rd Quintile,Urban regions,Yes,0.11046,245,2020,0.09679,0.12413
2009,3rd Quintile,Urban regions,No,0.72837,1775,2020,0.70897,0.74777
2009,3rd Quintile,Rural regions,Yes,0.09710,113,1379,0.08147,0.11273
2009,3rd Quintile,Rural regions,No,0.74194,1266,1379,0.71884,0.76505
2009,4th Quintile,Urban regions,Yes,0.11753,309,2450,0.10477,0.13028
2009,4th Quintile,Urban regions,No,0.73053,2141,2450,0.71296,0.74810
2009,4th Quintile,Rural regions,Yes,0.09024,131,1314,0.07474,0.10573
2009,4th Quintile,Rural regions,No,0.77772,1183,1314,0.75523,0.80021
2009,5th Quintile,Urban regions,Yes,0.14104,530,3535,0.12956,0.15251
2009,5th Quintile,Urban regions,No,0.75431,3005,3535,0.74012,0.76851
2009,5th Quintile,Rural regions,Yes,0.12344,150,1261,0.10528,0.14161
2009,5th Quintile,Rural regions,No,0.77267,1111,1261,0.74953,0.79582
2014,1st Quintile,Urban regions,Yes,0.13895,583,3691,0.12779,0.15011
2014,1st Quintile,Urban regions,No,0.64602,3108,3691,0.63059,0.66145
2014,1st Quintile,Rural regions,Yes,0.09199,249,2101,0.07963,0.10436
2014,1st Quintile,Rural regions,No,0.70291,1852,2101,0.68337,0.72246
2014,2nd Quintile,Urban regions,Yes,0.08674,420,3365,0.07723,0.09625
2014,2nd Quintile,Urban regions,No,0.71651,2945,3365,0.70128,0.73174
2014,2nd Quintile,Rural regions,Yes,0.05968,172,2127,0.04961,0.06975
2014,2nd Quintile,Rural regions,No,0.77723,1955,2127,0.75954,0.79492
2014,3rd Quintile,Urban regions,Yes,0.10157,409,3177,0.09106,0.11207
2014,3rd Quintile,Urban regions,No,0.72796,2768,3177,0.71249,0.74344
2014,3rd Quintile,Rural regions,Yes,0.08672,192,1970,0.07429,0.09915
2014,3rd Quintile,Rural regions,No,0.76460,1778,1970,0.74586,0.78334
2014,4th Quintile,Urban regions,Yes,0.11245,430,3351,0.10175,0.12314
2014,4th Quintile,Urban regions,No,0.74099,2921,3351,0.72616,0.75583
2014,4th Quintile,Rural regions,Yes,0.08412,177,1796,0.07128,0.09696
2014,4th Quintile,Rural regions,No,0.78304,1619,1796,0.76398,0.80211
2014,5th Quintile,Urban regions,Yes,0.13116,551,4009,0.12071,0.14161
2014,5th Quintile,Urban regions,No,0.75836,3458,4009,0.74511,0.77162
2014,5th Quintile,Rural regions,Yes,0.09550,146,1372,0.07994,0.11106
2014,5th Quintile,Rural regions,No,0.80160,1226,1372,0.78050,0.82271
2019,1st Quintile,Urban regions,Yes,0.12643,495,2770,0.11405,0.13881
2019,1st Quintile,Urban regions,No,0.61811,2275,2770,0.60002,0.63621
2019,1st Quintile,Rural regions,Yes,0.07880,187,1653,0.06581,0.09180
2019,1st Quintile,Rural regions,No,0.70130,1466,1653,0.67923,0.72337
2019,2nd Quintile,Urban regions,Yes,0.12338,411,2859,0.11132,0.13544
2019,2nd Quintile,Urban regions,No,0.70024,2448,2859,0.68345,0.71704
2019,2nd Quintile,Rural regions,Yes,0.06205,156,1898,0.05120,0.07291
2019,2nd Quintile,Rural regions,No,0.74438,1742,1898,0.72475,0.76401
2019,3rd Quintile,Urban regions,Yes,0.11032,375,2744,0.09859,0.12204
2019,3rd Quintile,Urban regions,No,0.72568,2369,2744,0.70899,0.74238
2019,3rd Quintile,Rural regions,Yes,0.08754,153,1668,0.07397,0.10110
2019,3rd Quintile,Rural regions,No,0.75151,1515,1668,0.73076,0.77225
2019,4th Quintile,Urban regions,Yes,0.09836,374,2757,0.08724,0.10948
2019,4th Quintile,Urban regions,No,0.74510,2383,2757,0.72883,0.76137
2019,4th Quintile,Rural regions,Yes,0.07712,139,1499,0.06361,0.09063
2019,4th Quintile,Rural regions,No,0.79643,1360,1499,0.77604,0.81682
2019,5th Quintile,Urban regions,Yes,0.12723,492,3507,0.11620,0.13826
2019,5th Quintile,Urban regions,No,0.77217,3015,3507,0.75829,0.78606
2019,5th Quintile,Rural regions,Yes,0.08275,135,1302,0.06778,0.09773
2019,5th Quintile,Rural regions,No,0.80694,1167,1302,0.78549,0.82839
