year,age_gr,sex,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,male,Yes,0.26421,371,1393,0.24104,0.28737
2009,17-29 y.,male,No,0.73579,1022,1393,0.71263,0.75896
2009,17-29 y.,female,Yes,0.28099,405,1453,0.25787,0.30411
2009,17-29 y.,female,No,0.71901,1048,1453,0.69589,0.74213
2009,30-45 y.,male,Yes,0.20155,411,2203,0.18479,0.21831
2009,30-45 y.,male,No,0.79845,1792,2203,0.78169,0.81521
2009,30-45 y.,female,Yes,0.16516,325,2462,0.15049,0.17984
2009,30-45 y.,female,No,0.83484,2137,2462,0.82016,0.84951
2009,46-65 y.,male,Yes,0.14140,351,3009,0.12895,0.15385
2009,46-65 y.,male,No,0.85860,2658,3009,0.84615,0.87105
2009,46-65 y.,female,Yes,0.09286,270,3300,0.08295,0.10276
2009,46-65 y.,female,No,0.90714,3030,3300,0.89724,0.91705
2009,66 and older,male,Yes,0.03486,69,1979,0.02677,0.04294
2009,66 and older,male,No,0.96514,1910,1979,0.95706,0.97323
2009,66 and older,female,Yes,0.01912,46,2176,0.01336,0.02487
2009,66 and older,female,No,0.98088,2130,2176,0.97513,0.98664
2014,17-29 y.,male,Yes,0.25814,508,2044,0.23916,0.27711
2014,17-29 y.,male,No,0.74186,1536,2044,0.72289,0.76084
2014,17-29 y.,female,Yes,0.26594,596,2238,0.24763,0.28425
2014,17-29 y.,female,No,0.73406,1642,2238,0.71575,0.75237
2014,30-45 y.,male,Yes,0.16985,581,3584,0.15755,0.18214
2014,30-45 y.,male,No,0.83015,3003,3584,0.81786,0.84245
2014,30-45 y.,female,Yes,0.14006,592,4899,0.13034,0.14978
2014,30-45 y.,female,No,0.85994,4307,4899,0.85022,0.86966
2014,46-65 y.,male,Yes,0.11362,449,4336,0.10417,0.12306
2014,46-65 y.,male,No,0.88638,3887,4336,0.87694,0.89583
2014,46-65 y.,female,Yes,0.09656,448,4942,0.08832,0.10480
2014,46-65 y.,female,No,0.90344,4494,4942,0.89520,0.91168
2014,66 and older,male,Yes,0.04723,99,2413,0.03876,0.05569
2014,66 and older,male,No,0.95277,2314,2413,0.94431,0.96124
2014,66 and older,female,Yes,0.02145,57,2510,0.01578,0.02712
2014,66 and older,female,No,0.97855,2453,2510,0.97288,0.98422
2019,17-29 y.,male,Yes,0.28023,537,1849,0.25976,0.30071
2019,17-29 y.,male,No,0.71977,1312,1849,0.69929,0.74024
2019,17-29 y.,female,Yes,0.27998,574,1963,0.26011,0.29985
2019,17-29 y.,female,No,0.72002,1389,1963,0.70015,0.73989
2019,30-45 y.,male,Yes,0.17895,494,2699,0.16448,0.19341
2019,30-45 y.,male,No,0.82105,2205,2699,0.80659,0.83552
2019,30-45 y.,female,Yes,0.16177,528,3573,0.14970,0.17385
2019,30-45 y.,female,No,0.83823,3045,3573,0.82615,0.85030
2019,46-65 y.,male,Yes,0.11407,650,5069,0.10532,0.12283
2019,46-65 y.,male,No,0.88593,4419,5069,0.87717,0.89468
2019,46-65 y.,female,Yes,0.08678,489,5312,0.07921,0.09436
2019,46-65 y.,female,No,0.91322,4823,5312,0.90564,0.92079
2019,66 and older,male,Yes,0.04358,111,2614,0.03575,0.05140
2019,66 and older,male,No,0.95642,2503,2614,0.94860,0.96425
2019,66 and older,female,Yes,0.03061,87,2551,0.02393,0.03730
2019,66 and older,female,No,0.96939,2464,2551,0.96270,0.97607
