year,bula_h,sex,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,male,Yes,0.15023,32,248,0.10567,0.19478
2009,Schleswig-Holstein,male,No,0.84977,216,248,0.80522,0.89433
2009,Schleswig-Holstein,female,No,0.89725,239,239,0.85867,0.93582
2009,Hamburg,male,No,0.74886,100,100,0.66343,0.83428
2009,Hamburg,female,No,0.87335,122,122,0.81409,0.93261
2009,Lower Saxony,male,Yes,0.13755,111,785,0.11344,0.16166
2009,Lower Saxony,male,No,0.86245,674,785,0.83834,0.88656
2009,Lower Saxony,female,Yes,0.08926,84,841,0.06998,0.10854
2009,Lower Saxony,female,No,0.91074,757,841,0.89146,0.93002
2009,Bremen,male,No,0.88063,47,47,0.78694,0.97433
2009,Bremen,female,No,0.88388,54,54,0.79762,0.97013
2009,North Rhine-Westphalia,male,Yes,0.12827,217,1733,0.11253,0.14402
2009,North Rhine-Westphalia,male,No,0.87173,1516,1733,0.85598,0.88747
2009,North Rhine-Westphalia,female,Yes,0.12183,216,1884,0.10705,0.13660
2009,North Rhine-Westphalia,female,No,0.87817,1668,1884,0.86340,0.89295
2009,Hesse,male,Yes,0.20573,110,582,0.17286,0.23860
2009,Hesse,male,No,0.79427,472,582,0.76140,0.82714
2009,Hesse,female,Yes,0.14409,88,630,0.11664,0.17153
2009,Hesse,female,No,0.85591,542,630,0.82847,0.88336
2009,"Rhineland-Palatinate, Saarland",male,Yes,0.16443,63,462,0.13060,0.19827
2009,"Rhineland-Palatinate, Saarland",male,No,0.83557,399,462,0.80173,0.86940
2009,"Rhineland-Palatinate, Saarland",female,Yes,0.12084,60,559,0.09380,0.14789
2009,"Rhineland-Palatinate, Saarland",female,No,0.87916,499,559,0.85211,0.90620
2009,Baden-Wuerttemberg,male,Yes,0.18952,178,1006,0.16529,0.21376
2009,Baden-Wuerttemberg,male,No,0.81048,828,1006,0.78624,0.83471
2009,Baden-Wuerttemberg,female,Yes,0.13479,150,1098,0.11458,0.15500
2009,Baden-Wuerttemberg,female,No,0.86521,948,1098,0.84500,0.88542
2009,Bavaria,male,Yes,0.19063,197,1233,0.16869,0.21256
2009,Bavaria,male,No,0.80937,1036,1233,0.78744,0.83131
2009,Bavaria,female,Yes,0.16046,194,1368,0.14100,0.17992
