year,migback,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.12023,1729,15615,0.11513,0.12533
2009,No migration background,No,0.87977,13886,15615,0.87467,0.88487
2009,Direct migration background,Yes,0.21478,335,1653,0.19498,0.23458
2009,Direct migration background,No,0.78522,1318,1653,0.76542,0.80502
2009,Indirect migration background,Yes,0.28450,184,707,0.25122,0.31778
2009,Indirect migration background,No,0.71550,523,707,0.68222,0.74878
2014,No migration background,Yes,0.10537,2124,20024,0.10111,0.10962
2014,No migration background,No,0.89463,17900,20024,0.89038,0.89889
2014,Direct migration background,Yes,0.18547,812,5248,0.17496,0.19599
2014,Direct migration background,No,0.81453,4436,5248,0.80401,0.82504
2014,Indirect migration background,Yes,0.26797,394,1694,0.24687,0.28907
2014,Indirect migration background,No,0.73203,1300,1694,0.71093,0.75313
2019,No migration background,Yes,0.11127,2383,20072,0.10692,0.11562
2019,No migration background,No,0.88873,17689,20072,0.88438,0.89308
2019,Direct migration background,Yes,0.18683,705,4002,0.17475,0.19891
2019,Direct migration background,No,0.81317,3297,4002,0.80109,0.82525
2019,Indirect migration background,Yes,0.21590,385,1562,0.19549,0.23631
2019,Indirect migration background,No,0.78410,1177,1562,0.76369,0.80451
