year,age_gr,sampreg,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,West,Yes,0.28521,629,2123,0.26600,0.30442
2009,17-29 y.,West,No,0.71479,1494,2123,0.69558,0.73400
2009,17-29 y.,East,Yes,0.21980,147,723,0.18959,0.25000
2009,17-29 y.,East,No,0.78020,576,723,0.75000,0.81041
2009,30-45 y.,West,Yes,0.18906,602,3600,0.17627,0.20185
2009,30-45 y.,West,No,0.81094,2998,3600,0.79815,0.82373
2009,30-45 y.,East,Yes,0.15845,134,1065,0.13650,0.18039
2009,30-45 y.,East,No,0.84155,931,1065,0.81961,0.86350
2009,46-65 y.,West,Yes,0.12940,529,4675,0.11978,0.13902
2009,46-65 y.,West,No,0.87060,4146,4675,0.86098,0.88022
2009,46-65 y.,East,Yes,0.06401,92,1634,0.05214,0.07588
2009,46-65 y.,East,No,0.93599,1542,1634,0.92412,0.94786
2009,66 and older,West,Yes,0.03065,106,3039,0.02452,0.03677
2009,66 and older,West,No,0.96935,2933,3039,0.96323,0.97548
2009,66 and older,East,No,0.99248,1107,1107,0.98739,0.99757
2014,17-29 y.,West,Yes,0.26680,961,3575,0.25230,0.28130
2014,17-29 y.,West,No,0.73320,2614,3575,0.71870,0.74770
2014,17-29 y.,East,Yes,0.23475,143,707,0.20349,0.26602
2014,17-29 y.,East,No,0.76525,564,707,0.73398,0.79651
2014,30-45 y.,West,Yes,0.15784,993,6862,0.14921,0.16646
2014,30-45 y.,West,No,0.84216,5869,6862,0.83354,0.85079
2014,30-45 y.,East,Yes,0.14065,180,1621,0.12372,0.15758
2014,30-45 y.,East,No,0.85935,1441,1621,0.84242,0.87628
2014,46-65 y.,West,Yes,0.11747,789,7259,0.11006,0.12487
2014,46-65 y.,West,No,0.88253,6470,7259,0.87513,0.88994
2014,46-65 y.,East,Yes,0.05365,108,2019,0.04382,0.06348
2014,46-65 y.,East,No,0.94635,1911,2019,0.93652,0.95618
2014,66 and older,West,Yes,0.03794,143,3710,0.03179,0.04409
2014,66 and older,West,No,0.96206,3567,3710,0.95591,0.96821
2014,66 and older,East,No,0.99011,1200,1200,0.98451,0.99571
2019,17-29 y.,West,Yes,0.28947,946,3170,0.27368,0.30526
2019,17-29 y.,West,No,0.71053,2224,3170,0.69474,0.72632
2019,17-29 y.,East,Yes,0.22293,161,634,0.19051,0.25536
2019,17-29 y.,East,No,0.77707,473,634,0.74464,0.80949
2019,30-45 y.,West,Yes,0.17953,844,4918,0.16881,0.19026
2019,30-45 y.,West,No,0.82047,4074,4918,0.80974,0.83119
2019,30-45 y.,East,Yes,0.12597,171,1329,0.10812,0.14381
2019,30-45 y.,East,No,0.87403,1158,1329,0.85619,0.89188
2019,46-65 y.,West,Yes,0.11005,969,8086,0.10323,0.11687
2019,46-65 y.,West,No,0.88995,7117,8086,0.88313,0.89677
2019,46-65 y.,East,Yes,0.05555,164,2268,0.04612,0.06498
2019,46-65 y.,East,No,0.94445,2104,2268,0.93502,0.95388
2019,66 and older,West,Yes,0.04166,168,3862,0.03535,0.04796
2019,66 and older,West,No,0.95834,3694,3862,0.95204,0.96465
2019,66 and older,East,No,0.98878,1266,1266,0.98297,0.99458
