year,quintil_oecd,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Yes,0.16990,420,2857,0.15613,0.18368
2009,1st Quintile,No,0.83010,2437,2857,0.81632,0.84387
2009,2nd Quintile,Yes,0.12440,349,3154,0.11288,0.13592
2009,2nd Quintile,No,0.87560,2805,3154,0.86408,0.88712
2009,3rd Quintile,Yes,0.12587,358,3399,0.11472,0.13703
2009,3rd Quintile,No,0.87413,3041,3399,0.86297,0.88528
2009,4th Quintile,Yes,0.12701,440,3764,0.11637,0.13764
2009,4th Quintile,No,0.87299,3324,3764,0.86236,0.88363
2009,5th Quintile,Yes,0.15256,680,4796,0.14239,0.16274
2009,5th Quintile,No,0.84744,4116,4796,0.83726,0.85761
2014,1st Quintile,Yes,0.15661,832,5792,0.14725,0.16597
2014,1st Quintile,No,0.84339,4960,5792,0.83403,0.85275
2014,2nd Quintile,Yes,0.09430,592,5492,0.08657,0.10203
2014,2nd Quintile,No,0.90570,4900,5492,0.89797,0.91343
2014,3rd Quintile,Yes,0.11494,601,5147,0.10622,0.12365
2014,3rd Quintile,No,0.88506,4546,5147,0.87635,0.89378
2014,4th Quintile,Yes,0.12038,607,5147,0.11149,0.12927
2014,4th Quintile,No,0.87962,4540,5147,0.87073,0.88851
2014,5th Quintile,Yes,0.13797,697,5381,0.12876,0.14719
2014,5th Quintile,No,0.86203,4684,5381,0.85281,0.87124
2019,1st Quintile,Yes,0.14812,682,4423,0.13765,0.15859
2019,1st Quintile,No,0.85188,3741,4423,0.84141,0.86235
2019,2nd Quintile,Yes,0.12394,567,4757,0.11457,0.13330
2019,2nd Quintile,No,0.87606,4190,4757,0.86670,0.88543
2019,3rd Quintile,Yes,0.12282,528,4412,0.11314,0.13251
2019,3rd Quintile,No,0.87718,3884,4412,0.86749,0.88686
2019,4th Quintile,Yes,0.10724,513,4256,0.09795,0.11654
2019,4th Quintile,No,0.89276,3743,4256,0.88346,0.90205
2019,5th Quintile,Yes,0.12997,627,4809,0.12047,0.13948
2019,5th Quintile,No,0.87003,4182,4809,0.86052,0.87953
