year,migback,sampreg,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,West,Yes,0.12636,1358,11192,0.12020,0.13251
2009,No migration background,West,No,0.87364,9834,11192,0.86749,0.87980
2009,No migration background,East,Yes,0.09860,371,4423,0.08982,0.10739
2009,No migration background,East,No,0.90140,4052,4423,0.89261,0.91018
2009,Direct migration background,West,Yes,0.21825,329,1578,0.19786,0.23864
2009,Direct migration background,West,No,0.78175,1249,1578,0.76136,0.80214
2009,Direct migration background,East,No,0.89258,69,69,0.81898,0.96618
2009,Indirect migration background,West,Yes,0.28701,179,667,0.25265,0.32136
2009,Indirect migration background,West,No,0.71299,488,667,0.67864,0.74735
2009,Indirect migration background,East,No,0.78528,35,35,0.64726,0.92331
2014,No migration background,West,Yes,0.11103,1752,14920,0.10599,0.11607
2014,No migration background,West,No,0.88897,13168,14920,0.88393,0.89401
2014,No migration background,East,Yes,0.08398,372,5104,0.07637,0.09159
2014,No migration background,East,No,0.91602,4732,5104,0.90841,0.92363
2014,Direct migration background,West,Yes,0.18734,756,4881,0.17639,0.19828
2014,Direct migration background,West,No,0.81266,4125,4881,0.80172,0.82361
2014,Direct migration background,East,Yes,0.14868,56,367,0.11223,0.18513
2014,Direct migration background,East,No,0.85132,311,367,0.81487,0.88777
2014,Indirect migration background,West,Yes,0.27014,378,1605,0.24841,0.29187
2014,Indirect migration background,West,No,0.72986,1227,1605,0.70813,0.75159
2014,Indirect migration background,East,No,0.78995,73,73,0.69585,0.88404
2019,No migration background,Does not apply,No,0.69710,48,48,0.56573,0.82847
2019,No migration background,West,Yes,0.11932,1919,14908,0.11412,0.12453
2019,No migration background,West,No,0.88068,12989,14908,0.87547,0.88588
2019,No migration background,East,Yes,0.07863,445,5097,0.07124,0.08602
2019,No migration background,East,No,0.92137,4652,5097,0.91398,0.92876
2019,Direct migration background,West,Yes,0.18848,653,3687,0.17586,0.20111
2019,Direct migration background,West,No,0.81152,3034,3687,0.79889,0.82414
2019,Direct migration background,East,Yes,0.15021,50,312,0.11050,0.18991
2019,Direct migration background,East,No,0.84979,262,312,0.81009,0.88950
2019,Indirect migration background,West,Yes,0.22018,355,1441,0.19878,0.24158
2019,Indirect migration background,West,No,0.77982,1086,1441,0.75842,0.80122
2019,Indirect migration background,East,No,0.87528,87,87,0.80544,0.94511
