,Unnamed: 0,year,regtyp,sampreg,plj0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Urban regions,West,Yes,0.15848,1495,17975,0.15141,0.16672
1,1,2009,Urban regions,West,No,0.84152,8630,17975,0.82603,0.85728
2,2,2009,Urban regions,East,Yes,0.13029,171,17975,0.10798,0.152
3,3,2009,Urban regions,East,No,0.86971,1362,17975,0.83061,0.91874
4,4,2009,Rural regions,West,Yes,0.1211,371,17975,0.10891,0.13334
5,5,2009,Rural regions,West,No,0.8789,2941,17975,0.85168,0.90375
6,6,2009,Rural regions,East,Yes,0.08334,211,17975,0.07418,0.09514
7,7,2009,Rural regions,East,No,0.91666,2794,17975,0.88744,0.95479
8,8,2014,Urban regions,West,Yes,0.13907,2186,26966,0.13243,0.14569
9,9,2014,Urban regions,West,No,0.86093,13448,26966,0.84464,0.87792
10,10,2014,Urban regions,East,Yes,0.12707,203,26966,0.10706,0.15013
11,11,2014,Urban regions,East,No,0.87293,1725,26966,0.83146,0.91465
12,12,2014,Rural regions,West,Yes,0.11404,700,26966,0.1039,0.12404
13,13,2014,Rural regions,West,No,0.88596,5072,26966,0.8576,0.91677
14,14,2014,Rural regions,East,Yes,0.06704,241,26966,0.05755,0.07743
15,15,2014,Rural regions,East,No,0.93296,3391,26966,0.90197,0.96266
16,16,2019,Urban regions,West,Yes,0.1443,2225,25082,0.13611,0.15231
17,17,2019,Urban regions,West,No,0.8557,12191,25082,0.83632,0.87556
18,18,2019,Urban regions,East,Yes,0.11045,227,25082,0.09391,0.12834
19,19,2019,Urban regions,East,No,0.88955,1663,25082,0.8436,0.95321
20,20,2019,Rural regions,West,Yes,0.10674,594,25082,0.09564,0.11994
21,21,2019,Rural regions,West,No,0.89326,4622,25082,0.86104,0.92931
22,22,2019,Rural regions,East,Yes,0.06522,280,25082,0.05485,0.07634
23,23,2019,Rural regions,East,No,0.93478,3280,25082,0.89596,0.97613
