year,age_gr,pgisced97,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,No answer / don't know,Yes,0.24430,73,308,0.19624,0.29236
2009,17-29 y.,No answer / don't know,No,0.75570,235,308,0.70764,0.80376
2009,17-29 y.,Pre-primary Level,Yes,0.27121,102,311,0.22172,0.32070
2009,17-29 y.,Pre-primary Level,No,0.72879,209,311,0.67930,0.77828
2009,17-29 y.,Lower Secondary Level,Yes,0.19734,98,473,0.16143,0.23324
2009,17-29 y.,Lower Secondary Level,No,0.80266,375,473,0.76676,0.83857
2009,17-29 y.,Upper Secondary Level,Yes,0.28545,347,1260,0.26050,0.31040
2009,17-29 y.,Upper Secondary Level,No,0.71455,913,1260,0.68960,0.73950
2009,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.34901,55,188,0.28069,0.41733
2009,17-29 y.,Post-secondary Non-tertiary Level,No,0.65099,133,188,0.58267,0.71931
2009,17-29 y.,Second Stage of Tertiary Education,Yes,0.37625,91,246,0.31559,0.43691
2009,17-29 y.,Second Stage of Tertiary Education,No,0.62375,155,246,0.56309,0.68441
2009,30-45 y.,Primary Level,No,0.78082,38,38,0.64752,0.91412
2009,30-45 y.,Lower Secondary Level,Yes,0.28771,58,269,0.23351,0.34191
2009,30-45 y.,Lower Secondary Level,No,0.71229,211,269,0.65809,0.76649
2009,30-45 y.,Upper Secondary Level,Yes,0.16102,304,2325,0.14608,0.17597
2009,30-45 y.,Upper Secondary Level,No,0.83898,2021,2325,0.82403,0.85392
2009,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.13774,59,437,0.10539,0.17009
2009,30-45 y.,Post-secondary Non-tertiary Level,No,0.86226,378,437,0.82991,0.89461
2009,30-45 y.,First Stage of Tertiary Education,Yes,0.16548,56,432,0.13039,0.20056
2009,30-45 y.,First Stage of Tertiary Education,No,0.83452,376,432,0.79944,0.86961
2009,30-45 y.,Second Stage of Tertiary Education,Yes,0.22627,246,1148,0.20206,0.25049
2009,30-45 y.,Second Stage of Tertiary Education,No,0.77373,902,1148,0.74951,0.79794
2009,46-65 y.,Primary Level,No,0.76255,38,38,0.62543,0.89966
2009,46-65 y.,Lower Secondary Level,Yes,0.11101,41,386,0.07963,0.14239
2009,46-65 y.,Lower Secondary Level,No,0.88899,345,386,0.85761,0.92037
2009,46-65 y.,Upper Secondary Level,Yes,0.10299,273,3288,0.09260,0.11338
2009,46-65 y.,Upper Secondary Level,No,0.89701,3015,3288,0.88662,0.90740
2009,46-65 y.,Post-secondary Non-tertiary Level,No,0.88281,246,246,0.84253,0.92308
2009,46-65 y.,First Stage of Tertiary Education,Yes,0.10863,50,543,0.08243,0.13482
2009,46-65 y.,First Stage of Tertiary Education,No,0.89137,493,543,0.86518,0.91757
2009,46-65 y.,Second Stage of Tertiary Education,Yes,0.15101,212,1758,0.13427,0.16776
2009,46-65 y.,Second Stage of Tertiary Education,No,0.84899,1546,1758,0.83224,0.86573
2009,66 and older,Primary Level,No,0.82905,32,32,0.69653,0.96158
2009,66 and older,Lower Secondary Level,No,0.96653,627,627,0.95244,0.98062
2009,66 and older,Upper Secondary Level,Yes,0.01488,34,2168,0.00978,0.01998
2009,66 and older,Upper Secondary Level,No,0.98512,2134,2168,0.98002,0.99022
2009,66 and older,Post-secondary Non-tertiary Level,No,0.96498,92,92,0.92721,1.00275
2009,66 and older,First Stage of Tertiary Education,No,0.98561,308,308,0.97228,0.99893
2009,66 and older,Second Stage of Tertiary Education,Yes,0.04585,38,881,0.03203,0.05967
2009,66 and older,Second Stage of Tertiary Education,No,0.95415,843,881,0.94033,0.96797
2014,17-29 y.,No answer / don't know,Yes,0.24698,108,436,0.20645,0.28751
2014,17-29 y.,No answer / don't know,No,0.75302,328,436,0.71249,0.79355
2014,17-29 y.,Pre-primary Level,Yes,0.42308,171,449,0.37733,0.46883
2014,17-29 y.,Pre-primary Level,No,0.57692,278,449,0.53117,0.62267
2014,17-29 y.,Primary Level,No,0.82890,80,80,0.74585,0.91194
2014,17-29 y.,Lower Secondary Level,Yes,0.21603,170,918,0.18940,0.24267
