year,migback,sex,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,male,Yes,0.11627,933,7486,0.10901,0.12353
2009,No migration background,male,No,0.73101,6553,7486,0.72097,0.74106
2009,No migration background,female,Yes,0.08923,796,8129,0.08303,0.09542
2009,No migration background,female,No,0.76919,7333,8129,0.76002,0.77835
2009,Direct migration background,male,Yes,0.24601,177,758,0.21533,0.27670
2009,Direct migration background,male,No,0.72162,581,758,0.68970,0.75355
2009,Direct migration background,female,Yes,0.17503,158,895,0.15012,0.19994
2009,Direct migration background,female,No,0.79843,737,895,0.77213,0.82473
2009,Indirect migration background,male,Yes,0.14111,92,340,0.10405,0.17816
2009,Indirect migration background,male,No,0.38755,248,340,0.33568,0.43941
2009,Indirect migration background,female,Yes,0.16352,92,367,0.12563,0.20141
2009,Indirect migration background,female,No,0.37785,275,367,0.32817,0.42752
2014,No migration background,male,Yes,0.09816,1038,9209,0.09208,0.10423
2014,No migration background,male,No,0.75336,8171,9209,0.74455,0.76216
2014,No migration background,female,Yes,0.08265,1086,10815,0.07746,0.08784
2014,No migration background,female,No,0.77800,9729,10815,0.77017,0.78584
2014,Direct migration background,male,Yes,0.19720,403,2369,0.18117,0.21322
2014,Direct migration background,male,No,0.76089,1966,2369,0.74371,0.77807
2014,Direct migration background,female,Yes,0.15887,409,2879,0.14552,0.17223
2014,Direct migration background,female,No,0.79683,2470,2879,0.78213,0.81153
2014,Indirect migration background,male,Yes,0.14301,196,799,0.11872,0.16730
2014,Indirect migration background,male,No,0.35226,603,799,0.31912,0.38541
2014,Indirect migration background,female,Yes,0.11877,198,895,0.09756,0.13997
2014,Indirect migration background,female,No,0.36845,697,895,0.33683,0.40007
2019,No migration background,male,Yes,0.10462,1266,9702,0.09853,0.11071
2019,No migration background,male,No,0.74751,8436,9702,0.73887,0.75616
2019,No migration background,female,Yes,0.08624,1114,10364,0.08084,0.09165
2019,No migration background,female,No,0.77625,9250,10364,0.76823,0.78428
2019,Direct migration background,male,Yes,0.17714,331,1792,0.15946,0.19482
2019,Direct migration background,male,No,0.69923,1461,1792,0.67800,0.72047
2019,Direct migration background,female,Yes,0.15839,374,2210,0.14317,0.17362
2019,Direct migration background,female,No,0.75705,1836,2210,0.73916,0.77493
2019,Indirect migration background,male,Yes,0.11113,195,737,0.08842,0.13383
2019,Indirect migration background,male,No,0.38797,542,737,0.35276,0.42317
2019,Indirect migration background,female,Yes,0.10879,190,825,0.08753,0.13005
2019,Indirect migration background,female,No,0.41203,635,825,0.37842,0.44564
