year,pgisced97,sampreg,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,West,Yes,0.26029,62,241,0.20478,0.31581
2009,No answer / don't know,West,No,0.73971,179,241,0.68419,0.79522
2009,No answer / don't know,East,No,0.82394,68,68,0.73275,0.91514
2009,Pre-primary Level,West,Yes,0.25727,85,256,0.20361,0.31092
2009,Pre-primary Level,West,No,0.74273,171,256,0.68908,0.79639
2009,Pre-primary Level,East,No,0.65977,38,38,0.50710,0.81243
2009,Primary Level,West,Yes,0.20772,35,149,0.14236,0.27308
2009,Primary Level,West,No,0.79228,114,149,0.72692,0.85764
2009,Lower Secondary Level,West,Yes,0.13649,202,1518,0.11921,0.15377
2009,Lower Secondary Level,West,No,0.86351,1316,1518,0.84623,0.88079
2009,Lower Secondary Level,East,No,0.92197,242,242,0.88810,0.95583
2009,Upper Secondary Level,West,Yes,0.13103,787,6649,0.12292,0.13914
2009,Upper Secondary Level,West,No,0.86897,5862,6649,0.86086,0.87708
2009,Upper Secondary Level,East,Yes,0.09253,171,2392,0.08091,0.10414
2009,Upper Secondary Level,East,No,0.90747,2221,2392,0.89586,0.91909
2009,Post-secondary Non-tertiary Level,West,Yes,0.15800,121,843,0.13337,0.18264
2009,Post-secondary Non-tertiary Level,West,No,0.84200,722,843,0.81736,0.86663
2009,Post-secondary Non-tertiary Level,East,No,0.80029,127,127,0.73048,0.87009
2009,First Stage of Tertiary Education,West,Yes,0.11174,94,955,0.09175,0.13173
2009,First Stage of Tertiary Education,West,No,0.88826,861,955,0.86827,0.90825
2009,First Stage of Tertiary Education,East,No,0.91343,346,346,0.88376,0.94311
2009,Second Stage of Tertiary Education,West,Yes,0.19515,480,2826,0.18054,0.20977
2009,Second Stage of Tertiary Education,West,No,0.80485,2346,2826,0.79023,0.81946
2009,Second Stage of Tertiary Education,East,Yes,0.09438,107,1207,0.07788,0.11088
2009,Second Stage of Tertiary Education,East,No,0.90562,1100,1207,0.88912,0.92212
2014,No answer / don't know,West,Yes,0.20612,123,514,0.17112,0.24113
2014,No answer / don't know,West,No,0.79388,391,514,0.75887,0.82888
2014,No answer / don't know,East,No,0.80485,81,81,0.71801,0.89170
2014,Pre-primary Level,West,Yes,0.42092,148,395,0.37217,0.46967
2014,Pre-primary Level,West,No,0.57908,247,395,0.53033,0.62783
2014,Pre-primary Level,East,No,0.55308,31,31,0.37517,0.73099
2014,Primary Level,West,Yes,0.15949,67,442,0.12531,0.19366
2014,Primary Level,West,No,0.84051,375,442,0.80634,0.87469
2014,Primary Level,East,No,0.91167,50,50,0.83222,0.99113
2014,Lower Secondary Level,West,Yes,0.12399,331,2716,0.11159,0.13639
2014,Lower Secondary Level,West,No,0.87601,2385,2716,0.86361,0.88841
2014,Lower Secondary Level,East,Yes,0.09769,37,377,0.06768,0.12770
2014,Lower Secondary Level,East,No,0.90231,340,377,0.87230,0.93232
2014,Upper Secondary Level,West,Yes,0.11302,1153,9646,0.10670,0.11934
2014,Upper Secondary Level,West,No,0.88698,8493,9646,0.88066,0.89330
2014,Upper Secondary Level,East,Yes,0.07207,181,2842,0.06256,0.08158
2014,Upper Secondary Level,East,No,0.92793,2661,2842,0.91842,0.93744
2014,Post-secondary Non-tertiary Level,West,Yes,0.14038,217,1744,0.12407,0.15668
2014,Post-secondary Non-tertiary Level,West,No,0.85962,1527,1744,0.84332,0.87593
2014,Post-secondary Non-tertiary Level,East,Yes,0.13300,34,294,0.09412,0.17188
2014,Post-secondary Non-tertiary Level,East,No,0.86700,260,294,0.82812,0.90588
2014,First Stage of Tertiary Education,West,Yes,0.08894,106,1182,0.07271,0.10518
2014,First Stage of Tertiary Education,West,No,0.91106,1076,1182,0.89482,0.92729
2014,First Stage of Tertiary Education,East,No,0.91436,381,381,0.88622,0.94250
2014,Second Stage of Tertiary Education,West,Yes,0.16565,741,4767,0.15510,0.17621
2014,Second Stage of Tertiary Education,West,No,0.83435,4026,4767,0.82379,0.84490
2014,Second Stage of Tertiary Education,East,Yes,0.09805,126,1438,0.08267,0.11343
2014,Second Stage of Tertiary Education,East,No,0.90195,1312,1438,0.88657,0.91733
2019,No answer / don't know,West,Yes,0.19490,102,455,0.15847,0.23134
