year,regtyp,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.13074,1672,11695,0.12463,0.13685
2009,Urban regions,No,0.70849,10023,11695,0.70025,0.71673
2009,Rural regions,Yes,0.08980,576,6280,0.08273,0.09687
2009,Rural regions,No,0.75350,5704,6280,0.74284,0.76416
2014,Urban regions,Yes,0.11503,2393,17596,0.11032,0.11975
2014,Urban regions,No,0.71916,15203,17596,0.71252,0.72580
2014,Rural regions,Yes,0.08243,937,9370,0.07686,0.08800
2014,Rural regions,No,0.76381,8433,9370,0.75521,0.77241
2019,Urban regions,Yes,0.11743,2454,16332,0.11249,0.12237
2019,Urban regions,No,0.71009,13878,16332,0.70313,0.71705
2019,Rural regions,Yes,0.07707,872,8751,0.07149,0.08266
2019,Rural regions,No,0.75511,7879,8751,0.74610,0.76412
