year,migback,regtyp,plj0089,proportion,n,lower_confidence,upper_confidence
2009,kein Migrationshintergrund,Staedtischer Raum,Nein,0.47438108484005564,21983,0.4677800539337168,0.4809821157463945
2009,kein Migrationshintergrund,Laendlicher Raum,Nein,0.2983588317107093,21983,0.29231044470252054,0.3044072187188981
2009,kein Migrationshintergrund,Staedtischer Raum,Ja,0.06720445062586926,21983,0.06389462707633065,0.07051427417540787
2009,direkter Migrationshintergrund,Staedtischer Raum,Nein,0.0576356050069541,21983,0.054554776997303496,0.06071643301660471
2009,kein Migrationshintergrund,Laendlicher Raum,Ja,0.028929068150208622,21983,0.026713397061906112,0.031144739238511132
2009,indirekter Migrationshintergrund,Staedtischer Raum,Nein,0.023866481223922115,21983,0.02184875889103753,0.0258842035568067
2009,direkter Migrationshintergrund,Staedtischer Raum,Ja,0.01663421418636996,21983,0.014943495771308758,0.01832493260143116
2009,direkter Migrationshintergrund,Laendlicher Raum,Nein,0.0156884561891516,21983,0.01404571560999197,0.01733119676831123
2009,indirekter Migrationshintergrund,Staedtischer Raum,Ja,0.008845618915159944,21983,0.007607827812792274,0.010083410017527614
2009,indirekter Migrationshintergrund,Laendlicher Raum,Nein,0.005006954102920723,21983,0.004073894430436124,0.0059400137754053225
2009,direkter Migrationshintergrund,Laendlicher Raum,Ja,0.0020027816411682894,21983,0.0014117726912276649,0.002593790591108914
2009,indirekter Migrationshintergrund,Laendlicher Raum,Ja,0.001446453407510431,21983,0.0009440524075710519,0.0019488544074498103
2014,kein Migrationshintergrund,Staedtischer Raum,Nein,0.4025217875023178,38694,0.3976353765306321,0.40740819847400356
2014,kein Migrationshintergrund,Laendlicher Raum,Nein,0.26263675134433523,38694,0.2582519214440663,0.2670215812446042
2014,direkter Migrationshintergrund,Staedtischer Raum,Nein,0.12045243834600408,38694,0.11720925336509341,0.12369562332691475
2014,kein Migrationshintergrund,Staedtischer Raum,Ja,0.05254960133506397,38694,0.05032630571745783,0.05477289695267011
2014,direkter Migrationshintergrund,Laendlicher Raum,Nein,0.04212868533283887,38694,0.04012708762551452,0.04413028304016321
2014,indirekter Migrationshintergrund,Staedtischer Raum,Nein,0.039718153161505655,38694,0.03777221900893841,0.0416640873140729
2014,kein Migrationshintergrund,Laendlicher Raum,Ja,0.026293343222696088,38694,0.024699038867327452,0.027887647578064723
2014,direkter Migrationshintergrund,Staedtischer Raum,Ja,0.023697385499721862,38694,0.02218181305481753,0.025212957944626194
2014,indirekter Migrationshintergrund,Staedtischer Raum,Ja,0.01231225662896347,38694,0.011213471129473204,0.013411042128453737
2014,indirekter Migrationshintergrund,Laendlicher Raum,Nein,0.009085852030409791,38694,0.008140409571490693,0.01003129448932889
2014,direkter Migrationshintergrund,Laendlicher Raum,Ja,0.006156128314481735,38694,0.00537675205715782,0.00693550457180565
2014,indirekter Migrationshintergrund,Laendlicher Raum,Ja,0.002447617281661413,38694,0.0019552673654965828,0.002939967197826243
2019,kein Migrationshintergrund,Staedtischer Raum,Nein,0.4215373574675066,42417,0.41683796420718233,0.42623675072783085
2019,kein Migrationshintergrund,Laendlicher Raum,Nein,0.2711107567179651,42417,0.2668802709154267,0.27534124252050346
2019,direkter Migrationshintergrund,Staedtischer Raum,Nein,0.09357308029662706,42417,0.09080149685967422,0.0963446637335799
2019,kein Migrationshintergrund,Staedtischer Raum,Ja,0.06363128937086357,42417,0.06130831239658165,0.06595426634514548
2019,indirekter Migrationshintergrund,Staedtischer Raum,Nein,0.03723785981979109,42417,0.03543592965747591,0.03903978998210626
2019,direkter Migrationshintergrund,Laendlicher Raum,Nein,0.034965313770831674,42417,0.03321717351643496,0.03671345402522839
2019,kein Migrationshintergrund,Laendlicher Raum,Ja,0.027071206442867396,42417,0.02552673305223403,0.028615679833500763
2019,direkter Migrationshintergrund,Staedtischer Raum,Ja,0.021808468224224543,42417,0.020418481579223418,0.023198454869225667
2019,indirekter Migrationshintergrund,Staedtischer Raum,Ja,0.012319591739095765,42417,0.011269825807677372,0.013369357670514158
2019,indirekter Migrationshintergrund,Laendlicher Raum,Nein,0.008970576509050315,42417,0.00807327262329311,0.00986788039480752
2019,direkter Migrationshintergrund,Laendlicher Raum,Ja,0.0052627382186428515,42417,0.004574171268121645,0.005951305169164058
2019,indirekter Migrationshintergrund,Laendlicher Raum,Ja,0.0025117614225340884,42417,0.002035408118876283,0.002988114726191894
