year,pgisced97,regtyp,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,Urban regions,Yes,0.26690,58,211,0.20707,0.32672
2009,No answer / don't know,Urban regions,No,0.73310,153,211,0.67328,0.79293
2009,No answer / don't know,Rural regions,No,0.80389,94,94,0.72319,0.88458
2009,Pre-primary Level,Urban regions,Yes,0.25890,76,218,0.20061,0.31718
2009,Pre-primary Level,Urban regions,No,0.74110,142,218,0.68282,0.79939
2009,Pre-primary Level,Rural regions,No,0.70174,67,67,0.59136,0.81211
2009,Primary Level,Urban regions,Yes,0.24949,33,122,0.17238,0.32659
2009,Primary Level,Urban regions,No,0.75051,89,122,0.67341,0.82762
2009,Primary Level,Rural regions,No,0.96600,39,39,0.90837,1.02362
2009,Lower Secondary Level,Urban regions,Yes,0.13249,157,1187,0.11319,0.15178
2009,Lower Secondary Level,Urban regions,No,0.86751,1030,1187,0.84822,0.88681
2009,Lower Secondary Level,Rural regions,Yes,0.12490,65,593,0.09827,0.15153
2009,Lower Secondary Level,Rural regions,No,0.87510,528,593,0.84847,0.90173
2009,Upper Secondary Level,Urban regions,Yes,0.14151,692,5591,0.13237,0.15065
2009,Upper Secondary Level,Urban regions,No,0.85849,4899,5591,0.84935,0.86763
2009,Upper Secondary Level,Rural regions,Yes,0.09034,266,3450,0.08078,0.09991
2009,Upper Secondary Level,Rural regions,No,0.90966,3184,3450,0.90009,0.91922
2009,Post-secondary Non-tertiary Level,Urban regions,Yes,0.16446,110,735,0.13764,0.19128
2009,Post-secondary Non-tertiary Level,Urban regions,No,0.83554,625,735,0.80872,0.86236
2009,Post-secondary Non-tertiary Level,Rural regions,Yes,0.15761,35,259,0.11315,0.20207
2009,Post-secondary Non-tertiary Level,Rural regions,No,0.84239,224,259,0.79793,0.88685
2009,First Stage of Tertiary Education,Urban regions,Yes,0.11177,82,805,0.08999,0.13355
2009,First Stage of Tertiary Education,Urban regions,No,0.88823,723,805,0.86645,0.91001
2009,First Stage of Tertiary Education,Rural regions,Yes,0.09573,38,522,0.07046,0.12099
2009,First Stage of Tertiary Education,Rural regions,No,0.90427,484,522,0.87901,0.92954
2009,Second Stage of Tertiary Education,Urban regions,Yes,0.19057,464,2826,0.17609,0.20506
2009,Second Stage of Tertiary Education,Urban regions,No,0.80943,2362,2826,0.79494,0.82391
2009,Second Stage of Tertiary Education,Rural regions,Yes,0.11970,123,1207,0.10138,0.13802
2009,Second Stage of Tertiary Education,Rural regions,No,0.88030,1084,1207,0.86198,0.89862
2014,No answer / don't know,Urban regions,Yes,0.23368,97,394,0.19184,0.27552
2014,No answer / don't know,Urban regions,No,0.76632,297,394,0.72448,0.80816
2014,No answer / don't know,Rural regions,Yes,0.15753,40,215,0.10872,0.20634
2014,No answer / don't know,Rural regions,No,0.84247,175,215,0.79366,0.89128
2014,Pre-primary Level,Urban regions,Yes,0.41493,110,297,0.35880,0.47106
2014,Pre-primary Level,Urban regions,No,0.58507,187,297,0.52894,0.64120
2014,Pre-primary Level,Rural regions,Yes,0.43893,61,152,0.35977,0.51808
2014,Pre-primary Level,Rural regions,No,0.56107,91,152,0.48192,0.64023
2014,Primary Level,Urban regions,Yes,0.16932,56,351,0.13003,0.20861
2014,Primary Level,Urban regions,No,0.83068,295,351,0.79139,0.86997
2014,Primary Level,Rural regions,No,0.89868,130,130,0.84660,0.95075
2014,Lower Secondary Level,Urban regions,Yes,0.13144,261,2062,0.11686,0.14603
2014,Lower Secondary Level,Urban regions,No,0.86856,1801,2062,0.85397,0.88314
2014,Lower Secondary Level,Rural regions,Yes,0.10049,107,1031,0.08213,0.11886
2014,Lower Secondary Level,Rural regions,No,0.89951,924,1031,0.88114,0.91787
2014,Upper Secondary Level,Urban regions,Yes,0.11331,885,7566,0.10617,0.12046
2014,Upper Secondary Level,Urban regions,No,0.88669,6681,7566,0.87954,0.89383
2014,Upper Secondary Level,Rural regions,Yes,0.09042,449,4922,0.08240,0.09843
2014,Upper Secondary Level,Rural regions,No,0.90958,4473,4922,0.90157,0.91760
2014,Post-secondary Non-tertiary Level,Urban regions,Yes,0.15681,199,1474,0.13824,0.17538
2014,Post-secondary Non-tertiary Level,Urban regions,No,0.84319,1275,1474,0.82462,0.86176
2014,Post-secondary Non-tertiary Level,Rural regions,Yes,0.08582,52,564,0.06268,0.10896
2014,Post-secondary Non-tertiary Level,Rural regions,No,0.91418,512,564,0.89104,0.93732
2014,First Stage of Tertiary Education,Urban regions,Yes,0.09304,81,948,0.07454,0.11154
2014,First Stage of Tertiary Education,Urban regions,No,0.90696,867,948,0.88846,0.92546
2014,First Stage of Tertiary Education,Rural regions,Yes,0.07963,48,638,0.05861,0.10066
