year,sampreg,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.14920,1866,13437,0.14317,0.15522
2009,West,No,0.85080,11571,13437,0.84478,0.85683
2009,East,Yes,0.09984,382,4538,0.09112,0.10857
2009,East,No,0.90016,4156,4538,0.89143,0.90888
2014,West,Yes,0.13278,2886,21406,0.12824,0.13733
2014,West,No,0.86722,18520,21406,0.86267,0.87176
2014,East,Yes,0.08773,444,5560,0.08030,0.09517
2014,East,No,0.91227,5116,5560,0.90483,0.91970
2019,Does not apply,No,0.67751,53,53,0.55046,0.80456
2019,West,Yes,0.13828,2927,20036,0.13350,0.14306
2019,West,No,0.86172,17109,20036,0.85694,0.86650
2019,East,Yes,0.08247,523,5524,0.07522,0.08973
2019,East,No,0.91753,5001,5524,0.91027,0.92478
